team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,subbed_in,subbed_out,subbed_team,subbed_reason,fielders_name,target_overs,target_runs,current_team_total,source_file,noballs,is_fielder_sub,umpires_call,injury_subbed_in,injury_subbed_out,is_non_boundary
Sunrisers Hyderabad,4,5.0,0.1,5.6,mandatory,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,33,1527674.csv,,,,,,
Sunrisers Hyderabad,4,6.0,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,33,1527674.csv,,,,,,
Sunrisers Hyderabad,5,1.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,33,1527674.csv,,,,,,
Sunrisers Hyderabad,5,2.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,39,1527674.csv,,,,,,
Sunrisers Hyderabad,5,3.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,43,1527674.csv,,,,,,
Sunrisers Hyderabad,5,4.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,49,1527674.csv,,,,,,
Sunrisers Hyderabad,5,5.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,49,1527674.csv,,,,,,
Sunrisers Hyderabad,5,6.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,49,1527674.csv,,,,,,
Sunrisers Hyderabad,6,1.0,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,50,1527674.csv,,,,,,
Sunrisers Hyderabad,6,2.0,0.1,5.6,mandatory,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,51,1527674.csv,,,,,,
Sunrisers Hyderabad,6,3.0,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,52,1527674.csv,,,,,,
Sunrisers Hyderabad,6,4.0,0.1,5.6,mandatory,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,53,1527674.csv,,,,,,
Sunrisers Hyderabad,6,5.0,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,53,1527674.csv,,,,,,
Sunrisers Hyderabad,6,6.0,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,54,1527674.csv,,,,,,
Sunrisers Hyderabad,7,1.0,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,D Padikkal,JA Duffy,Royal Challengers Bengaluru,impact_player,,,,55,1527674.csv,,,,,,
Sunrisers Hyderabad,7,2.0,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,59,1527674.csv,,,,,,
Sunrisers Hyderabad,7,3.0,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,60,1527674.csv,,,,,,
Sunrisers Hyderabad,7,4.0,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,64,1527674.csv,,,,,,
Sunrisers Hyderabad,7,5.0,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,68,1527674.csv,,,,,,
Sunrisers Hyderabad,7,6.0,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,2,0,2,,,,,,,,,,,,,,,,,,70,1527674.csv,,,,,,
Sunrisers Hyderabad,8,1.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,71,1527674.csv,,,,,,
Sunrisers Hyderabad,8,2.0,0.1,5.6,mandatory,H Klaasen,Abhinandan Singh,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,72,1527674.csv,,,,,,
Sunrisers Hyderabad,8,3.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,72,1527674.csv,,,,,,
Sunrisers Hyderabad,8,4.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,76,1527674.csv,,,,,,
Sunrisers Hyderabad,8,5.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,78,1527674.csv,,,,,,
Sunrisers Hyderabad,8,6.0,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,79,1527674.csv,,,,,,
Sunrisers Hyderabad,9,1.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,79,1527674.csv,,,,,,
Sunrisers Hyderabad,9,2.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,83,1527674.csv,,,,,,
Sunrisers Hyderabad,9,3.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,84,1527674.csv,,,,,,
Sunrisers Hyderabad,9,4.0,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,85,1527674.csv,,,,,,
Sunrisers Hyderabad,9,5.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,87,1527674.csv,,,,,,
Sunrisers Hyderabad,9,6.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,87,1527674.csv,,,,,,
Sunrisers Hyderabad,10,1.0,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,87,1527674.csv,,,,,,
Sunrisers Hyderabad,10,2.0,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,88,1527674.csv,,,,,,
Sunrisers Hyderabad,10,3.0,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,89,1527674.csv,,,,,,
Sunrisers Hyderabad,10,4.0,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,90,1527674.csv,,,,,,
Sunrisers Hyderabad,10,5.0,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,91,1527674.csv,,,,,,
Sunrisers Hyderabad,10,6.0,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,92,1527674.csv,,,,,,
Sunrisers Hyderabad,11,1.0,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,93,1527674.csv,,,,,,
Sunrisers Hyderabad,11,2.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,97,1527674.csv,,,,,,
Sunrisers Hyderabad,11,3.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,101,1527674.csv,,,,,,
Sunrisers Hyderabad,11,4.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,101,1527674.csv,,,,,,
Sunrisers Hyderabad,11,5.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,101,1527674.csv,,,,,,
Sunrisers Hyderabad,11,6.0,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,105,1527674.csv,,,,,,
Sunrisers Hyderabad,12,1.0,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,111,1527674.csv,,,,,,
