team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Punjab Kings,10,6,0.1,5.7,mandatory,P Simran Singh,Mohammed Shami,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,111
Punjab Kings,11,1,0.1,5.7,mandatory,P Simran Singh,Mohsin Khan,SS Iyer,2,0,2,,,,,,,,,,,20.0,197.0,113
Punjab Kings,11,2,0.1,5.7,mandatory,P Simran Singh,Mohsin Khan,SS Iyer,4,0,4,,,,,,,,,,,20.0,197.0,117
Punjab Kings,11,3,0.1,5.7,mandatory,P Simran Singh,Mohsin Khan,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,118
Punjab Kings,11,4,0.1,5.7,mandatory,SS Iyer,Mohsin Khan,P Simran Singh,1,0,1,,,,,,,,,,,20.0,197.0,119
Punjab Kings,11,5,0.1,5.7,mandatory,P Simran Singh,Mohsin Khan,SS Iyer,4,0,4,,,,,,,,,,,20.0,197.0,123
Punjab Kings,11,6,0.1,5.7,mandatory,P Simran Singh,Mohsin Khan,SS Iyer,2,0,2,,,,,,,,,,,20.0,197.0,125
Punjab Kings,12,1,0.1,5.7,mandatory,SS Iyer,DS Rathi,P Simran Singh,1,0,1,,,,,,,,,,,20.0,197.0,126
Punjab Kings,12,2,0.1,5.7,mandatory,P Simran Singh,DS Rathi,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,127
Punjab Kings,12,3,0.1,5.7,mandatory,SS Iyer,DS Rathi,P Simran Singh,1,0,1,,,,,,,,,,,20.0,197.0,128
Punjab Kings,12,4,0.1,5.7,mandatory,P Simran Singh,DS Rathi,SS Iyer,4,0,4,,,,,,,,,,,20.0,197.0,132
Punjab Kings,12,5,0.1,5.7,mandatory,P Simran Singh,DS Rathi,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,133
Punjab Kings,12,6,0.1,5.7,mandatory,SS Iyer,DS Rathi,P Simran Singh,6,0,6,,,,,,,,,,,20.0,197.0,139
Punjab Kings,13,1,0.1,5.7,mandatory,P Simran Singh,Prince Yadav,SS Iyer,0,0,0,,,,,,,,,,,20.0,197.0,139
Punjab Kings,13,2,0.1,5.7,mandatory,P Simran Singh,Prince Yadav,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,140
Punjab Kings,13,3,0.1,5.7,mandatory,SS Iyer,Prince Yadav,P Simran Singh,4,0,4,,,,,,,,,,,20.0,197.0,144
Punjab Kings,13,4,0.1,5.7,mandatory,SS Iyer,Prince Yadav,P Simran Singh,1,0,1,,,,,,,,,,,20.0,197.0,145
Punjab Kings,13,5,0.1,5.7,mandatory,P Simran Singh,Prince Yadav,SS Iyer,4,0,4,,,,,,,,,,,20.0,197.0,149
Punjab Kings,13,6,0.1,5.7,mandatory,P Simran Singh,Prince Yadav,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,150
Punjab Kings,14,1,0.1,5.7,mandatory,P Simran Singh,Arjun Tendulkar,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,151
Punjab Kings,14,2,0.1,5.7,mandatory,SS Iyer,Arjun Tendulkar,P Simran Singh,2,0,2,,,,,,,,,,,20.0,197.0,153
Punjab Kings,14,3,0.1,5.7,mandatory,SS Iyer,Arjun Tendulkar,P Simran Singh,4,0,4,,,,,,,,,,,20.0,197.0,157
Punjab Kings,14,4,0.1,5.7,mandatory,SS Iyer,Arjun Tendulkar,P Simran Singh,4,0,4,,,,,,,,,,,20.0,197.0,161
Punjab Kings,14,5,0.1,5.7,mandatory,SS Iyer,Arjun Tendulkar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,197.0,162
Punjab Kings,14,6,0.1,5.7,mandatory,P Simran Singh,Arjun Tendulkar,SS Iyer,0,0,0,,,P Simran Singh,lbw,,,,,,,20.0,197.0,162
Punjab Kings,15,1,0.1,5.7,mandatory,SS Iyer,Mohammed Shami,Suryansh Shedge,6,0,6,,,,,,,,,,,20.0,197.0,168
Punjab Kings,15,2,0.1,5.7,mandatory,SS Iyer,Mohammed Shami,Suryansh Shedge,0,0,0,,,,,,,,,,,20.0,197.0,168
Punjab Kings,15,3,0.1,5.7,mandatory,SS Iyer,Mohammed Shami,Suryansh Shedge,6,0,6,,,,,,,,,,,20.0,197.0,174
Punjab Kings,15,4,0.1,5.7,mandatory,SS Iyer,Mohammed Shami,Suryansh Shedge,2,0,2,,,,,,,,,,,20.0,197.0,176
Punjab Kings,15,5,0.1,5.7,mandatory,SS Iyer,Mohammed Shami,Suryansh Shedge,0,0,0,,,,,,,,,,,20.0,197.0,176
Punjab Kings,15,6,0.1,5.7,mandatory,SS Iyer,Mohammed Shami,Suryansh Shedge,6,0,6,,,,,,,,,,,20.0,197.0,182
Punjab Kings,16,1,0.1,5.7,mandatory,Suryansh Shedge,Arjun Tendulkar,SS Iyer,0,0,0,,,,,,,,,,,20.0,197.0,182
Punjab Kings,16,2,0.1,5.7,mandatory,Suryansh Shedge,Arjun Tendulkar,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,183
Punjab Kings,16,3,0.1,5.7,mandatory,SS Iyer,Arjun Tendulkar,Suryansh Shedge,1,0,1,,,,,,,,,,,20.0,197.0,184
Punjab Kings,16,4,0.1,5.7,mandatory,Suryansh Shedge,Arjun Tendulkar,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,185
Punjab Kings,16,5,0.1,5.7,mandatory,SS Iyer,Arjun Tendulkar,Suryansh Shedge,1,0,1,,,,,,,,,,,20.0,197.0,186
Punjab Kings,16,6,0.1,5.7,mandatory,Suryansh Shedge,Arjun Tendulkar,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,187
Punjab Kings,17,1,0.1,5.7,mandatory,Suryansh Shedge,Mohsin Khan,SS Iyer,4,0,4,,,,,,,,,,,20.0,197.0,191
Punjab Kings,17,2,0.1,5.7,mandatory,Suryansh Shedge,Mohsin Khan,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,192
Punjab Kings,17,3,0.1,5.7,mandatory,SS Iyer,Mohsin Khan,Suryansh Shedge,0,0,0,,,,,,,,,,,20.0,197.0,192
Punjab Kings,17,4,0.1,5.7,mandatory,SS Iyer,Mohsin Khan,Suryansh Shedge,1,0,1,,,,,,,,,,,20.0,197.0,193
Punjab Kings,17,5,0.1,5.7,mandatory,Suryansh Shedge,Mohsin Khan,SS Iyer,1,0,1,,,,,,,,,,,20.0,197.0,194
Punjab Kings,17,6,0.1,5.7,mandatory,SS Iyer,Mohsin Khan,Suryansh Shedge,6,0,6,,,,,,,,,,,20.0,197.0,200
