team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,byes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,5,2,0.1,5.7,mandatory,TM Head,XC Bartlett,Abhishek Sharma,,4,0,4,,,,,,,,,,,,,,,,,92
Sunrisers Hyderabad,5,3,0.1,5.7,mandatory,TM Head,XC Bartlett,Abhishek Sharma,,4,0,4,,,,,,,,,,,,,,,,,96
Sunrisers Hyderabad,5,4,0.1,5.7,mandatory,TM Head,XC Bartlett,Abhishek Sharma,,0,1,1,,1.0,,,,,,,,,,,,,,,97
Sunrisers Hyderabad,5,5,0.1,5.7,mandatory,TM Head,XC Bartlett,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,,,,98
Sunrisers Hyderabad,5,6,0.1,5.7,mandatory,Abhishek Sharma,XC Bartlett,TM Head,,6,0,6,,,,,,,,,,,,,,,,,104
Sunrisers Hyderabad,5,7,0.1,5.7,mandatory,Abhishek Sharma,XC Bartlett,TM Head,,1,0,1,,,,,,,,,,,,,,,,,105
Sunrisers Hyderabad,6,1,0.1,5.7,mandatory,Abhishek Sharma,Shashank Singh,TM Head,,0,0,0,,,,,,,,,,,,,,,,,105
Sunrisers Hyderabad,6,2,0.1,5.7,mandatory,Abhishek Sharma,Shashank Singh,TM Head,,1,0,1,,,,,,,,,,,,,,,,,106
Sunrisers Hyderabad,6,3,0.1,5.7,mandatory,TM Head,Shashank Singh,Abhishek Sharma,,2,0,2,,,,,,,,,,,,,,,,,108
Sunrisers Hyderabad,6,4,0.1,5.7,mandatory,TM Head,Shashank Singh,Abhishek Sharma,,2,0,2,,,,,,,,,,,,,,,,,110
Sunrisers Hyderabad,6,5,0.1,5.7,mandatory,TM Head,Shashank Singh,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,,,,110
Sunrisers Hyderabad,6,6,0.1,5.7,mandatory,TM Head,Shashank Singh,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,,,,111
