team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,byes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,3,5,0.1,5.6,mandatory,Priyansh Arya,JD Unadkat,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,54
Punjab Kings,3,6,0.1,5.6,mandatory,P Simran Singh,JD Unadkat,Priyansh Arya,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,55
Punjab Kings,4,1,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,59
Punjab Kings,4,2,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,60
Punjab Kings,4,3,0.1,5.6,mandatory,Priyansh Arya,E Malinga,P Simran Singh,1.0,0,1,1,,,,,,,,,,,,,,,20.0,220.0,61
Punjab Kings,4,4,0.1,5.6,mandatory,Priyansh Arya,E Malinga,P Simran Singh,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,67
Punjab Kings,4,5,0.1,5.6,mandatory,Priyansh Arya,E Malinga,P Simran Singh,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,71
Punjab Kings,4,6,0.1,5.6,mandatory,Priyansh Arya,E Malinga,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,72
Punjab Kings,4,7,0.1,5.6,mandatory,P Simran Singh,E Malinga,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,72
Punjab Kings,5,1,0.1,5.6,mandatory,Priyansh Arya,HV Patel,P Simran Singh,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,78
Punjab Kings,5,2,0.1,5.6,mandatory,Priyansh Arya,HV Patel,P Simran Singh,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,84
Punjab Kings,5,3,0.1,5.6,mandatory,Priyansh Arya,HV Patel,P Simran Singh,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,88
Punjab Kings,5,4,0.1,5.6,mandatory,Priyansh Arya,HV Patel,P Simran Singh,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,92
Punjab Kings,5,5,0.1,5.6,mandatory,Priyansh Arya,HV Patel,P Simran Singh,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,92
Punjab Kings,5,6,0.1,5.6,mandatory,Priyansh Arya,HV Patel,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,93
Punjab Kings,6,1,0.1,5.6,mandatory,Priyansh Arya,Shivang Kumar,P Simran Singh,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,99
Punjab Kings,6,2,0.1,5.6,mandatory,Priyansh Arya,Shivang Kumar,P Simran Singh,,0,0,0,,,,,,,,Priyansh Arya,caught,,,,,Nithish Kumar Reddy,20.0,220.0,99
Punjab Kings,6,3,0.1,5.6,mandatory,C Connolly,Shivang Kumar,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,100
Punjab Kings,6,4,0.1,5.6,mandatory,P Simran Singh,Shivang Kumar,C Connolly,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,101
Punjab Kings,6,5,0.1,5.6,mandatory,C Connolly,Shivang Kumar,P Simran Singh,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,101
Punjab Kings,6,6,0.1,5.6,mandatory,C Connolly,Shivang Kumar,P Simran Singh,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,101
Punjab Kings,7,1,0.1,5.6,mandatory,P Simran Singh,Harsh Dubey,C Connolly,1.0,0,1,1,,,,,,,,,,,,,,,20.0,220.0,102
Punjab Kings,7,2,0.1,5.6,mandatory,P Simran Singh,Harsh Dubey,C Connolly,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,103
Punjab Kings,7,3,0.1,5.6,mandatory,C Connolly,Harsh Dubey,P Simran Singh,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,103
Punjab Kings,7,4,0.1,5.6,mandatory,C Connolly,Harsh Dubey,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,104
Punjab Kings,7,5,0.1,5.6,mandatory,P Simran Singh,Harsh Dubey,C Connolly,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,105
Punjab Kings,7,6,0.1,5.6,mandatory,C Connolly,Harsh Dubey,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,106
Punjab Kings,7,7,0.1,5.6,mandatory,P Simran Singh,Harsh Dubey,C Connolly,1.0,0,1,1,,,,,,,,,,,,,,,20.0,220.0,107
Punjab Kings,7,8,0.1,5.6,mandatory,P Simran Singh,Harsh Dubey,C Connolly,,2,0,2,,,,,,,,,,,,,,,20.0,220.0,109
Punjab Kings,8,1,0.1,5.6,mandatory,C Connolly,Shivang Kumar,P Simran Singh,1.0,0,1,1,,,,,,,,,,,,,,,20.0,220.0,110
Punjab Kings,8,2,0.1,5.6,mandatory,C Connolly,Shivang Kumar,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,111
Punjab Kings,8,3,0.1,5.6,mandatory,P Simran Singh,Shivang Kumar,C Connolly,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,112
Punjab Kings,8,4,0.1,5.6,mandatory,C Connolly,Shivang Kumar,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,113
Punjab Kings,8,5,0.1,5.6,mandatory,P Simran Singh,Shivang Kumar,C Connolly,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,117
Punjab Kings,8,6,0.1,5.6,mandatory,P Simran Singh,Shivang Kumar,C Connolly,,0,0,0,,,,,,,,P Simran Singh,caught,,,,,H Klaasen,20.0,220.0,117
Punjab Kings,8,7,0.1,5.6,mandatory,SS Iyer,Shivang Kumar,C Connolly,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,118
Punjab Kings,9,1,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,C Connolly,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,118
Punjab Kings,9,2,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,C Connolly,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,119
Punjab Kings,9,3,0.1,5.6,mandatory,C Connolly,Nithish Kumar Reddy,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,120
Punjab Kings,9,4,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,C Connolly,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,121
Punjab Kings,9,5,0.1,5.6,mandatory,C Connolly,Nithish Kumar Reddy,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,122
Punjab Kings,9,6,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,C Connolly,,2,0,2,,,,,,,,,,,,,,,20.0,220.0,124
Punjab Kings,10,1,0.1,5.6,mandatory,C Connolly,Shivang Kumar,SS Iyer,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,128
Punjab Kings,10,2,0.1,5.6,mandatory,C Connolly,Shivang Kumar,SS Iyer,,0,0,0,,,,,,,,C Connolly,caught,,,,,Aniket Verma,20.0,220.0,128
Punjab Kings,10,3,0.1,5.6,mandatory,N Wadhera,Shivang Kumar,SS Iyer,,1,0,1,,,,,,,,,,N Wadhera,YS Chahal,Punjab Kings,impact_player,,20.0,220.0,129
Punjab Kings,10,4,0.1,5.6,mandatory,SS Iyer,Shivang Kumar,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,130
Punjab Kings,10,5,0.1,5.6,mandatory,N Wadhera,Shivang Kumar,SS Iyer,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,130
Punjab Kings,10,6,0.1,5.6,mandatory,N Wadhera,Shivang Kumar,SS Iyer,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,136
Punjab Kings,11,1,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,137
Punjab Kings,11,2,0.1,5.6,mandatory,N Wadhera,Nithish Kumar Reddy,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,138
Punjab Kings,11,3,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,139
Punjab Kings,11,4,0.1,5.6,mandatory,N Wadhera,Nithish Kumar Reddy,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,140
Punjab Kings,11,5,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,N Wadhera,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,146
Punjab Kings,11,6,0.1,5.6,mandatory,SS Iyer,Nithish Kumar Reddy,N Wadhera,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,150
Punjab Kings,12,1,0.1,5.6,mandatory,N Wadhera,Shivang Kumar,SS Iyer,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,150
Punjab Kings,12,2,0.1,5.6,mandatory,N Wadhera,Shivang Kumar,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,151
Punjab Kings,12,3,0.1,5.6,mandatory,SS Iyer,Shivang Kumar,N Wadhera,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,151
Punjab Kings,12,4,0.1,5.6,mandatory,SS Iyer,Shivang Kumar,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,152
Punjab Kings,12,5,0.1,5.6,mandatory,N Wadhera,Shivang Kumar,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,153
Punjab Kings,12,6,0.1,5.6,mandatory,SS Iyer,Shivang Kumar,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,154
Punjab Kings,13,1,0.1,5.6,mandatory,SS Iyer,Harsh Dubey,N Wadhera,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,154
Punjab Kings,13,2,0.1,5.6,mandatory,SS Iyer,Harsh Dubey,N Wadhera,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,158
Punjab Kings,13,3,0.1,5.6,mandatory,SS Iyer,Harsh Dubey,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,159
Punjab Kings,13,4,0.1,5.6,mandatory,N Wadhera,Harsh Dubey,SS Iyer,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,159
Punjab Kings,13,5,0.1,5.6,mandatory,N Wadhera,Harsh Dubey,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,160
Punjab Kings,13,6,0.1,5.6,mandatory,SS Iyer,Harsh Dubey,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,161
Punjab Kings,14,1,0.1,5.6,mandatory,SS Iyer,HV Patel,N Wadhera,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,162
Punjab Kings,14,2,0.1,5.6,mandatory,N Wadhera,HV Patel,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,163
Punjab Kings,14,3,0.1,5.6,mandatory,SS Iyer,HV Patel,N Wadhera,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,163
Punjab Kings,14,4,0.1,5.6,mandatory,SS Iyer,HV Patel,N Wadhera,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,169
Punjab Kings,14,5,0.1,5.6,mandatory,SS Iyer,HV Patel,N Wadhera,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,173
Punjab Kings,14,6,0.1,5.6,mandatory,SS Iyer,HV Patel,N Wadhera,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,179
Punjab Kings,15,1,0.1,5.6,mandatory,N Wadhera,E Malinga,SS Iyer,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,179
Punjab Kings,15,2,0.1,5.6,mandatory,N Wadhera,E Malinga,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,180
Punjab Kings,15,3,0.1,5.6,mandatory,SS Iyer,E Malinga,N Wadhera,1.0,0,1,1,,,,,,,,,,,,,,,20.0,220.0,181
Punjab Kings,15,4,0.1,5.6,mandatory,SS Iyer,E Malinga,N Wadhera,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,185
Punjab Kings,15,5,0.1,5.6,mandatory,SS Iyer,E Malinga,N Wadhera,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,191
Punjab Kings,15,6,0.1,5.6,mandatory,SS Iyer,E Malinga,N Wadhera,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,191
Punjab Kings,15,7,0.1,5.6,mandatory,SS Iyer,E Malinga,N Wadhera,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,197
Punjab Kings,16,1,0.1,5.6,mandatory,N Wadhera,Harsh Dubey,SS Iyer,,0,0,0,,,,,,,,N Wadhera,bowled,,,,,,20.0,220.0,197
Punjab Kings,16,2,0.1,5.6,mandatory,Shashank Singh,Harsh Dubey,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,198
Punjab Kings,16,3,0.1,5.6,mandatory,SS Iyer,Harsh Dubey,Shashank Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,199
Punjab Kings,16,4,0.1,5.6,mandatory,Shashank Singh,Harsh Dubey,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,200
Punjab Kings,16,5,0.1,5.6,mandatory,SS Iyer,Harsh Dubey,Shashank Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,201
Punjab Kings,16,6,0.1,5.6,mandatory,Shashank Singh,Harsh Dubey,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,202
Punjab Kings,17,1,0.1,5.6,mandatory,Shashank Singh,JD Unadkat,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,203
Punjab Kings,17,2,0.1,5.6,mandatory,SS Iyer,JD Unadkat,Shashank Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,204
Punjab Kings,17,3,0.1,5.6,mandatory,Shashank Singh,JD Unadkat,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,205
Punjab Kings,17,4,0.1,5.6,mandatory,SS Iyer,JD Unadkat,Shashank Singh,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,209
Punjab Kings,17,5,0.1,5.6,mandatory,SS Iyer,JD Unadkat,Shashank Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,210
Punjab Kings,17,6,0.1,5.6,mandatory,Shashank Singh,JD Unadkat,SS Iyer,,6,0,6,,,,,,,,,,,,,,,20.0,220.0,216
Punjab Kings,18,1,0.1,5.6,mandatory,SS Iyer,Abhishek Sharma,Shashank Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,217
Punjab Kings,18,2,0.1,5.6,mandatory,Shashank Singh,Abhishek Sharma,SS Iyer,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,218
Punjab Kings,18,3,0.1,5.6,mandatory,SS Iyer,Abhishek Sharma,Shashank Singh,,1,0,1,,,,,,,,,,,,,,,20.0,220.0,219
Punjab Kings,18,4,0.1,5.6,mandatory,Shashank Singh,Abhishek Sharma,SS Iyer,,0,0,0,,,,,,,,,,,,,,,20.0,220.0,219
Punjab Kings,18,5,0.1,5.6,mandatory,Shashank Singh,Abhishek Sharma,SS Iyer,,4,0,4,,,,,,,,,,,,,,,20.0,220.0,223
