team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Lucknow Super Giants,13,2,0.1,5.6,mandatory,Abdul Samad,SH Johnson,N Pooran,0,0,0,,,,,,,,,Abdul Samad,bowled,,,,,,20.0,188.0,145
Lucknow Super Giants,13,3,0.1,5.6,mandatory,MD Choudhary,SH Johnson,N Pooran,1,0,1,,,,,,,,,,,,,,,,20.0,188.0,146
Lucknow Super Giants,13,4,0.1,5.6,mandatory,N Pooran,SH Johnson,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,20.0,188.0,146
Lucknow Super Giants,13,5,0.1,5.6,mandatory,N Pooran,SH Johnson,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,20.0,188.0,146
Lucknow Super Giants,13,6,0.1,5.6,mandatory,N Pooran,SH Johnson,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,20.0,188.0,147
Lucknow Super Giants,14,1,0.1,5.6,mandatory,N Pooran,Gurjapneet Singh,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,20.0,188.0,148
Lucknow Super Giants,14,2,0.1,5.6,mandatory,MD Choudhary,Gurjapneet Singh,N Pooran,0,0,0,,,,,,,,,,,,,,,,20.0,188.0,148
Lucknow Super Giants,14,3,0.1,5.6,mandatory,MD Choudhary,Gurjapneet Singh,N Pooran,0,0,0,,,,,,,,,,,,,,,,20.0,188.0,148
Lucknow Super Giants,14,4,0.1,5.6,mandatory,MD Choudhary,Gurjapneet Singh,N Pooran,4,0,4,,,,,,,,,,,,,,,,20.0,188.0,152
Lucknow Super Giants,14,5,0.1,5.6,mandatory,MD Choudhary,Gurjapneet Singh,N Pooran,1,0,1,,,,,,,,,,,,,,,,20.0,188.0,153
Lucknow Super Giants,14,6,0.1,5.6,mandatory,N Pooran,Gurjapneet Singh,MD Choudhary,4,0,4,,,,,,,,,,,,,,,,20.0,188.0,157
Lucknow Super Giants,15,1,0.1,5.6,mandatory,MD Choudhary,Mukesh Choudhary,N Pooran,1,0,1,,,,,,,,,,,,,,,,20.0,188.0,158
Lucknow Super Giants,15,2,0.1,5.6,mandatory,N Pooran,Mukesh Choudhary,MD Choudhary,0,1,1,,,,,,,1.0,,,,,,,,,20.0,188.0,159
Lucknow Super Giants,15,3,0.1,5.6,mandatory,MD Choudhary,Mukesh Choudhary,N Pooran,4,0,4,,,,,,,,,,,,,,,,20.0,188.0,163
Lucknow Super Giants,15,4,0.1,5.6,mandatory,MD Choudhary,Mukesh Choudhary,N Pooran,0,0,0,,,,,,,,,,,,,,,,20.0,188.0,163
Lucknow Super Giants,15,5,0.1,5.6,mandatory,MD Choudhary,Mukesh Choudhary,N Pooran,0,0,0,,,,,,,,,,,,,,,,20.0,188.0,163
Lucknow Super Giants,15,6,0.1,5.6,mandatory,MD Choudhary,Mukesh Choudhary,N Pooran,2,0,2,,,,,,,,,,,,,,,,20.0,188.0,165
Lucknow Super Giants,16,1,0.1,5.6,mandatory,N Pooran,A Kamboj,MD Choudhary,6,0,6,,,,,,,,,,,,,,,,20.0,188.0,171
Lucknow Super Giants,16,2,0.1,5.6,mandatory,N Pooran,A Kamboj,MD Choudhary,6,0,6,,,,,,,,,,,,,,,,20.0,188.0,177
Lucknow Super Giants,16,3,0.1,5.6,mandatory,N Pooran,A Kamboj,MD Choudhary,6,0,6,,,,,,,,,,,,,,,,20.0,188.0,183
Lucknow Super Giants,16,4,0.1,5.6,mandatory,N Pooran,A Kamboj,MD Choudhary,6,0,6,,,,,,,,,,,,,,,,20.0,188.0,189
