team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,6,2,0.1,5.6,mandatory,SV Samson,SP Narine,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,72
Chennai Super Kings,6,3,0.1,5.6,mandatory,SV Samson,SP Narine,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,73
Chennai Super Kings,6,4,0.1,5.6,mandatory,D Brevis,SP Narine,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,74
Chennai Super Kings,6,5,0.1,5.6,mandatory,SV Samson,SP Narine,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,75
Chennai Super Kings,6,6,0.1,5.6,mandatory,D Brevis,SP Narine,SV Samson,6,0,6,,,,,,,,,,,,,,,,,,,,,81
Chennai Super Kings,7,1,0.1,5.6,mandatory,SV Samson,CV Varun,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,82
Chennai Super Kings,7,2,0.1,5.6,mandatory,D Brevis,CV Varun,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,,,,82
Chennai Super Kings,7,3,0.1,5.6,mandatory,D Brevis,CV Varun,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,83
Chennai Super Kings,7,4,0.1,5.6,mandatory,SV Samson,CV Varun,D Brevis,4,0,4,,,,,,,,,,,,,,,,,,,,,87
Chennai Super Kings,7,5,0.1,5.6,mandatory,SV Samson,CV Varun,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,88
Chennai Super Kings,7,6,0.1,5.6,mandatory,D Brevis,CV Varun,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,89
Chennai Super Kings,8,1,0.1,5.6,mandatory,D Brevis,SP Narine,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,90
Chennai Super Kings,8,2,0.1,5.6,mandatory,SV Samson,SP Narine,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,90
Chennai Super Kings,8,3,0.1,5.6,mandatory,SV Samson,SP Narine,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,91
Chennai Super Kings,8,4,0.1,5.6,mandatory,D Brevis,SP Narine,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,92
Chennai Super Kings,8,5,0.1,5.6,mandatory,SV Samson,SP Narine,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,93
Chennai Super Kings,8,6,0.1,5.6,mandatory,D Brevis,SP Narine,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,94
Chennai Super Kings,9,1,0.1,5.6,mandatory,D Brevis,Kartik Tyagi,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,,,,94
Chennai Super Kings,9,2,0.1,5.6,mandatory,D Brevis,Kartik Tyagi,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,,,,94
Chennai Super Kings,9,3,0.1,5.6,mandatory,D Brevis,Kartik Tyagi,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,95
Chennai Super Kings,9,4,0.1,5.6,mandatory,SV Samson,Kartik Tyagi,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,95
Chennai Super Kings,9,5,0.1,5.6,mandatory,SV Samson,Kartik Tyagi,D Brevis,6,0,6,,,,,,,,,,,,,,,,,,,,,101
Chennai Super Kings,9,6,0.1,5.6,mandatory,SV Samson,Kartik Tyagi,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,102
Chennai Super Kings,10,1,0.1,5.6,mandatory,SV Samson,CV Varun,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,102
Chennai Super Kings,10,2,0.1,5.6,mandatory,SV Samson,CV Varun,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,102
Chennai Super Kings,10,3,0.1,5.6,mandatory,SV Samson,CV Varun,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,103
Chennai Super Kings,10,4,0.1,5.6,mandatory,D Brevis,CV Varun,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,104
Chennai Super Kings,10,5,0.1,5.6,mandatory,SV Samson,CV Varun,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,105
Chennai Super Kings,10,6,0.1,5.6,mandatory,D Brevis,CV Varun,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,,,,105
Chennai Super Kings,11,1,0.1,5.6,mandatory,SV Samson,Kartik Tyagi,D Brevis,6,0,6,,,,,,,,,,,,,,,,,,,,,111
Chennai Super Kings,11,2,0.1,5.6,mandatory,SV Samson,Kartik Tyagi,D Brevis,0,0,0,,,,,,,,SV Samson,bowled,,,,,,,,,,,,111
Chennai Super Kings,11,3,0.1,5.6,mandatory,SN Khan,Kartik Tyagi,D Brevis,4,0,4,,,,,,,,,,,,,,,,,,,,,115
Chennai Super Kings,11,4,0.1,5.6,mandatory,SN Khan,Kartik Tyagi,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,115
Chennai Super Kings,11,5,0.1,5.6,mandatory,SN Khan,Kartik Tyagi,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,116
Chennai Super Kings,11,6,0.1,5.6,mandatory,D Brevis,Kartik Tyagi,SN Khan,2,0,2,,,,,,,,,,,,,,,,,,,,,118
Chennai Super Kings,12,1,0.1,5.6,mandatory,SN Khan,SP Narine,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,118
Chennai Super Kings,12,2,0.1,5.6,mandatory,SN Khan,SP Narine,D Brevis,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,119
Chennai Super Kings,12,3,0.1,5.6,mandatory,D Brevis,SP Narine,SN Khan,1,0,1,,,,,,,,,,,,,,,,,,,,,120
Chennai Super Kings,12,4,0.1,5.6,mandatory,SN Khan,SP Narine,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,120
Chennai Super Kings,12,5,0.1,5.6,mandatory,SN Khan,SP Narine,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,,,,120
Chennai Super Kings,12,6,0.1,5.6,mandatory,SN Khan,SP Narine,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,,,,121
