team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,4,4,0.1,5.6,mandatory,A Raghuvanshi,KK Ahmed,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,30
Kolkata Knight Riders,4,5,0.1,5.6,mandatory,A Raghuvanshi,KK Ahmed,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,31
Kolkata Knight Riders,4,6,0.1,5.6,mandatory,AM Rahane,KK Ahmed,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,32
Kolkata Knight Riders,5,1,0.1,5.6,mandatory,AM Rahane,AJ Hosein,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,33
Kolkata Knight Riders,5,2,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,33
Kolkata Knight Riders,5,3,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,33
Kolkata Knight Riders,5,4,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,37
Kolkata Knight Riders,5,5,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,37
Kolkata Knight Riders,5,6,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,37
Kolkata Knight Riders,6,1,0.1,5.6,mandatory,AM Rahane,Noor Ahmad,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,38
Kolkata Knight Riders,6,2,0.1,5.6,mandatory,A Raghuvanshi,Noor Ahmad,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,39
Kolkata Knight Riders,6,3,0.1,5.6,mandatory,AM Rahane,Noor Ahmad,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,40
Kolkata Knight Riders,6,4,0.1,5.6,mandatory,A Raghuvanshi,Noor Ahmad,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,44
Kolkata Knight Riders,6,5,0.1,5.6,mandatory,A Raghuvanshi,Noor Ahmad,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,45
Kolkata Knight Riders,6,6,0.1,5.6,mandatory,AM Rahane,Noor Ahmad,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,,,20.0,193.0,47
Kolkata Knight Riders,7,1,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,48
Kolkata Knight Riders,7,2,0.1,5.6,mandatory,AM Rahane,AJ Hosein,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,49
Kolkata Knight Riders,7,3,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,55
Kolkata Knight Riders,7,4,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,2,0,2,,,,,,,,,,,,,,,,,,,20.0,193.0,57
Kolkata Knight Riders,7,5,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,58
Kolkata Knight Riders,7,6,0.1,5.6,mandatory,AM Rahane,AJ Hosein,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,59
Kolkata Knight Riders,8,1,0.1,5.6,mandatory,AM Rahane,Gurjapneet Singh,A Raghuvanshi,0,1,1,1.0,,,,,,,,,,,,,,,,,,20.0,193.0,60
Kolkata Knight Riders,8,2,0.1,5.6,mandatory,AM Rahane,Gurjapneet Singh,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,66
Kolkata Knight Riders,8,3,0.1,5.6,mandatory,AM Rahane,Gurjapneet Singh,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,66
Kolkata Knight Riders,8,4,0.1,5.6,mandatory,AM Rahane,Gurjapneet Singh,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,72
Kolkata Knight Riders,8,5,0.1,5.6,mandatory,AM Rahane,Gurjapneet Singh,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,73
Kolkata Knight Riders,8,6,0.1,5.6,mandatory,A Raghuvanshi,Gurjapneet Singh,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,77
Kolkata Knight Riders,8,7,0.1,5.6,mandatory,A Raghuvanshi,Gurjapneet Singh,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,78
Kolkata Knight Riders,9,1,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,79
Kolkata Knight Riders,9,2,0.1,5.6,mandatory,AM Rahane,AJ Hosein,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,80
Kolkata Knight Riders,9,3,0.1,5.6,mandatory,A Raghuvanshi,AJ Hosein,AM Rahane,0,0,0,,,,,,,,A Raghuvanshi,caught,,,,,,,,,D Brevis,20.0,193.0,80
Kolkata Knight Riders,9,4,0.1,5.6,mandatory,RK Singh,AJ Hosein,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,80
Kolkata Knight Riders,9,5,0.1,5.6,mandatory,RK Singh,AJ Hosein,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,81
Kolkata Knight Riders,9,6,0.1,5.6,mandatory,AM Rahane,AJ Hosein,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,82
Kolkata Knight Riders,10,1,0.1,5.6,mandatory,AM Rahane,Noor Ahmad,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,83
Kolkata Knight Riders,10,2,0.1,5.6,mandatory,RK Singh,Noor Ahmad,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,84
Kolkata Knight Riders,10,3,0.1,5.6,mandatory,AM Rahane,Noor Ahmad,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,85
Kolkata Knight Riders,10,4,0.1,5.6,mandatory,RK Singh,Noor Ahmad,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,86
Kolkata Knight Riders,10,5,0.1,5.6,mandatory,AM Rahane,Noor Ahmad,RK Singh,0,0,0,,,,,,,,AM Rahane,caught,,,,,,,,,RD Gaikwad,20.0,193.0,86
Kolkata Knight Riders,10,6,0.1,5.6,mandatory,C Green,Noor Ahmad,RK Singh,0,0,0,,,,,,,,C Green,bowled,,,,,,,,,,20.0,193.0,86
Kolkata Knight Riders,11,1,0.1,5.6,mandatory,RK Singh,AJ Hosein,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,87
Kolkata Knight Riders,11,2,0.1,5.6,mandatory,R Powell,AJ Hosein,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,88
Kolkata Knight Riders,11,3,0.1,5.6,mandatory,RK Singh,AJ Hosein,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,89
Kolkata Knight Riders,11,4,0.1,5.6,mandatory,R Powell,AJ Hosein,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,89
Kolkata Knight Riders,11,5,0.1,5.6,mandatory,R Powell,AJ Hosein,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,90
Kolkata Knight Riders,11,6,0.1,5.6,mandatory,RK Singh,AJ Hosein,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,91
Kolkata Knight Riders,12,1,0.1,5.6,mandatory,RK Singh,Noor Ahmad,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,91
Kolkata Knight Riders,12,2,0.1,5.6,mandatory,RK Singh,Noor Ahmad,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,91
Kolkata Knight Riders,12,3,0.1,5.6,mandatory,RK Singh,Noor Ahmad,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,91
Kolkata Knight Riders,12,4,0.1,5.6,mandatory,RK Singh,Noor Ahmad,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,91
Kolkata Knight Riders,12,5,0.1,5.6,mandatory,RK Singh,Noor Ahmad,R Powell,0,0,0,,,,,,,,RK Singh,caught,,,,,,,,,S Dube,20.0,193.0,91
Kolkata Knight Riders,12,6,0.1,5.6,mandatory,Ramandeep Singh,Noor Ahmad,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,92
Kolkata Knight Riders,13,1,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,0,0,0,,,Chennai Super Kings,MV Saidharshan Kumar,Ramandeep Singh,struck down,wicket,,,,,,,,,,,,20.0,193.0,92
Kolkata Knight Riders,13,2,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,93
Kolkata Knight Riders,13,3,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,94
Kolkata Knight Riders,13,4,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,95
Kolkata Knight Riders,13,5,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,101
Kolkata Knight Riders,13,6,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,101
Kolkata Knight Riders,14,1,0.1,5.6,mandatory,Ramandeep Singh,Noor Ahmad,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,102
Kolkata Knight Riders,14,2,0.1,5.6,mandatory,R Powell,Noor Ahmad,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,103
Kolkata Knight Riders,14,3,0.1,5.6,mandatory,Ramandeep Singh,Noor Ahmad,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,104
Kolkata Knight Riders,14,4,0.1,5.6,mandatory,R Powell,Noor Ahmad,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,105
Kolkata Knight Riders,14,5,0.1,5.6,mandatory,Ramandeep Singh,Noor Ahmad,R Powell,0,1,1,,1.0,,,,,,,,,,,,,,,,,20.0,193.0,106
Kolkata Knight Riders,14,6,0.1,5.6,mandatory,R Powell,Noor Ahmad,Ramandeep Singh,2,0,2,,,,,,,,,,,,,,,,,,,20.0,193.0,108
Kolkata Knight Riders,15,1,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,108
Kolkata Knight Riders,15,2,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,112
Kolkata Knight Riders,15,3,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,118
Kolkata Knight Riders,15,4,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,0,1,1,1.0,,,,,,,,,,,,,,,,,,20.0,193.0,119
Kolkata Knight Riders,15,5,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,119
Kolkata Knight Riders,15,6,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,120
Kolkata Knight Riders,15,7,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,121
Kolkata Knight Riders,16,1,0.1,5.6,mandatory,R Powell,KK Ahmed,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,122
Kolkata Knight Riders,16,2,0.1,5.6,mandatory,Ramandeep Singh,KK Ahmed,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,123
Kolkata Knight Riders,16,3,0.1,5.6,mandatory,R Powell,KK Ahmed,Ramandeep Singh,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,127
Kolkata Knight Riders,16,4,0.1,5.6,mandatory,R Powell,KK Ahmed,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,127
Kolkata Knight Riders,16,5,0.1,5.6,mandatory,R Powell,KK Ahmed,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,128
Kolkata Knight Riders,16,6,0.1,5.6,mandatory,Ramandeep Singh,Gurjapneet Singh,R Powell,4,0,4,,,,,,,,,,,,,,Gurjapneet Singh,KK Ahmed,injury,bowler,,20.0,193.0,132
Kolkata Knight Riders,17,1,0.1,5.6,mandatory,R Powell,A Kamboj,Ramandeep Singh,0,1,1,1.0,,,,,,,,,,,,,,,,,,20.0,193.0,133
Kolkata Knight Riders,17,2,0.1,5.6,mandatory,R Powell,A Kamboj,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,134
Kolkata Knight Riders,17,3,0.1,5.6,mandatory,Ramandeep Singh,A Kamboj,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,135
Kolkata Knight Riders,17,4,0.1,5.6,mandatory,R Powell,A Kamboj,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,136
Kolkata Knight Riders,17,5,0.1,5.6,mandatory,Ramandeep Singh,A Kamboj,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,137
Kolkata Knight Riders,17,6,0.1,5.6,mandatory,R Powell,A Kamboj,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,138
Kolkata Knight Riders,17,7,0.1,5.6,mandatory,Ramandeep Singh,A Kamboj,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,139
Kolkata Knight Riders,18,1,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,2,0,2,,,,,,,,,,,,,,,,,,,20.0,193.0,141
Kolkata Knight Riders,18,2,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,145
Kolkata Knight Riders,18,3,0.1,5.6,mandatory,Ramandeep Singh,J Overton,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,146
Kolkata Knight Riders,18,4,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,146
Kolkata Knight Riders,18,5,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,146
Kolkata Knight Riders,18,6,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,0,1,1,1.0,,,,,,,,,,,,,,,,,,20.0,193.0,147
Kolkata Knight Riders,18,7,0.1,5.6,mandatory,R Powell,J Overton,Ramandeep Singh,2,0,2,,,,,,,,,,,,,,,,,,,20.0,193.0,149
Kolkata Knight Riders,19,1,0.1,5.6,mandatory,Ramandeep Singh,A Kamboj,R Powell,4,0,4,,,,,,,,,,,,,,,,,,,20.0,193.0,153
Kolkata Knight Riders,19,2,0.1,5.6,mandatory,Ramandeep Singh,A Kamboj,R Powell,0,1,1,1.0,,,,,,,,,,,,,,,,,,20.0,193.0,154
Kolkata Knight Riders,19,3,0.1,5.6,mandatory,Ramandeep Singh,A Kamboj,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,154
Kolkata Knight Riders,19,4,0.1,5.6,mandatory,Ramandeep Singh,A Kamboj,R Powell,0,0,0,,,,,,,,Ramandeep Singh,caught,,,,,,,,,SN Khan,20.0,193.0,154
Kolkata Knight Riders,19,5,0.1,5.6,mandatory,AS Roy,A Kamboj,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,20.0,193.0,155
Kolkata Knight Riders,19,6,0.1,5.6,mandatory,R Powell,A Kamboj,AS Roy,6,0,6,,,,,,,,,,,,,,,,,,,20.0,193.0,161
Kolkata Knight Riders,19,7,0.1,5.6,mandatory,R Powell,A Kamboj,AS Roy,0,0,0,,,,,,,,,,,,,,,,,,,20.0,193.0,161
