team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,4,5,0.1,5.6,mandatory,Suryansh Shedge,JR Hazlewood,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,31
Punjab Kings,4,6,0.1,5.6,mandatory,Suryansh Shedge,JR Hazlewood,C Connolly,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,35
Punjab Kings,4,7,0.1,5.6,mandatory,Suryansh Shedge,JR Hazlewood,C Connolly,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,36
Punjab Kings,4,8,0.1,5.6,mandatory,Suryansh Shedge,JR Hazlewood,C Connolly,2,0,2,,,,,,,,,,,,,,,,,,20.0,223.0,38
Punjab Kings,5,1,0.1,5.6,mandatory,C Connolly,Rasikh Salam,Suryansh Shedge,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,38
Punjab Kings,5,2,0.1,5.6,mandatory,C Connolly,Rasikh Salam,Suryansh Shedge,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,42
Punjab Kings,5,3,0.1,5.6,mandatory,C Connolly,Rasikh Salam,Suryansh Shedge,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,42
Punjab Kings,5,4,0.1,5.6,mandatory,C Connolly,Rasikh Salam,Suryansh Shedge,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,42
Punjab Kings,5,5,0.1,5.6,mandatory,C Connolly,Rasikh Salam,Suryansh Shedge,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,48
Punjab Kings,5,6,0.1,5.6,mandatory,C Connolly,Rasikh Salam,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,49
Punjab Kings,6,1,0.1,5.6,mandatory,C Connolly,Suyash Sharma,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,50
Punjab Kings,6,2,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,51
Punjab Kings,6,3,0.1,5.6,mandatory,C Connolly,Suyash Sharma,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,52
Punjab Kings,6,4,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,53
Punjab Kings,6,5,0.1,5.6,mandatory,C Connolly,Suyash Sharma,Suryansh Shedge,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,59
Punjab Kings,6,6,0.1,5.6,mandatory,C Connolly,Suyash Sharma,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,60
Punjab Kings,7,1,0.1,5.6,mandatory,C Connolly,R Shepherd,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,61
Punjab Kings,7,2,0.1,5.6,mandatory,Suryansh Shedge,R Shepherd,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,62
Punjab Kings,7,3,0.1,5.6,mandatory,C Connolly,R Shepherd,Suryansh Shedge,0,0,0,,,,,,,,,,,C Connolly,caught,,,,,JG Bethell,20.0,223.0,62
Punjab Kings,7,4,0.1,5.6,mandatory,MP Stoinis,R Shepherd,Suryansh Shedge,2,0,2,,,,,,,,,,,,,,,,,,20.0,223.0,64
Punjab Kings,7,5,0.1,5.6,mandatory,MP Stoinis,R Shepherd,Suryansh Shedge,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,64
Punjab Kings,7,6,0.1,5.6,mandatory,MP Stoinis,R Shepherd,Suryansh Shedge,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,68
Punjab Kings,8,1,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,69
Punjab Kings,8,2,0.1,5.6,mandatory,MP Stoinis,Suyash Sharma,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,70
Punjab Kings,8,3,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,MP Stoinis,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,76
Punjab Kings,8,4,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,MP Stoinis,2,0,2,,,,,,,,,,,,,,,,,,20.0,223.0,78
Punjab Kings,8,5,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,79
Punjab Kings,8,6,0.1,5.6,mandatory,MP Stoinis,Suyash Sharma,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,80
Punjab Kings,9,1,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,81
Punjab Kings,9,2,0.1,5.6,mandatory,Suryansh Shedge,KH Pandya,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,82
Punjab Kings,9,3,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,83
Punjab Kings,9,4,0.1,5.6,mandatory,Suryansh Shedge,KH Pandya,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,84
Punjab Kings,9,5,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,85
Punjab Kings,9,6,0.1,5.6,mandatory,Suryansh Shedge,KH Pandya,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,86
Punjab Kings,10,1,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,MP Stoinis,2,0,2,,,,,,,,,,,,,,,,,,20.0,223.0,88
Punjab Kings,10,2,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,89
Punjab Kings,10,3,0.1,5.6,mandatory,MP Stoinis,Suyash Sharma,Suryansh Shedge,2,0,2,,,,,,,,,,,,,,,,,,20.0,223.0,91
Punjab Kings,10,4,0.1,5.6,mandatory,MP Stoinis,Suyash Sharma,Suryansh Shedge,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,92
Punjab Kings,10,5,0.1,5.6,mandatory,MP Stoinis,Suyash Sharma,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,93
Punjab Kings,10,6,0.1,5.6,mandatory,Suryansh Shedge,Suyash Sharma,MP Stoinis,0,0,0,,,,,,,,,,,Suryansh Shedge,caught,,,,,V Kohli,20.0,223.0,93
Punjab Kings,10,7,0.1,5.6,mandatory,Shashank Singh,Suyash Sharma,MP Stoinis,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,93
Punjab Kings,11,1,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Shashank Singh,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,94
Punjab Kings,11,2,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Shashank Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,94
Punjab Kings,11,3,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,95
Punjab Kings,11,4,0.1,5.6,mandatory,Shashank Singh,KH Pandya,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,96
Punjab Kings,11,5,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Shashank Singh,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,100
Punjab Kings,11,6,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,101
Punjab Kings,11,7,0.1,5.6,mandatory,Shashank Singh,KH Pandya,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,102
Punjab Kings,12,1,0.1,5.6,mandatory,Shashank Singh,Suyash Sharma,MP Stoinis,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,108
Punjab Kings,12,2,0.1,5.6,mandatory,Shashank Singh,Suyash Sharma,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,109
Punjab Kings,12,3,0.1,5.6,mandatory,MP Stoinis,Suyash Sharma,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,110
Punjab Kings,12,4,0.1,5.6,mandatory,Shashank Singh,Suyash Sharma,MP Stoinis,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,110
Punjab Kings,12,5,0.1,5.6,mandatory,Shashank Singh,Suyash Sharma,MP Stoinis,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,116
Punjab Kings,12,6,0.1,5.6,mandatory,Shashank Singh,Suyash Sharma,MP Stoinis,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,122
Punjab Kings,13,1,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,123
Punjab Kings,13,2,0.1,5.6,mandatory,Shashank Singh,KH Pandya,MP Stoinis,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,127
Punjab Kings,13,3,0.1,5.6,mandatory,Shashank Singh,KH Pandya,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,128
Punjab Kings,13,4,0.1,5.6,mandatory,MP Stoinis,KH Pandya,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,129
Punjab Kings,13,5,0.1,5.6,mandatory,Shashank Singh,KH Pandya,MP Stoinis,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,133
Punjab Kings,13,6,0.1,5.6,mandatory,Shashank Singh,KH Pandya,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,134
Punjab Kings,14,1,0.1,5.6,mandatory,Shashank Singh,Rasikh Salam,MP Stoinis,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,135
Punjab Kings,14,2,0.1,5.6,mandatory,Shashank Singh,Rasikh Salam,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,136
Punjab Kings,14,3,0.1,5.6,mandatory,MP Stoinis,Rasikh Salam,Shashank Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,136
Punjab Kings,14,4,0.1,5.6,mandatory,MP Stoinis,Rasikh Salam,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,137
Punjab Kings,14,5,0.1,5.6,mandatory,Shashank Singh,Rasikh Salam,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,138
Punjab Kings,14,6,0.1,5.6,mandatory,MP Stoinis,Rasikh Salam,Shashank Singh,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,142
Punjab Kings,14,7,0.1,5.6,mandatory,MP Stoinis,Rasikh Salam,Shashank Singh,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,146
Punjab Kings,15,1,0.1,5.6,mandatory,Shashank Singh,B Kumar,MP Stoinis,2,0,2,,,,,,,,,,,,,,,,,,20.0,223.0,148
Punjab Kings,15,2,0.1,5.6,mandatory,Shashank Singh,B Kumar,MP Stoinis,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,154
Punjab Kings,15,3,0.1,5.6,mandatory,Shashank Singh,B Kumar,MP Stoinis,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,155
Punjab Kings,15,4,0.1,5.6,mandatory,MP Stoinis,B Kumar,Shashank Singh,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,159
Punjab Kings,15,5,0.1,5.6,mandatory,MP Stoinis,B Kumar,Shashank Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,159
Punjab Kings,15,6,0.1,5.6,mandatory,MP Stoinis,B Kumar,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,160
Punjab Kings,16,1,0.1,5.6,mandatory,MP Stoinis,JR Hazlewood,Shashank Singh,0,0,0,,,,Punjab Kings,AT Holdstock,MP Stoinis,struck down,wicket,True,,MP Stoinis,lbw,,,,,,20.0,223.0,160
Punjab Kings,16,2,0.1,5.6,mandatory,Azmatullah Omarzai,JR Hazlewood,Shashank Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,160
Punjab Kings,16,3,0.1,5.6,mandatory,Azmatullah Omarzai,JR Hazlewood,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,161
Punjab Kings,16,4,0.1,5.6,mandatory,Shashank Singh,JR Hazlewood,Azmatullah Omarzai,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,162
Punjab Kings,16,5,0.1,5.6,mandatory,Azmatullah Omarzai,JR Hazlewood,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,163
Punjab Kings,16,6,0.1,5.6,mandatory,Shashank Singh,JR Hazlewood,Azmatullah Omarzai,0,4,4,,,,,,,,,,4.0,,,,,,,,20.0,223.0,167
Punjab Kings,17,1,0.1,5.6,mandatory,Azmatullah Omarzai,B Kumar,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,168
Punjab Kings,17,2,0.1,5.6,mandatory,Shashank Singh,B Kumar,Azmatullah Omarzai,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,172
Punjab Kings,17,3,0.1,5.6,mandatory,Shashank Singh,B Kumar,Azmatullah Omarzai,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,172
Punjab Kings,17,4,0.1,5.6,mandatory,Shashank Singh,B Kumar,Azmatullah Omarzai,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,176
Punjab Kings,17,5,0.1,5.6,mandatory,Shashank Singh,B Kumar,Azmatullah Omarzai,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,177
Punjab Kings,17,6,0.1,5.6,mandatory,Azmatullah Omarzai,B Kumar,Shashank Singh,6,0,6,,,,,,,,,,,,,,,,,,20.0,223.0,183
Punjab Kings,18,1,0.1,5.6,mandatory,Shashank Singh,JR Hazlewood,Azmatullah Omarzai,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,184
Punjab Kings,18,2,0.1,5.6,mandatory,Azmatullah Omarzai,JR Hazlewood,Shashank Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,184
Punjab Kings,18,3,0.1,5.6,mandatory,Azmatullah Omarzai,JR Hazlewood,Shashank Singh,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,188
Punjab Kings,18,4,0.1,5.6,mandatory,Azmatullah Omarzai,JR Hazlewood,Shashank Singh,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,188
Punjab Kings,18,5,0.1,5.6,mandatory,Azmatullah Omarzai,JR Hazlewood,Shashank Singh,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,189
Punjab Kings,18,6,0.1,5.6,mandatory,Shashank Singh,JR Hazlewood,Azmatullah Omarzai,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,190
Punjab Kings,19,1,0.1,5.6,mandatory,Shashank Singh,Rasikh Salam,Azmatullah Omarzai,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,191
Punjab Kings,19,2,0.1,5.6,mandatory,Shashank Singh,Rasikh Salam,Azmatullah Omarzai,2,0,2,,,,,,,,,,,,,,,,,,20.0,223.0,193
Punjab Kings,19,3,0.1,5.6,mandatory,Shashank Singh,Rasikh Salam,Azmatullah Omarzai,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,223.0,194
Punjab Kings,19,4,0.1,5.6,mandatory,Shashank Singh,Rasikh Salam,Azmatullah Omarzai,0,0,0,,,,,,,,,,,Shashank Singh,caught,,,,,V Kohli,20.0,223.0,194
Punjab Kings,19,5,0.1,5.6,mandatory,Harpreet Brar,Rasikh Salam,Azmatullah Omarzai,0,0,0,,,,,,,,,,,,,,,,,,20.0,223.0,194
Punjab Kings,19,6,0.1,5.6,mandatory,Harpreet Brar,Rasikh Salam,Azmatullah Omarzai,4,0,4,,,,,,,,,,,,,,,,,,20.0,223.0,198
Punjab Kings,19,7,0.1,5.6,mandatory,Harpreet Brar,Rasikh Salam,Azmatullah Omarzai,1,0,1,,,,,,,,,,,,,,,,,,20.0,223.0,199
Punjab Kings,19,8,0.1,5.6,mandatory,Azmatullah Omarzai,Rasikh Salam,Harpreet Brar,0,0,0,,,,,,,,,,,Azmatullah Omarzai,caught,,,,,TH David,20.0,223.0,199
