team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,5,4,0.1,5.6,mandatory,V Kohli,Arshdeep Singh,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,56
Royal Challengers Bengaluru,5,5,0.1,5.6,mandatory,D Padikkal,Arshdeep Singh,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,60
Royal Challengers Bengaluru,5,6,0.1,5.6,mandatory,D Padikkal,Arshdeep Singh,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,61
Royal Challengers Bengaluru,6,1,0.1,5.6,mandatory,D Padikkal,YS Chahal,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,67
Royal Challengers Bengaluru,6,2,0.1,5.6,mandatory,D Padikkal,YS Chahal,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,68
Royal Challengers Bengaluru,6,3,0.1,5.6,mandatory,V Kohli,YS Chahal,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,69
Royal Challengers Bengaluru,6,4,0.1,5.6,mandatory,D Padikkal,YS Chahal,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,70
Royal Challengers Bengaluru,6,5,0.1,5.6,mandatory,V Kohli,YS Chahal,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,74
Royal Challengers Bengaluru,6,6,0.1,5.6,mandatory,V Kohli,YS Chahal,D Padikkal,1,1,2,,1.0,,,,,,,,,,,,,,,,,,76
Royal Challengers Bengaluru,6,7,0.1,5.6,mandatory,D Padikkal,YS Chahal,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,82
Royal Challengers Bengaluru,7,1,0.1,5.6,mandatory,V Kohli,Shashank Singh,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,83
Royal Challengers Bengaluru,7,2,0.1,5.6,mandatory,D Padikkal,Shashank Singh,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,84
Royal Challengers Bengaluru,7,3,0.1,5.6,mandatory,V Kohli,Shashank Singh,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,85
Royal Challengers Bengaluru,7,4,0.1,5.6,mandatory,D Padikkal,Shashank Singh,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,,,87
Royal Challengers Bengaluru,7,5,0.1,5.6,mandatory,D Padikkal,Shashank Singh,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,91
Royal Challengers Bengaluru,7,6,0.1,5.6,mandatory,D Padikkal,Shashank Singh,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,91
Royal Challengers Bengaluru,8,1,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,92
Royal Challengers Bengaluru,8,2,0.1,5.6,mandatory,D Padikkal,Azmatullah Omarzai,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,92
Royal Challengers Bengaluru,8,3,0.1,5.6,mandatory,D Padikkal,Azmatullah Omarzai,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,93
Royal Challengers Bengaluru,8,4,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,97
Royal Challengers Bengaluru,8,5,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,,,,97
Royal Challengers Bengaluru,8,6,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,,,,97
