team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Delhi Capitals,7,2,0.1,5.6,mandatory,KL Rahul,RA Jadeja,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,80
Delhi Capitals,7,3,0.1,5.6,mandatory,P Nissanka,RA Jadeja,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,82
Delhi Capitals,7,4,0.1,5.6,mandatory,P Nissanka,RA Jadeja,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,84
Delhi Capitals,7,5,0.1,5.6,mandatory,P Nissanka,RA Jadeja,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,84
Delhi Capitals,7,6,0.1,5.6,mandatory,P Nissanka,RA Jadeja,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,88
Delhi Capitals,8,1,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,92
Delhi Capitals,8,2,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,92
Delhi Capitals,8,3,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,94
Delhi Capitals,8,4,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,100
Delhi Capitals,8,5,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,102
Delhi Capitals,8,6,0.1,5.6,mandatory,KL Rahul,Ravi Bishnoi,P Nissanka,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,108
Delhi Capitals,9,1,0.1,5.6,mandatory,P Nissanka,RA Jadeja,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,109
Delhi Capitals,9,2,0.1,5.6,mandatory,KL Rahul,RA Jadeja,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,110
Delhi Capitals,9,3,0.1,5.6,mandatory,P Nissanka,RA Jadeja,KL Rahul,0,0,0,Delhi Capitals,VK Sharma,P Nissanka,struck down,wicket,,,,,P Nissanka,lbw,,,,,,20.0,226.0,110
Delhi Capitals,9,4,0.1,5.6,mandatory,N Rana,RA Jadeja,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,111
Delhi Capitals,9,5,0.1,5.6,mandatory,KL Rahul,RA Jadeja,N Rana,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,112
Delhi Capitals,9,6,0.1,5.6,mandatory,N Rana,RA Jadeja,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,113
Delhi Capitals,10,1,0.1,5.6,mandatory,N Rana,Brijesh Sharma,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,113
Delhi Capitals,10,2,0.1,5.6,mandatory,N Rana,Brijesh Sharma,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,115
Delhi Capitals,10,3,0.1,5.6,mandatory,N Rana,Brijesh Sharma,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,116
Delhi Capitals,10,4,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,N Rana,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,117
Delhi Capitals,10,5,0.1,5.6,mandatory,N Rana,Brijesh Sharma,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,118
Delhi Capitals,10,6,0.1,5.6,mandatory,KL Rahul,Brijesh Sharma,N Rana,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,120
Delhi Capitals,11,1,0.1,5.6,mandatory,N Rana,RA Jadeja,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,126
Delhi Capitals,11,2,0.1,5.6,mandatory,N Rana,RA Jadeja,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,127
Delhi Capitals,11,3,0.1,5.6,mandatory,KL Rahul,RA Jadeja,N Rana,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,133
Delhi Capitals,11,4,0.1,5.6,mandatory,KL Rahul,RA Jadeja,N Rana,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,134
Delhi Capitals,11,5,0.1,5.6,mandatory,N Rana,RA Jadeja,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,134
Delhi Capitals,11,6,0.1,5.6,mandatory,N Rana,RA Jadeja,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,138
Delhi Capitals,12,1,0.1,5.6,mandatory,KL Rahul,TU Deshpande,N Rana,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,139
Delhi Capitals,12,2,0.1,5.6,mandatory,N Rana,TU Deshpande,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,143
Delhi Capitals,12,3,0.1,5.6,mandatory,N Rana,TU Deshpande,KL Rahul,0,1,1,,,,,,,1.0,,,,,,,,,,20.0,226.0,144
Delhi Capitals,12,4,0.1,5.6,mandatory,KL Rahul,TU Deshpande,N Rana,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,146
Delhi Capitals,12,5,0.1,5.6,mandatory,KL Rahul,TU Deshpande,N Rana,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,147
Delhi Capitals,12,6,0.1,5.6,mandatory,N Rana,TU Deshpande,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,148
Delhi Capitals,13,1,0.1,5.6,mandatory,N Rana,N Burger,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,154
Delhi Capitals,13,2,0.1,5.6,mandatory,N Rana,N Burger,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,158
Delhi Capitals,13,3,0.1,5.6,mandatory,N Rana,N Burger,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,159
Delhi Capitals,13,4,0.1,5.6,mandatory,KL Rahul,N Burger,N Rana,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,165
Delhi Capitals,13,5,0.1,5.6,mandatory,KL Rahul,N Burger,N Rana,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,165
Delhi Capitals,13,6,0.1,5.6,mandatory,KL Rahul,N Burger,N Rana,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,166
Delhi Capitals,14,1,0.1,5.6,mandatory,KL Rahul,TU Deshpande,N Rana,0,4,4,,,,,,,,4.0,,,,,,,,,20.0,226.0,170
Delhi Capitals,14,2,0.1,5.6,mandatory,KL Rahul,TU Deshpande,N Rana,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,171
Delhi Capitals,14,3,0.1,5.6,mandatory,N Rana,TU Deshpande,KL Rahul,0,0,0,Rajasthan Royals,SJ Nogajski,N Rana,upheld,wicket,,,,,N Rana,caught,,,,,Dhruv Jurel,20.0,226.0,171
Delhi Capitals,14,4,0.1,5.6,mandatory,T Stubbs,TU Deshpande,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,171
Delhi Capitals,14,5,0.1,5.6,mandatory,T Stubbs,TU Deshpande,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,172
Delhi Capitals,14,6,0.1,5.6,mandatory,KL Rahul,TU Deshpande,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,173
Delhi Capitals,15,1,0.1,5.6,mandatory,KL Rahul,JC Archer,T Stubbs,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,177
Delhi Capitals,15,2,0.1,5.6,mandatory,KL Rahul,JC Archer,T Stubbs,0,0,0,,,,,,,,,,KL Rahul,caught,,,,,D Ferreira,20.0,226.0,177
Delhi Capitals,15,3,0.1,5.6,mandatory,Ashutosh Sharma,JC Archer,T Stubbs,0,1,1,,,,,,1.0,,,,,,,,,,,20.0,226.0,178
Delhi Capitals,15,4,0.1,5.6,mandatory,Ashutosh Sharma,JC Archer,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,179
Delhi Capitals,15,5,0.1,5.6,mandatory,T Stubbs,JC Archer,Ashutosh Sharma,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,180
Delhi Capitals,15,6,0.1,5.6,mandatory,Ashutosh Sharma,JC Archer,T Stubbs,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,180
Delhi Capitals,15,7,0.1,5.6,mandatory,Ashutosh Sharma,JC Archer,T Stubbs,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,184
Delhi Capitals,16,1,0.1,5.6,mandatory,T Stubbs,Brijesh Sharma,Ashutosh Sharma,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,185
Delhi Capitals,16,2,0.1,5.6,mandatory,Ashutosh Sharma,Brijesh Sharma,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,186
Delhi Capitals,16,3,0.1,5.6,mandatory,T Stubbs,Brijesh Sharma,Ashutosh Sharma,0,1,1,,,,,,1.0,,,,,,,,,,,20.0,226.0,187
Delhi Capitals,16,4,0.1,5.6,mandatory,T Stubbs,Brijesh Sharma,Ashutosh Sharma,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,188
Delhi Capitals,16,5,0.1,5.6,mandatory,Ashutosh Sharma,Brijesh Sharma,T Stubbs,0,1,1,,,,,,1.0,,,,,,,,,,,20.0,226.0,189
Delhi Capitals,16,6,0.1,5.6,mandatory,Ashutosh Sharma,Brijesh Sharma,T Stubbs,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,191
Delhi Capitals,16,7,0.1,5.6,mandatory,Ashutosh Sharma,Brijesh Sharma,T Stubbs,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,195
Delhi Capitals,16,8,0.1,5.6,mandatory,Ashutosh Sharma,Brijesh Sharma,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,196
Delhi Capitals,17,1,0.1,5.6,mandatory,Ashutosh Sharma,TU Deshpande,T Stubbs,0,1,1,,,,,,1.0,,,,,,,,,,,20.0,226.0,197
Delhi Capitals,17,2,0.1,5.6,mandatory,Ashutosh Sharma,TU Deshpande,T Stubbs,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,201
Delhi Capitals,17,3,0.1,5.6,mandatory,Ashutosh Sharma,TU Deshpande,T Stubbs,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,201
Delhi Capitals,17,4,0.1,5.6,mandatory,Ashutosh Sharma,TU Deshpande,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,202
Delhi Capitals,17,5,0.1,5.6,mandatory,T Stubbs,TU Deshpande,Ashutosh Sharma,6,0,6,,,,,,,,,,,,,,,,,20.0,226.0,208
Delhi Capitals,17,6,0.1,5.6,mandatory,T Stubbs,TU Deshpande,Ashutosh Sharma,0,1,1,,,,,,1.0,,,,,,,,,,,20.0,226.0,209
Delhi Capitals,17,7,0.1,5.6,mandatory,T Stubbs,TU Deshpande,Ashutosh Sharma,0,1,1,,,,,,1.0,,,,,,,,,,,20.0,226.0,210
Delhi Capitals,17,8,0.1,5.6,mandatory,T Stubbs,TU Deshpande,Ashutosh Sharma,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,211
Delhi Capitals,17,9,0.1,5.6,mandatory,Ashutosh Sharma,TU Deshpande,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,212
Delhi Capitals,18,1,0.1,5.6,mandatory,Ashutosh Sharma,JC Archer,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,213
Delhi Capitals,18,2,0.1,5.6,mandatory,T Stubbs,JC Archer,Ashutosh Sharma,2,0,2,,,,,,,,,,,,,,,,,20.0,226.0,215
Delhi Capitals,18,3,0.1,5.6,mandatory,T Stubbs,JC Archer,Ashutosh Sharma,0,0,0,,,,,,,,,,,,,,,,,20.0,226.0,215
Delhi Capitals,18,4,0.1,5.6,mandatory,T Stubbs,JC Archer,Ashutosh Sharma,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,216
Delhi Capitals,18,5,0.1,5.6,mandatory,Ashutosh Sharma,JC Archer,T Stubbs,1,0,1,,,,,,,,,,,,,,,,,20.0,226.0,217
Delhi Capitals,18,6,0.1,5.6,mandatory,T Stubbs,JC Archer,Ashutosh Sharma,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,221
Delhi Capitals,19,1,0.1,5.6,mandatory,Ashutosh Sharma,Brijesh Sharma,T Stubbs,4,0,4,,,,,,,,,,,,,,,,,20.0,226.0,225
Delhi Capitals,19,2,0.1,5.6,mandatory,Ashutosh Sharma,Brijesh Sharma,T Stubbs,0,1,1,,,,,,,,,1.0,,,,,,,,20.0,226.0,226
