team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,6,3,0.1,5.6,mandatory,Dhruv Jurel,AR Patel,R Parag,4,0,4,,,,,,,,,,,,,,,,,,,62
Rajasthan Royals,6,4,0.1,5.6,mandatory,Dhruv Jurel,AR Patel,R Parag,0,0,0,,,,,,,,,,,,,,,,,,,62
Rajasthan Royals,6,5,0.1,5.6,mandatory,Dhruv Jurel,AR Patel,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,63
Rajasthan Royals,6,6,0.1,5.6,mandatory,R Parag,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,64
Rajasthan Royals,7,1,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,65
Rajasthan Royals,7,2,0.1,5.6,mandatory,Dhruv Jurel,Kuldeep Yadav,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,66
Rajasthan Royals,7,3,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,,,,68
Rajasthan Royals,7,4,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,69
Rajasthan Royals,7,5,0.1,5.6,mandatory,Dhruv Jurel,Kuldeep Yadav,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,70
Rajasthan Royals,7,6,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,71
Rajasthan Royals,8,1,0.1,5.6,mandatory,R Parag,AR Patel,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,,77
Rajasthan Royals,8,2,0.1,5.6,mandatory,R Parag,AR Patel,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,,83
Rajasthan Royals,8,3,0.1,5.6,mandatory,R Parag,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,84
Rajasthan Royals,8,4,0.1,5.6,mandatory,Dhruv Jurel,AR Patel,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,85
Rajasthan Royals,8,5,0.1,5.6,mandatory,R Parag,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,,85
Rajasthan Royals,8,6,0.1,5.6,mandatory,R Parag,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,,85
Rajasthan Royals,9,1,0.1,5.6,mandatory,Dhruv Jurel,Kuldeep Yadav,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,86
Rajasthan Royals,9,2,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,87
Rajasthan Royals,9,3,0.1,5.6,mandatory,Dhruv Jurel,Kuldeep Yadav,R Parag,0,0,0,,,,,,,,,,,,,,,,,,,87
Rajasthan Royals,9,4,0.1,5.6,mandatory,Dhruv Jurel,Kuldeep Yadav,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,88
Rajasthan Royals,9,5,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,89
Rajasthan Royals,9,6,0.1,5.6,mandatory,Dhruv Jurel,Kuldeep Yadav,R Parag,2,0,2,,,,,,,,,,,,,,,,,,,91
Rajasthan Royals,10,1,0.1,5.6,mandatory,R Parag,T Natarajan,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,,91
Rajasthan Royals,10,2,0.1,5.6,mandatory,R Parag,T Natarajan,Dhruv Jurel,0,1,1,,,,,,1.0,,,,,,,,,,,,,92
Rajasthan Royals,10,3,0.1,5.6,mandatory,R Parag,T Natarajan,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,,,,94
Rajasthan Royals,10,4,0.1,5.6,mandatory,R Parag,T Natarajan,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,95
Rajasthan Royals,10,5,0.1,5.6,mandatory,Dhruv Jurel,T Natarajan,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,96
Rajasthan Royals,10,6,0.1,5.6,mandatory,R Parag,T Natarajan,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,,100
Rajasthan Royals,10,7,0.1,5.6,mandatory,R Parag,T Natarajan,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,,106
Rajasthan Royals,11,1,0.1,5.6,mandatory,Dhruv Jurel,AR Patel,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,107
Rajasthan Royals,11,2,0.1,5.6,mandatory,R Parag,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,108
Rajasthan Royals,11,3,0.1,5.6,mandatory,Dhruv Jurel,AR Patel,R Parag,6,0,6,,,,,,,,,,,,,,,,,,,114
Rajasthan Royals,11,4,0.1,5.6,mandatory,Dhruv Jurel,AR Patel,R Parag,0,0,0,,,,,,,,,,Dhruv Jurel,caught,,,,,T Stubbs,,,114
Rajasthan Royals,11,5,0.1,5.6,mandatory,RA Jadeja,AR Patel,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,115
Rajasthan Royals,11,6,0.1,5.6,mandatory,R Parag,AR Patel,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,,,,116
Rajasthan Royals,12,1,0.1,5.6,mandatory,R Parag,T Natarajan,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,,,,117
Rajasthan Royals,12,2,0.1,5.6,mandatory,RA Jadeja,T Natarajan,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,118
Rajasthan Royals,12,3,0.1,5.6,mandatory,R Parag,T Natarajan,RA Jadeja,0,1,1,,,,,,,1.0,,,,,,,,,,,,119
Rajasthan Royals,12,4,0.1,5.6,mandatory,RA Jadeja,T Natarajan,R Parag,0,0,0,,,,,,,,,,,,,,,,,,,119
Rajasthan Royals,12,5,0.1,5.6,mandatory,RA Jadeja,T Natarajan,R Parag,2,0,2,,,,,,,,,,,,,,,,,,,121
Rajasthan Royals,12,6,0.1,5.6,mandatory,RA Jadeja,T Natarajan,R Parag,0,0,0,,,,,,,,,,,,,,,,,,,121
Rajasthan Royals,13,1,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,RA Jadeja,0,1,1,,,,,,,1.0,,,,,,,,,,,,122
Rajasthan Royals,13,2,0.1,5.6,mandatory,RA Jadeja,Kuldeep Yadav,R Parag,2,0,2,,,,,,,,,,,,,,,,,,,124
Rajasthan Royals,13,3,0.1,5.6,mandatory,RA Jadeja,Kuldeep Yadav,R Parag,0,0,0,,,,,,,,,,,,,,,,,,,124
Rajasthan Royals,13,4,0.1,5.6,mandatory,RA Jadeja,Kuldeep Yadav,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,125
Rajasthan Royals,13,5,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,,,,129
Rajasthan Royals,13,6,0.1,5.6,mandatory,R Parag,Kuldeep Yadav,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,,,,130
Rajasthan Royals,14,1,0.1,5.6,mandatory,R Parag,T Natarajan,RA Jadeja,2,0,2,,,,,,,,,,,,,,,,,,,132
Rajasthan Royals,14,2,0.1,5.6,mandatory,R Parag,T Natarajan,RA Jadeja,2,0,2,,,,,,,,,,,,,,,,,,,134
Rajasthan Royals,14,3,0.1,5.6,mandatory,R Parag,T Natarajan,RA Jadeja,0,1,1,,,,,,1.0,,,,,,,,,,,,,135
Rajasthan Royals,14,4,0.1,5.6,mandatory,R Parag,T Natarajan,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,,,,136
Rajasthan Royals,14,5,0.1,5.6,mandatory,RA Jadeja,T Natarajan,R Parag,6,0,6,,,,,,,,,,,,,,,,,,,142
Rajasthan Royals,14,6,0.1,5.6,mandatory,RA Jadeja,T Natarajan,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,143
Rajasthan Royals,14,7,0.1,5.6,mandatory,R Parag,T Natarajan,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,,,,147
Rajasthan Royals,15,1,0.1,5.6,mandatory,RA Jadeja,KA Jamieson,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,148
Rajasthan Royals,15,2,0.1,5.6,mandatory,R Parag,KA Jamieson,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,,,,152
Rajasthan Royals,15,3,0.1,5.6,mandatory,R Parag,KA Jamieson,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,,,,156
Rajasthan Royals,15,4,0.1,5.6,mandatory,R Parag,KA Jamieson,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,,,,160
Rajasthan Royals,15,5,0.1,5.6,mandatory,R Parag,KA Jamieson,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,,,,161
Rajasthan Royals,15,6,0.1,5.6,mandatory,RA Jadeja,KA Jamieson,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,162
Rajasthan Royals,16,1,0.1,5.6,mandatory,RA Jadeja,MA Starc,R Parag,4,0,4,,,,,,,,,,,,,,,,,,,166
Rajasthan Royals,16,2,0.1,5.6,mandatory,RA Jadeja,MA Starc,R Parag,0,1,1,,,,,,1.0,,,,,,,,,,,,,167
Rajasthan Royals,16,3,0.1,5.6,mandatory,RA Jadeja,MA Starc,R Parag,0,0,0,,,,,,,,,,RA Jadeja,caught,,,,,Ashutosh Sharma,,,167
Rajasthan Royals,16,4,0.1,5.6,mandatory,D Ferreira,MA Starc,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,168
