team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,noballs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Delhi Capitals,6,5,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,78
Delhi Capitals,6,6,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,78
Delhi Capitals,7,1,0.1,5.6,mandatory,KL Rahul,XC Bartlett,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,79
Delhi Capitals,7,2,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,83
Delhi Capitals,7,3,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,84
Delhi Capitals,7,4,0.1,5.6,mandatory,KL Rahul,XC Bartlett,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,85
Delhi Capitals,7,5,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,86
Delhi Capitals,7,6,0.1,5.6,mandatory,KL Rahul,XC Bartlett,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,87
Delhi Capitals,8,1,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,88
Delhi Capitals,8,2,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,,,90
Delhi Capitals,8,3,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,91
Delhi Capitals,8,4,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,92
Delhi Capitals,8,5,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,93
Delhi Capitals,8,6,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,94
Delhi Capitals,9,1,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,2,0,2,,,,,,,,,,,,,,,,,,,96
Delhi Capitals,9,2,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,0,0,0,,,,,,,,,,,,,,,,,,,96
Delhi Capitals,9,3,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,97
Delhi Capitals,9,4,0.1,5.6,mandatory,N Rana,Vijaykumar Vyshak,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,97
Delhi Capitals,9,5,0.1,5.6,mandatory,N Rana,Vijaykumar Vyshak,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,98
Delhi Capitals,9,6,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,102
Delhi Capitals,10,1,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,103
Delhi Capitals,10,2,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,1,2,1.0,,,,,,,,,,,,,,,,,,105
Delhi Capitals,10,3,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,106
Delhi Capitals,10,4,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,110
Delhi Capitals,10,5,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,114
Delhi Capitals,10,6,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,0,0,0,,,,,,,,,,,,,,,,,,,114
Delhi Capitals,10,7,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,0,0,0,,,,,,,,,,,,,,,,,,,114
Delhi Capitals,11,1,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,,,120
Delhi Capitals,11,2,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,124
Delhi Capitals,11,3,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,128
Delhi Capitals,11,4,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,132
Delhi Capitals,11,5,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,136
Delhi Capitals,11,6,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,,,142
Delhi Capitals,12,1,0.1,5.6,mandatory,KL Rahul,MP Stoinis,N Rana,0,1,1,,1.0,,,,,,,,,,,,,,,,,143
Delhi Capitals,12,2,0.1,5.6,mandatory,KL Rahul,MP Stoinis,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,144
Delhi Capitals,12,3,0.1,5.6,mandatory,N Rana,MP Stoinis,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,145
Delhi Capitals,12,4,0.1,5.6,mandatory,KL Rahul,MP Stoinis,N Rana,6,0,6,,,,,,,,,,,,,,,,,,,151
Delhi Capitals,12,5,0.1,5.6,mandatory,KL Rahul,MP Stoinis,N Rana,0,1,1,,1.0,,,,,,,,,,,,,,,,,152
Delhi Capitals,12,6,0.1,5.6,mandatory,KL Rahul,MP Stoinis,N Rana,0,0,0,,,,,,,,,,,,,,,,,,,152
Delhi Capitals,12,7,0.1,5.6,mandatory,KL Rahul,MP Stoinis,N Rana,0,0,0,,,,,,,,,,,,,,,,,,,152
Delhi Capitals,12,8,0.1,5.6,mandatory,KL Rahul,MP Stoinis,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,153
Delhi Capitals,13,1,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,157
Delhi Capitals,13,2,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,N Rana,6,0,6,,,,,,,,,,,,,,,,,,,163
Delhi Capitals,13,3,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,167
Delhi Capitals,13,4,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,168
Delhi Capitals,13,5,0.1,5.6,mandatory,N Rana,Arshdeep Singh,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,169
Delhi Capitals,13,6,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,173
Delhi Capitals,14,1,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,177
Delhi Capitals,14,2,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,178
Delhi Capitals,14,3,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,182
Delhi Capitals,14,4,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,2,0,2,,,,,,,,,,,,,,,,,,,184
Delhi Capitals,14,5,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,188
Delhi Capitals,14,6,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,189
Delhi Capitals,15,1,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,0,0,0,,,,,,,,,,,,,,,,,,,189
Delhi Capitals,15,2,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,6,0,6,,,,,,,,,,,,,,,,,,,195
Delhi Capitals,15,3,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,0,1,1,,1.0,,,,,,,,,,,,,,,,,196
Delhi Capitals,15,4,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,6,0,6,,,,,,,,,,,,,,,,,,,202
Delhi Capitals,15,5,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,6,0,6,,,,,,,,,,,,,,,,,,,208
Delhi Capitals,15,6,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,212
Delhi Capitals,15,7,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,213
Delhi Capitals,16,1,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,214
Delhi Capitals,16,2,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,0,1,1,,1.0,,,,,,,,,,,,,,,,,215
Delhi Capitals,16,3,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,216
Delhi Capitals,16,4,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,0,1,1,,1.0,,,,,,,,,,,,,,,,,217
Delhi Capitals,16,5,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,218
Delhi Capitals,16,6,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,219
Delhi Capitals,16,7,0.1,5.6,mandatory,KL Rahul,YS Chahal,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,220
Delhi Capitals,16,8,0.1,5.6,mandatory,N Rana,YS Chahal,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,,,226
Delhi Capitals,17,1,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,6,0,6,,,,,,,,,,,N Wadhera,YS Chahal,Punjab Kings,impact_player,,,,,232
Delhi Capitals,17,2,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,0,0,0,,,,,,,,,,,,,,,,,,,232
Delhi Capitals,17,3,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,233
Delhi Capitals,17,4,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,233
Delhi Capitals,17,5,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,234
Delhi Capitals,17,6,0.1,5.6,mandatory,KL Rahul,M Jansen,N Rana,4,0,4,,,,,,,,,,,,,,,,,,,238
Delhi Capitals,18,1,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,,,244
Delhi Capitals,18,2,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,248
Delhi Capitals,18,3,0.1,5.6,mandatory,N Rana,XC Bartlett,KL Rahul,0,0,0,,,,,,,,,N Rana,caught,,,,,SS Iyer,,,,248
Delhi Capitals,18,4,0.1,5.6,mandatory,DA Miller,XC Bartlett,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,249
Delhi Capitals,18,5,0.1,5.6,mandatory,KL Rahul,XC Bartlett,DA Miller,0,1,1,,1.0,,,,,,,,,,,,,,,,,250
Delhi Capitals,18,6,0.1,5.6,mandatory,KL Rahul,XC Bartlett,DA Miller,4,0,4,,,,,,,,,,,,,,,,,,,254
Delhi Capitals,18,7,0.1,5.6,mandatory,KL Rahul,XC Bartlett,DA Miller,1,0,1,,,,,,,,,,,,,,,,,,,255
Delhi Capitals,19,1,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,DA Miller,1,0,1,,,,,,,,,,,,,,,,,,,256
Delhi Capitals,19,2,0.1,5.6,mandatory,DA Miller,Arshdeep Singh,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,257
Delhi Capitals,19,3,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,DA Miller,1,0,1,,,,,,,,,,,,,,,,,,,258
Delhi Capitals,19,4,0.1,5.6,mandatory,DA Miller,Arshdeep Singh,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,259
Delhi Capitals,19,5,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,DA Miller,4,0,4,,,,,,,,,,,,,,,,,,,263
Delhi Capitals,19,6,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,DA Miller,1,0,1,,,,,,,,,,,,,,,,,,,264
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,6,0,6,,,,,,,,,,,Auqib Nabi,P Nissanka,Delhi Capitals,impact_player,,,20.0,265.0,6
Punjab Kings,0,2,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,20.0,265.0,6
Punjab Kings,0,3,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,0,1,1,,,1.0,,,,,,,,,,,,,,20.0,265.0,7
Punjab Kings,0,4,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,8
Punjab Kings,0,5,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,9
Punjab Kings,0,6,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,15
Punjab Kings,1,1,0.1,5.6,mandatory,Priyansh Arya,Mukesh Kumar,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,16
Punjab Kings,1,2,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,22
Punjab Kings,1,3,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,265.0,23
Punjab Kings,1,4,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,2,0,2,,,,,,,,,,,,,,,,,20.0,265.0,25
Punjab Kings,1,5,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,29
Punjab Kings,1,6,0.1,5.6,mandatory,P Simran Singh,Mukesh Kumar,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,30
Punjab Kings,1,7,0.1,5.6,mandatory,Priyansh Arya,Mukesh Kumar,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,36
Punjab Kings,2,1,0.1,5.6,mandatory,P Simran Singh,AR Patel,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,37
Punjab Kings,2,2,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,20.0,265.0,41
Punjab Kings,2,3,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,265.0,42
Punjab Kings,2,4,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,43
Punjab Kings,2,5,0.1,5.6,mandatory,P Simran Singh,AR Patel,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,20.0,265.0,44
Punjab Kings,2,6,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,50
Punjab Kings,2,7,0.1,5.6,mandatory,Priyansh Arya,AR Patel,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,20.0,265.0,56
