team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Lucknow Super Giants,0,1,0.1,5.6,mandatory,MR Marsh,DL Chahar,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,0
Lucknow Super Giants,0,2,0.1,5.6,mandatory,MR Marsh,DL Chahar,JP Inglis,6,0,6,,,,,,,,,,,,,,,,,,6
Lucknow Super Giants,0,3,0.1,5.6,mandatory,MR Marsh,DL Chahar,JP Inglis,4,0,4,,,,,,,,,,,,,,,,,,10
Lucknow Super Giants,0,4,0.1,5.6,mandatory,MR Marsh,DL Chahar,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,10
Lucknow Super Giants,0,5,0.1,5.6,mandatory,MR Marsh,DL Chahar,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,10
Lucknow Super Giants,0,6,0.1,5.6,mandatory,MR Marsh,DL Chahar,JP Inglis,1,0,1,,,,,,,,,,,,,,,,,,11
Lucknow Super Giants,1,1,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,JP Inglis,1,0,1,,,,,,,,,,,,,,,,,,12
Lucknow Super Giants,1,2,0.1,5.6,mandatory,JP Inglis,JJ Bumrah,MR Marsh,4,0,4,,,,,,,,,,,,,,,,,,16
Lucknow Super Giants,1,3,0.1,5.6,mandatory,JP Inglis,JJ Bumrah,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,17
Lucknow Super Giants,1,4,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,17
Lucknow Super Giants,1,5,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,17
Lucknow Super Giants,1,6,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,JP Inglis,4,0,4,,,,,,,,,,,,,,,,,,21
Lucknow Super Giants,2,1,0.1,5.6,mandatory,JP Inglis,AM Ghazanfar,MR Marsh,4,0,4,,,,,,,,,,,,,,,,,,25
Lucknow Super Giants,2,2,0.1,5.6,mandatory,JP Inglis,AM Ghazanfar,MR Marsh,4,0,4,,,,,,,,,,,,,,,,,,29
Lucknow Super Giants,2,3,0.1,5.6,mandatory,JP Inglis,AM Ghazanfar,MR Marsh,0,0,0,,,,,,,,,JP Inglis,caught,,,,,SA Yadav,,,29
Lucknow Super Giants,2,4,0.1,5.6,mandatory,N Pooran,AM Ghazanfar,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,30
Lucknow Super Giants,2,5,0.1,5.6,mandatory,MR Marsh,AM Ghazanfar,N Pooran,0,0,0,,,,,,,,,,,,,,,,,,30
Lucknow Super Giants,2,6,0.1,5.6,mandatory,MR Marsh,AM Ghazanfar,N Pooran,0,0,0,,,,,,,,,,,,,,,,,,30
Lucknow Super Giants,3,1,0.1,5.6,mandatory,N Pooran,JJ Bumrah,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,31
Lucknow Super Giants,3,2,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,N Pooran,1,0,1,,,,,,,,,,,,,,,,,,32
Lucknow Super Giants,3,3,0.1,5.6,mandatory,N Pooran,JJ Bumrah,MR Marsh,0,2,2,2.0,,,,,,,,,,,,,,,,,34
Lucknow Super Giants,3,4,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,N Pooran,6,0,6,,,,,,,,,,,,,,,,,,40
Lucknow Super Giants,3,5,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,N Pooran,4,1,5,,1.0,,,,,,,,,,,,,,,,45
Lucknow Super Giants,3,6,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,N Pooran,4,0,4,,,,,,,,,,,,,,,,,,49
Lucknow Super Giants,3,7,0.1,5.6,mandatory,MR Marsh,JJ Bumrah,N Pooran,1,0,1,,,,,,,,,,,,,,,,,,50
Lucknow Super Giants,3,8,0.1,5.6,mandatory,N Pooran,JJ Bumrah,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,51
Lucknow Super Giants,4,1,0.1,5.6,mandatory,N Pooran,WG Jacks,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,57
Lucknow Super Giants,4,2,0.1,5.6,mandatory,N Pooran,WG Jacks,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,58
Lucknow Super Giants,4,3,0.1,5.6,mandatory,MR Marsh,WG Jacks,N Pooran,1,0,1,,,,,,,,,,,,,,,,,,59
Lucknow Super Giants,4,4,0.1,5.6,mandatory,N Pooran,WG Jacks,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,65
Lucknow Super Giants,4,5,0.1,5.6,mandatory,N Pooran,WG Jacks,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,71
Lucknow Super Giants,4,6,0.1,5.6,mandatory,N Pooran,WG Jacks,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,71
Lucknow Super Giants,5,1,0.1,5.6,mandatory,MR Marsh,AM Ghazanfar,N Pooran,1,0,1,,,,,,,,,,,,,,,,,,72
Lucknow Super Giants,5,2,0.1,5.6,mandatory,N Pooran,AM Ghazanfar,MR Marsh,4,0,4,,,,,,,,,,,,,,,,,,76
Lucknow Super Giants,5,3,0.1,5.6,mandatory,N Pooran,AM Ghazanfar,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,82
Lucknow Super Giants,5,4,0.1,5.6,mandatory,N Pooran,AM Ghazanfar,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,83
