team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Lucknow Super Giants,0,1,0.1,5.6,mandatory,MR Marsh,B Kumar,AA Kulkarni,0,0,0,,,,,,,,,,,,0
Lucknow Super Giants,0,2,0.1,5.6,mandatory,MR Marsh,B Kumar,AA Kulkarni,1,0,1,,,,,,,,,,,,1
Lucknow Super Giants,0,3,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,0,0,0,,,,,,,,,,,,1
Lucknow Super Giants,0,4,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,2,0,2,,,,,,,,,,,,3
Lucknow Super Giants,0,5,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,0,0,0,,,,,,,,,,,,3
Lucknow Super Giants,0,6,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,2,0,2,,,,,,,,,,,,5
Lucknow Super Giants,1,1,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,1,1,1.0,,,,,,,,,,,6
Lucknow Super Giants,1,2,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,6,0,6,,,,,,,,,,,,12
Lucknow Super Giants,1,3,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,0,0,,,,,,,,,,,,12
Lucknow Super Giants,1,4,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,0,0,,,,,,,,,,,,12
Lucknow Super Giants,1,5,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,0,0,,,,,,,,,,,,12
Lucknow Super Giants,1,6,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,6,0,6,,,,,,,,,,,,18
Lucknow Super Giants,1,7,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,0,0,,,,,,,,,,,,18
Lucknow Super Giants,2,1,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,0,0,0,,,,,,,,,,,,18
Lucknow Super Giants,2,2,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,2,0,2,,,,,,,,,,,,20
Lucknow Super Giants,2,3,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,0,0,0,,,,,,,,,,,,20
Lucknow Super Giants,2,4,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,0,0,0,,,,,,,,,,,,20
Lucknow Super Giants,2,5,0.1,5.6,mandatory,AA Kulkarni,B Kumar,MR Marsh,1,0,1,,,,,,,,,,,,21
Lucknow Super Giants,2,6,0.1,5.6,mandatory,MR Marsh,B Kumar,AA Kulkarni,6,0,6,,,,,,,,,,,,27
Lucknow Super Giants,3,1,0.1,5.6,mandatory,AA Kulkarni,KH Pandya,MR Marsh,1,0,1,,,,,,,,,,,,28
Lucknow Super Giants,3,2,0.1,5.6,mandatory,MR Marsh,KH Pandya,AA Kulkarni,0,0,0,,,,,,,,,,,,28
Lucknow Super Giants,3,3,0.1,5.6,mandatory,MR Marsh,KH Pandya,AA Kulkarni,4,0,4,,,,,,,,,,,,32
Lucknow Super Giants,3,4,0.1,5.6,mandatory,MR Marsh,KH Pandya,AA Kulkarni,6,0,6,,,,,,,,,,,,38
Lucknow Super Giants,3,5,0.1,5.6,mandatory,MR Marsh,KH Pandya,AA Kulkarni,1,0,1,,,,,,,,,,,,39
Lucknow Super Giants,3,6,0.1,5.6,mandatory,AA Kulkarni,KH Pandya,MR Marsh,0,0,0,,,,,,,,,,,,39
Lucknow Super Giants,4,1,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,AA Kulkarni,6,0,6,,,,,,,,,,,,45
Lucknow Super Giants,4,2,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,AA Kulkarni,6,0,6,,,,,,,,,,,,51
Lucknow Super Giants,4,3,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,AA Kulkarni,0,0,0,,,,,,,,,,,,51
Lucknow Super Giants,4,4,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,AA Kulkarni,4,0,4,,,,,,,,,,,,55
Lucknow Super Giants,4,5,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,AA Kulkarni,0,1,1,,1.0,,,,,,,,,,56
Lucknow Super Giants,4,6,0.1,5.6,mandatory,AA Kulkarni,Rasikh Salam,MR Marsh,0,0,0,,,,,,,,,,,,56
Lucknow Super Giants,5,1,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,0,0,,,,,,,,,,,,56
Lucknow Super Giants,5,2,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,4,0,4,,,,,,,,,,,,60
Lucknow Super Giants,5,3,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,4,0,4,,,,,,,,,,,,64
Lucknow Super Giants,5,4,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,0,0,,,,,,,,,,,,64
Lucknow Super Giants,5,5,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,0,0,0,,,,,,,,,,,,64
Lucknow Super Giants,5,6,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AA Kulkarni,4,0,4,,,,,,,,,,,,68
Lucknow Super Giants,6,1,0.1,5.6,mandatory,AA Kulkarni,Suyash Sharma,MR Marsh,1,0,1,,,,,,,,,,,,69
Lucknow Super Giants,6,2,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,AA Kulkarni,6,0,6,,,,,,,,,,,,75
Lucknow Super Giants,6,3,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,AA Kulkarni,1,0,1,,,,,,,,,,,,76
Lucknow Super Giants,6,4,0.1,5.6,mandatory,AA Kulkarni,Suyash Sharma,MR Marsh,4,0,4,,,,,,,,,,,,80
Lucknow Super Giants,6,5,0.1,5.6,mandatory,AA Kulkarni,Suyash Sharma,MR Marsh,0,0,0,,,,,,,,,,,,80
Lucknow Super Giants,6,6,0.1,5.6,mandatory,AA Kulkarni,Suyash Sharma,MR Marsh,0,0,0,,,,,,,,,,,,80
Lucknow Super Giants,7,1,0.1,5.6,mandatory,MR Marsh,KH Pandya,AA Kulkarni,1,0,1,,,,,,,,,,,,81
Lucknow Super Giants,7,2,0.1,5.6,mandatory,AA Kulkarni,KH Pandya,MR Marsh,0,0,0,,,,,,,,,,,,81
Lucknow Super Giants,7,3,0.1,5.6,mandatory,AA Kulkarni,KH Pandya,MR Marsh,0,0,0,,,,,,,,,,,,81
Lucknow Super Giants,7,4,0.1,5.6,mandatory,AA Kulkarni,KH Pandya,MR Marsh,1,0,1,,,,,,,,,,,,82
Lucknow Super Giants,7,5,0.1,5.6,mandatory,MR Marsh,KH Pandya,AA Kulkarni,4,0,4,,,,,,,,,,,,86
Lucknow Super Giants,7,6,0.1,5.6,mandatory,MR Marsh,KH Pandya,AA Kulkarni,0,0,0,,,,,,,,,,,,86
Lucknow Super Giants,8,1,0.1,5.6,mandatory,AA Kulkarni,Suyash Sharma,MR Marsh,1,0,1,,,,,,,,,,,,87
Lucknow Super Giants,8,2,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,AA Kulkarni,1,0,1,,,,,,,,,,,,88
Lucknow Super Giants,8,3,0.1,5.6,mandatory,AA Kulkarni,Suyash Sharma,MR Marsh,1,0,1,,,,,,,,,,,,89
Lucknow Super Giants,8,4,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,AA Kulkarni,4,0,4,,,,,,,,,,,,93
Lucknow Super Giants,8,5,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,AA Kulkarni,1,0,1,,,,,,,,,,,,94
Lucknow Super Giants,8,6,0.1,5.6,mandatory,AA Kulkarni,Suyash Sharma,MR Marsh,1,0,1,,,,,,,,,,,,95
Lucknow Super Giants,9,1,0.1,5.6,mandatory,AA Kulkarni,KH Pandya,MR Marsh,0,0,0,,,,,,,,,,,,95
Lucknow Super Giants,9,2,0.1,5.6,mandatory,AA Kulkarni,KH Pandya,MR Marsh,0,0,0,,,AA Kulkarni,caught,,,,,RM Patidar,,,95
Lucknow Super Giants,9,3,0.1,5.6,mandatory,N Pooran,KH Pandya,MR Marsh,0,0,0,,,,,,,,,,,,95
Lucknow Super Giants,9,4,0.1,5.6,mandatory,N Pooran,KH Pandya,MR Marsh,1,0,1,,,,,,,,,,,,96
Lucknow Super Giants,9,5,0.1,5.6,mandatory,MR Marsh,KH Pandya,N Pooran,2,0,2,,,,,,,,,,,,98
Lucknow Super Giants,9,6,0.1,5.6,mandatory,MR Marsh,KH Pandya,N Pooran,0,0,0,,,,,,,,,,,,98
Lucknow Super Giants,10,1,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,1,0,1,,,,,,,,,,,,99
Lucknow Super Giants,10,2,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,N Pooran,1,0,1,,,,,,,,,,,,100
Lucknow Super Giants,10,3,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,4,0,4,,,,,,,,,,,,104
Lucknow Super Giants,10,4,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,4,0,4,,,,,,,,,,,,108
Lucknow Super Giants,10,5,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,1,0,1,,,,,,,,,,,,109
Lucknow Super Giants,10,6,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,N Pooran,0,0,0,,,,,,,,,,,,109
Lucknow Super Giants,11,1,0.1,5.6,mandatory,N Pooran,JR Hazlewood,MR Marsh,1,0,1,,,,,,,,,,,,110
Lucknow Super Giants,11,2,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,N Pooran,1,0,1,,,,,,,,,,,,111
Lucknow Super Giants,11,3,0.1,5.6,mandatory,N Pooran,JR Hazlewood,MR Marsh,1,0,1,,,,,,,,,,,,112
