team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,noballs,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,4,5,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,20.0,181.0,37
Sunrisers Hyderabad,4,6,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,38
Sunrisers Hyderabad,5,1,0.1,5.6,mandatory,Abhishek Sharma,A Kamboj,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,38
Sunrisers Hyderabad,5,2,0.1,5.6,mandatory,Abhishek Sharma,A Kamboj,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,39
Sunrisers Hyderabad,5,3,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,39
Sunrisers Hyderabad,5,4,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,39
Sunrisers Hyderabad,5,5,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Abhishek Sharma,,6,0,6,,,,,,,,,,,,,,20.0,181.0,45
Sunrisers Hyderabad,5,6,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,20.0,181.0,45
Sunrisers Hyderabad,6,1,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,45
Sunrisers Hyderabad,6,2,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,46
Sunrisers Hyderabad,6,3,0.1,5.6,mandatory,Ishan Kishan,Noor Ahmad,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,20.0,181.0,47
Sunrisers Hyderabad,6,4,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,47
Sunrisers Hyderabad,6,5,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,47
Sunrisers Hyderabad,6,6,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,Ishan Kishan,,6,0,6,,,,,,,,,,,,,,20.0,181.0,53
Sunrisers Hyderabad,7,1,0.1,5.6,mandatory,Ishan Kishan,AJ Hosein,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,20.0,181.0,54
Sunrisers Hyderabad,7,2,0.1,5.6,mandatory,Abhishek Sharma,AJ Hosein,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,55
Sunrisers Hyderabad,7,3,0.1,5.6,mandatory,Ishan Kishan,AJ Hosein,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,20.0,181.0,56
Sunrisers Hyderabad,7,4,0.1,5.6,mandatory,Abhishek Sharma,AJ Hosein,Ishan Kishan,,0,0,0,,,,,,,Abhishek Sharma,caught,,,,,SH Johnson,20.0,181.0,56
Sunrisers Hyderabad,7,5,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,56
Sunrisers Hyderabad,7,6,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,57
Sunrisers Hyderabad,8,1,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,58
Sunrisers Hyderabad,8,2,0.1,5.6,mandatory,Ishan Kishan,Noor Ahmad,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,59
Sunrisers Hyderabad,8,3,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,59
Sunrisers Hyderabad,8,4,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,59
Sunrisers Hyderabad,8,5,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,63
Sunrisers Hyderabad,8,6,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,64
Sunrisers Hyderabad,9,1,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,64
Sunrisers Hyderabad,9,2,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,64
Sunrisers Hyderabad,9,3,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,68
Sunrisers Hyderabad,9,4,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,68
Sunrisers Hyderabad,9,5,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,6,0,6,,,,,,,,,,,,,,20.0,181.0,74
Sunrisers Hyderabad,9,6,0.1,5.6,mandatory,H Klaasen,AJ Hosein,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,75
Sunrisers Hyderabad,10,1,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,76
Sunrisers Hyderabad,10,2,0.1,5.6,mandatory,Ishan Kishan,Noor Ahmad,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,77
Sunrisers Hyderabad,10,3,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,6,0,6,,,,,,,,,,,,,,20.0,181.0,83
Sunrisers Hyderabad,10,4,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,87
Sunrisers Hyderabad,10,5,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,88
Sunrisers Hyderabad,10,6,0.1,5.6,mandatory,Ishan Kishan,Noor Ahmad,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,89
Sunrisers Hyderabad,11,1,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,H Klaasen,,0,0,0,,,,,,,,,,,,,,20.0,181.0,89
Sunrisers Hyderabad,11,2,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,H Klaasen,,4,0,4,,,,,,,,,,,,,,20.0,181.0,93
Sunrisers Hyderabad,11,3,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,94
Sunrisers Hyderabad,11,4,0.1,5.6,mandatory,H Klaasen,SH Johnson,Ishan Kishan,,2,0,2,,,,,,,,,,,,,,20.0,181.0,96
Sunrisers Hyderabad,11,5,0.1,5.6,mandatory,H Klaasen,SH Johnson,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,97
Sunrisers Hyderabad,11,6,0.1,5.6,mandatory,Ishan Kishan,SH Johnson,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,98
Sunrisers Hyderabad,12,1,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,H Klaasen,,2,0,2,,,,,,,,,,,,,,20.0,181.0,100
Sunrisers Hyderabad,12,2,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,H Klaasen,,6,0,6,,,,,,,,,,,,,,20.0,181.0,106
Sunrisers Hyderabad,12,3,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,107
Sunrisers Hyderabad,12,4,0.1,5.6,mandatory,H Klaasen,A Kamboj,Ishan Kishan,,0,1,1,,,,,,1.0,,,,,,,,20.0,181.0,108
Sunrisers Hyderabad,12,5,0.1,5.6,mandatory,H Klaasen,A Kamboj,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,109
Sunrisers Hyderabad,12,6,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,H Klaasen,,4,0,4,,,,,,,,,,,,,,20.0,181.0,113
Sunrisers Hyderabad,12,7,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,114
Sunrisers Hyderabad,13,1,0.1,5.6,mandatory,Ishan Kishan,S Dube,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,115
Sunrisers Hyderabad,13,2,0.1,5.6,mandatory,H Klaasen,S Dube,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,119
Sunrisers Hyderabad,13,3,0.1,5.6,mandatory,H Klaasen,S Dube,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,120
Sunrisers Hyderabad,13,4,0.1,5.6,mandatory,Ishan Kishan,S Dube,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,121
Sunrisers Hyderabad,13,5,0.1,5.6,mandatory,H Klaasen,S Dube,Ishan Kishan,,0,1,1,,,,,,1.0,,,,,,,,20.0,181.0,122
Sunrisers Hyderabad,13,6,0.1,5.6,mandatory,H Klaasen,S Dube,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,126
Sunrisers Hyderabad,13,7,0.1,5.6,mandatory,H Klaasen,S Dube,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,126
Sunrisers Hyderabad,14,1,0.1,5.6,mandatory,Ishan Kishan,Noor Ahmad,H Klaasen,,1,0,1,,,,,,,,,,,,,,20.0,181.0,127
Sunrisers Hyderabad,14,2,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,131
Sunrisers Hyderabad,14,3,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Ishan Kishan,,0,0,0,,,,,,,H Klaasen,stumped,,,,,SV Samson,20.0,181.0,131
Sunrisers Hyderabad,14,4,0.1,5.6,mandatory,Nithish Kumar Reddy,Noor Ahmad,Ishan Kishan,,2,0,2,,,,,,,,,,,,,,20.0,181.0,133
Sunrisers Hyderabad,14,5,0.1,5.6,mandatory,Nithish Kumar Reddy,Noor Ahmad,Ishan Kishan,,4,0,4,,,,,,,,,,,,,,20.0,181.0,137
Sunrisers Hyderabad,14,6,0.1,5.6,mandatory,Nithish Kumar Reddy,Noor Ahmad,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,20.0,181.0,137
Sunrisers Hyderabad,15,1,0.1,5.6,mandatory,Ishan Kishan,AJ Hosein,Nithish Kumar Reddy,,0,0,0,,,,,,,,,,,,,,20.0,181.0,137
Sunrisers Hyderabad,15,2,0.1,5.6,mandatory,Ishan Kishan,AJ Hosein,Nithish Kumar Reddy,,0,0,0,,,,,,,,,,,,,,20.0,181.0,137
Sunrisers Hyderabad,15,3,0.1,5.6,mandatory,Ishan Kishan,AJ Hosein,Nithish Kumar Reddy,,1,0,1,,,,,,,,,,,,,,20.0,181.0,138
Sunrisers Hyderabad,15,4,0.1,5.6,mandatory,Nithish Kumar Reddy,AJ Hosein,Ishan Kishan,,0,1,1,,,,,,1.0,,,,,,,,20.0,181.0,139
Sunrisers Hyderabad,15,5,0.1,5.6,mandatory,Nithish Kumar Reddy,AJ Hosein,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,140
Sunrisers Hyderabad,15,6,0.1,5.6,mandatory,Ishan Kishan,AJ Hosein,Nithish Kumar Reddy,,2,0,2,,,,,,,,,,,,,,20.0,181.0,142
Sunrisers Hyderabad,15,7,0.1,5.6,mandatory,Ishan Kishan,AJ Hosein,Nithish Kumar Reddy,,1,0,1,,,,,,,,,,,,,,20.0,181.0,143
Sunrisers Hyderabad,16,1,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Nithish Kumar Reddy,,1,0,1,,,,,,,,,,,,,,20.0,181.0,144
Sunrisers Hyderabad,16,2,0.1,5.6,mandatory,Nithish Kumar Reddy,A Kamboj,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,145
Sunrisers Hyderabad,16,3,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Nithish Kumar Reddy,,1,0,1,,,,,,,,,,,,,,20.0,181.0,146
Sunrisers Hyderabad,16,4,0.1,5.6,mandatory,Nithish Kumar Reddy,A Kamboj,Ishan Kishan,,3,0,3,,,,,,,,,,,,,,20.0,181.0,149
Sunrisers Hyderabad,16,5,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Nithish Kumar Reddy,,4,0,4,,,,,,,,,,,,,,20.0,181.0,153
Sunrisers Hyderabad,16,6,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,Nithish Kumar Reddy,,0,0,0,,,,,,,,,,,,,,20.0,181.0,153
Sunrisers Hyderabad,17,1,0.1,5.6,mandatory,Nithish Kumar Reddy,Mukesh Choudhary,Ishan Kishan,,0,0,0,,,,,,,Nithish Kumar Reddy,caught,,,,,Urvil Patel,20.0,181.0,153
Sunrisers Hyderabad,17,2,0.1,5.6,mandatory,S Arora,Mukesh Choudhary,Ishan Kishan,,0,1,1,,,,,,1.0,,,,,,,,20.0,181.0,154
Sunrisers Hyderabad,17,3,0.1,5.6,mandatory,S Arora,Mukesh Choudhary,Ishan Kishan,,0,1,1,,,,,,1.0,,,,,,,,20.0,181.0,155
Sunrisers Hyderabad,17,4,0.1,5.6,mandatory,S Arora,Mukesh Choudhary,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,156
Sunrisers Hyderabad,17,5,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,S Arora,,1,0,1,,,,,,,,,,,,,,20.0,181.0,157
Sunrisers Hyderabad,17,6,0.1,5.6,mandatory,S Arora,Mukesh Choudhary,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,158
Sunrisers Hyderabad,17,7,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,S Arora,,4,0,4,,,,,,,,,,,,,,20.0,181.0,162
Sunrisers Hyderabad,17,8,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,S Arora,,6,0,6,,,,,,,,,,,,,,20.0,181.0,168
Sunrisers Hyderabad,18,1,0.1,5.6,mandatory,S Arora,A Kamboj,Ishan Kishan,,6,0,6,,,,,,,,,,,,,,20.0,181.0,174
Sunrisers Hyderabad,18,2,0.1,5.6,mandatory,S Arora,A Kamboj,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,20.0,181.0,175
Sunrisers Hyderabad,18,3,0.1,5.6,mandatory,Ishan Kishan,A Kamboj,S Arora,,0,0,0,,,,,,,Ishan Kishan,caught,,,,,Urvil Patel,20.0,181.0,175
Sunrisers Hyderabad,18,4,0.1,5.6,mandatory,R Smaran,A Kamboj,S Arora,,1,0,1,,,,,,,,,,,,,,20.0,181.0,176
Sunrisers Hyderabad,18,5,0.1,5.6,mandatory,S Arora,A Kamboj,R Smaran,,1,0,1,,,,,,,,,,,,,,20.0,181.0,177
Sunrisers Hyderabad,18,6,0.1,5.6,mandatory,R Smaran,A Kamboj,S Arora,,4,0,4,,,,,,,,,,,,,,20.0,181.0,181
