team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,noballs,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,5,2,0.1,5.6,mandatory,Kartik Sharma,E Malinga,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,54
Chennai Super Kings,5,3,0.1,5.6,mandatory,RD Gaikwad,E Malinga,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,55
Chennai Super Kings,5,4,0.1,5.6,mandatory,Kartik Sharma,E Malinga,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,56
Chennai Super Kings,5,5,0.1,5.6,mandatory,RD Gaikwad,E Malinga,Kartik Sharma,,0,0,0,,,,,,,,,,,,,,,,56
Chennai Super Kings,5,6,0.1,5.6,mandatory,RD Gaikwad,E Malinga,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,57
Chennai Super Kings,6,1,0.1,5.6,mandatory,RD Gaikwad,Shivang Kumar,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,58
Chennai Super Kings,6,2,0.1,5.6,mandatory,Kartik Sharma,Shivang Kumar,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,59
Chennai Super Kings,6,3,0.1,5.6,mandatory,RD Gaikwad,Shivang Kumar,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,60
Chennai Super Kings,6,4,0.1,5.6,mandatory,Kartik Sharma,Shivang Kumar,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,61
Chennai Super Kings,6,5,0.1,5.6,mandatory,RD Gaikwad,Shivang Kumar,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,62
Chennai Super Kings,6,6,0.1,5.6,mandatory,Kartik Sharma,Shivang Kumar,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,63
Chennai Super Kings,7,1,0.1,5.6,mandatory,Kartik Sharma,PP Hinge,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,67
Chennai Super Kings,7,2,0.1,5.6,mandatory,Kartik Sharma,PP Hinge,RD Gaikwad,,6,0,6,,,,,,,,,,,,,,,,73
Chennai Super Kings,7,3,0.1,5.6,mandatory,Kartik Sharma,PP Hinge,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,77
Chennai Super Kings,7,4,0.1,5.6,mandatory,Kartik Sharma,PP Hinge,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,77
Chennai Super Kings,7,5,0.1,5.6,mandatory,Kartik Sharma,PP Hinge,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,78
Chennai Super Kings,7,6,0.1,5.6,mandatory,RD Gaikwad,PP Hinge,Kartik Sharma,,0,1,1,,,,,,1.0,,,,,,,,,,79
Chennai Super Kings,7,7,0.1,5.6,mandatory,RD Gaikwad,PP Hinge,Kartik Sharma,,0,0,0,,,,,,,,,,,,,,,,79
Chennai Super Kings,8,1,0.1,5.6,mandatory,Kartik Sharma,Shivang Kumar,RD Gaikwad,,6,0,6,,,,,,,,,,,,,,,,85
Chennai Super Kings,8,2,0.1,5.6,mandatory,Kartik Sharma,Shivang Kumar,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,86
Chennai Super Kings,8,3,0.1,5.6,mandatory,RD Gaikwad,Shivang Kumar,Kartik Sharma,,0,0,0,,,,,,,,,,,,,,,,86
Chennai Super Kings,8,4,0.1,5.6,mandatory,RD Gaikwad,Shivang Kumar,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,87
Chennai Super Kings,8,5,0.1,5.6,mandatory,Kartik Sharma,Shivang Kumar,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,88
Chennai Super Kings,8,6,0.1,5.6,mandatory,RD Gaikwad,Shivang Kumar,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,89
Chennai Super Kings,9,1,0.1,5.6,mandatory,RD Gaikwad,PJ Cummins,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,90
Chennai Super Kings,9,2,0.1,5.6,mandatory,Kartik Sharma,PJ Cummins,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,90
Chennai Super Kings,9,3,0.1,5.6,mandatory,Kartik Sharma,PJ Cummins,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,90
Chennai Super Kings,9,4,0.1,5.6,mandatory,Kartik Sharma,PJ Cummins,RD Gaikwad,,0,0,0,,,,,,,Kartik Sharma,caught,,,,,Nithish Kumar Reddy,,,90
Chennai Super Kings,9,5,0.1,5.6,mandatory,D Brevis,PJ Cummins,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,90
Chennai Super Kings,9,6,0.1,5.6,mandatory,D Brevis,PJ Cummins,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,91
Chennai Super Kings,10,1,0.1,5.6,mandatory,D Brevis,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,91
Chennai Super Kings,10,2,0.1,5.6,mandatory,D Brevis,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,91
Chennai Super Kings,10,3,0.1,5.6,mandatory,D Brevis,Sakib Hussain,RD Gaikwad,,6,0,6,,,,,,,,,,,,,,,,97
Chennai Super Kings,10,4,0.1,5.6,mandatory,D Brevis,Sakib Hussain,RD Gaikwad,,0,1,1,,,,,,1.0,,,,,,,,,,98
Chennai Super Kings,10,5,0.1,5.6,mandatory,D Brevis,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,98
Chennai Super Kings,10,6,0.1,5.6,mandatory,D Brevis,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,98
Chennai Super Kings,10,7,0.1,5.6,mandatory,D Brevis,Sakib Hussain,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,99
Chennai Super Kings,11,1,0.1,5.6,mandatory,D Brevis,PJ Cummins,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,100
Chennai Super Kings,11,2,0.1,5.6,mandatory,RD Gaikwad,PJ Cummins,D Brevis,,0,0,0,,,,,,,,,,,,,,,,100
Chennai Super Kings,11,3,0.1,5.6,mandatory,RD Gaikwad,PJ Cummins,D Brevis,,0,0,0,,,,,,,RD Gaikwad,caught,,,,,E Malinga,,,100
Chennai Super Kings,11,4,0.1,5.6,mandatory,S Dube,PJ Cummins,D Brevis,,0,0,0,,,,,,,,,,,,,,,,100
Chennai Super Kings,11,5,0.1,5.6,mandatory,S Dube,PJ Cummins,D Brevis,,0,0,0,,,,,,,,,,,,,,,,100
Chennai Super Kings,11,6,0.1,5.6,mandatory,S Dube,PJ Cummins,D Brevis,,0,0,0,,,,,,,,,,,,,,,,100
Chennai Super Kings,12,1,0.1,5.6,mandatory,D Brevis,Shivang Kumar,S Dube,,1,0,1,,,,,,,,,,,,,,,,101
Chennai Super Kings,12,2,0.1,5.6,mandatory,S Dube,Shivang Kumar,D Brevis,,1,0,1,,,,,,,,,,,,,,,,102
Chennai Super Kings,12,3,0.1,5.6,mandatory,D Brevis,Shivang Kumar,S Dube,,0,0,0,,,,,,,,,,,,,,,,102
Chennai Super Kings,12,4,0.1,5.6,mandatory,D Brevis,Shivang Kumar,S Dube,,1,0,1,,,,,,,,,,,,,,,,103
Chennai Super Kings,12,5,0.1,5.6,mandatory,S Dube,Shivang Kumar,D Brevis,,1,0,1,,,,,,,,,,,,,,,,104
Chennai Super Kings,12,6,0.1,5.6,mandatory,D Brevis,Shivang Kumar,S Dube,,0,0,0,,,,,,,,,,,,,,,,104
Chennai Super Kings,13,1,0.1,5.6,mandatory,S Dube,Nithish Kumar Reddy,D Brevis,,0,1,1,,,,,,1.0,,,,,,,,,,105
Chennai Super Kings,13,2,0.1,5.6,mandatory,S Dube,Nithish Kumar Reddy,D Brevis,,4,0,4,,,,,,,,,,,,,,,,109
Chennai Super Kings,13,3,0.1,5.6,mandatory,S Dube,Nithish Kumar Reddy,D Brevis,,1,0,1,,,,,,,,,,,,,,,,110
Chennai Super Kings,13,4,0.1,5.6,mandatory,D Brevis,Nithish Kumar Reddy,S Dube,,4,0,4,,,,,,,,,,,,,,,,114
Chennai Super Kings,13,5,0.1,5.6,mandatory,D Brevis,Nithish Kumar Reddy,S Dube,,6,0,6,,,,,,,,,,,,,,,,120
Chennai Super Kings,13,6,0.1,5.6,mandatory,D Brevis,Nithish Kumar Reddy,S Dube,,1,0,1,,,,,,,,,,,,,,,,121
Chennai Super Kings,13,7,0.1,5.6,mandatory,S Dube,Nithish Kumar Reddy,D Brevis,,1,0,1,,,,,,,,,,,,,,,,122
Chennai Super Kings,14,1,0.1,5.6,mandatory,S Dube,E Malinga,D Brevis,,1,0,1,,,,,,,,,,,,,,,,123
Chennai Super Kings,14,2,0.1,5.6,mandatory,D Brevis,E Malinga,S Dube,,1,0,1,,,,,,,,,,,,,,,,124
Chennai Super Kings,14,3,0.1,5.6,mandatory,S Dube,E Malinga,D Brevis,,0,0,0,,,,,,,,,,,,,,,,124
Chennai Super Kings,14,4,0.1,5.6,mandatory,S Dube,E Malinga,D Brevis,,6,0,6,,,,,,,,,,,,,,,,130
Chennai Super Kings,14,5,0.1,5.6,mandatory,S Dube,E Malinga,D Brevis,,1,0,1,,,,,,,,,,,,,,,,131
Chennai Super Kings,14,6,0.1,5.6,mandatory,D Brevis,E Malinga,S Dube,,1,0,1,,,,,,,,,,,,,,,,132
Chennai Super Kings,15,1,0.1,5.6,mandatory,D Brevis,PJ Cummins,S Dube,,6,0,6,,,,,,,,,,,,,,,,138
Chennai Super Kings,15,2,0.1,5.6,mandatory,D Brevis,PJ Cummins,S Dube,,4,0,4,,,,,,,,,,,,,,,,142
