team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,8,6,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,88
Punjab Kings,9,1,0.1,5.6,mandatory,SS Iyer,HH Pandya,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,89
Punjab Kings,9,2,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,93
Punjab Kings,9,3,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,97
Punjab Kings,9,4,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,98
Punjab Kings,9,5,0.1,5.6,mandatory,SS Iyer,HH Pandya,P Simran Singh,2,0,2,,,,,,,,,,,20.0,196.0,100
Punjab Kings,9,6,0.1,5.6,mandatory,SS Iyer,HH Pandya,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,100
Punjab Kings,10,1,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,104
Punjab Kings,10,2,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,0,1,1,,1.0,,,,,,,,,20.0,196.0,105
Punjab Kings,10,3,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,109
Punjab Kings,10,4,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,110
Punjab Kings,10,5,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,6,0,6,,,,,,,,,,,20.0,196.0,116
Punjab Kings,10,6,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,117
Punjab Kings,10,7,0.1,5.6,mandatory,P Simran Singh,SN Thakur,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,118
Punjab Kings,11,1,0.1,5.6,mandatory,P Simran Singh,AM Ghazanfar,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,122
Punjab Kings,11,2,0.1,5.6,mandatory,P Simran Singh,AM Ghazanfar,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,123
Punjab Kings,11,3,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,127
Punjab Kings,11,4,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,128
Punjab Kings,11,5,0.1,5.6,mandatory,P Simran Singh,AM Ghazanfar,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,129
Punjab Kings,11,6,0.1,5.6,mandatory,SS Iyer,AM Ghazanfar,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,130
Punjab Kings,12,1,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,1,1,2,,,1.0,,,,,,,,20.0,196.0,132
Punjab Kings,12,2,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,0,0,0,,,,,,,,,,,20.0,196.0,132
Punjab Kings,12,3,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,136
Punjab Kings,12,4,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,137
Punjab Kings,12,5,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,6,0,6,,,,,,,,,,,20.0,196.0,143
Punjab Kings,12,6,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,0,1,1,,1.0,,,,,,,,,20.0,196.0,144
Punjab Kings,12,7,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,145
Punjab Kings,12,8,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,146
Punjab Kings,13,1,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,4,0,4,,,,,,,,,,,20.0,196.0,150
Punjab Kings,13,2,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,6,0,6,,,,,,,,,,,20.0,196.0,156
Punjab Kings,13,3,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,0,1,1,,1.0,,,,,,,,,20.0,196.0,157
Punjab Kings,13,4,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,158
Punjab Kings,13,5,0.1,5.6,mandatory,SS Iyer,HH Pandya,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,159
Punjab Kings,13,6,0.1,5.6,mandatory,P Simran Singh,HH Pandya,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,160
Punjab Kings,13,7,0.1,5.6,mandatory,SS Iyer,HH Pandya,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,161
Punjab Kings,14,1,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,165
Punjab Kings,14,2,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,166
Punjab Kings,14,3,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,1,0,1,,,,,,,,,,,20.0,196.0,167
Punjab Kings,14,4,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,171
Punjab Kings,14,5,0.1,5.6,mandatory,SS Iyer,JJ Bumrah,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,172
Punjab Kings,14,6,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,SS Iyer,0,0,0,,,,,,,,,,,20.0,196.0,172
Punjab Kings,15,1,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,6,0,6,,,,,,,,,,,20.0,196.0,178
Punjab Kings,15,2,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,6,0,6,,,,,,,,,,,20.0,196.0,184
Punjab Kings,15,3,0.1,5.6,mandatory,SS Iyer,SN Thakur,P Simran Singh,0,0,0,,,,SS Iyer,caught,,,,,Naman Dhir,20.0,196.0,184
Punjab Kings,15,4,0.1,5.6,mandatory,MP Stoinis,SN Thakur,P Simran Singh,0,1,1,,1.0,,,,,,,,,20.0,196.0,185
Punjab Kings,15,5,0.1,5.6,mandatory,MP Stoinis,SN Thakur,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,186
Punjab Kings,15,6,0.1,5.6,mandatory,P Simran Singh,SN Thakur,MP Stoinis,1,0,1,,,,,,,,,,,20.0,196.0,187
Punjab Kings,15,7,0.1,5.6,mandatory,MP Stoinis,SN Thakur,P Simran Singh,1,0,1,,,,,,,,,,,20.0,196.0,188
Punjab Kings,16,1,0.1,5.6,mandatory,MP Stoinis,DL Chahar,P Simran Singh,0,1,1,,1.0,,,,,,,,,20.0,196.0,189
Punjab Kings,16,2,0.1,5.6,mandatory,MP Stoinis,DL Chahar,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,189
Punjab Kings,16,3,0.1,5.6,mandatory,MP Stoinis,DL Chahar,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,193
Punjab Kings,16,4,0.1,5.6,mandatory,MP Stoinis,DL Chahar,P Simran Singh,0,1,1,,1.0,,,,,,,,,20.0,196.0,194
Punjab Kings,16,5,0.1,5.6,mandatory,MP Stoinis,DL Chahar,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,198
