team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,6,4,0.1,5.6,mandatory,C Green,JR Hazlewood,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,63
Kolkata Knight Riders,6,5,0.1,5.6,mandatory,A Raghuvanshi,JR Hazlewood,C Green,0,0,0,,,,,,,,,,,,,,,,,63
Kolkata Knight Riders,6,6,0.1,5.6,mandatory,A Raghuvanshi,JR Hazlewood,C Green,0,1,1,1.0,,,,,,,,,,,,,,,,64
Kolkata Knight Riders,7,1,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,1,0,1,,,,,,,,,,,,,,,,,65
Kolkata Knight Riders,7,2,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,66
Kolkata Knight Riders,7,3,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,1,0,1,,,,,,,,,,,,,,,,,67
Kolkata Knight Riders,7,4,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,67
Kolkata Knight Riders,7,5,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,68
Kolkata Knight Riders,7,6,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,1,0,1,,,,,,,,,,,,,,,,,69
Kolkata Knight Riders,8,1,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,C Green,1,0,1,,,,,,,,,,,,,,,,,70
Kolkata Knight Riders,8,2,0.1,5.6,mandatory,C Green,JA Duffy,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,71
Kolkata Knight Riders,8,3,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,C Green,4,0,4,,,,,,,,,,,,,,,,,75
Kolkata Knight Riders,8,4,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,C Green,0,0,0,,,,,,,,,,,,,,,,,75
Kolkata Knight Riders,8,5,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,C Green,1,0,1,,,,,,,,,,,,,,,,,76
Kolkata Knight Riders,8,6,0.1,5.6,mandatory,C Green,JA Duffy,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,76
Kolkata Knight Riders,9,1,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,0,0,0,,,,,,,,,,,,,,,,,76
Kolkata Knight Riders,9,2,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,1,0,1,,,,,,,,,,,,,,,,,77
Kolkata Knight Riders,9,3,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,78
Kolkata Knight Riders,9,4,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,6,0,6,,,,,,,,,,,,,,,,,84
Kolkata Knight Riders,9,5,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,1,0,1,,,,,,,,,,,,,,,,,85
Kolkata Knight Riders,9,6,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,86
Kolkata Knight Riders,10,1,0.1,5.6,mandatory,C Green,Rasikh Salam,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,87
Kolkata Knight Riders,10,2,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,C Green,4,0,4,,,,,,,,,,,,,,,,,91
Kolkata Knight Riders,10,3,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,C Green,4,0,4,,,,,,,,,,,,,,,,,95
Kolkata Knight Riders,10,4,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,C Green,1,0,1,,,,,,,,,,,,,,,,,96
Kolkata Knight Riders,10,5,0.1,5.6,mandatory,C Green,Rasikh Salam,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,97
Kolkata Knight Riders,10,6,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,C Green,0,0,0,,,,,,,,,,,,,,,,,97
Kolkata Knight Riders,11,1,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,103
Kolkata Knight Riders,11,2,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,,107
Kolkata Knight Riders,11,3,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,108
Kolkata Knight Riders,11,4,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,0,0,0,,,,,,,,,,,,,,,,,108
Kolkata Knight Riders,11,5,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,0,1,1,,1.0,,,,,,,,,,,,,,,109
Kolkata Knight Riders,11,6,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,C Green,1,0,1,,,,,,,,,,,,,,,,,110
Kolkata Knight Riders,11,7,0.1,5.6,mandatory,C Green,KH Pandya,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,111
Kolkata Knight Riders,12,1,0.1,5.6,mandatory,C Green,Rasikh Salam,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,,115
Kolkata Knight Riders,12,2,0.1,5.6,mandatory,C Green,Rasikh Salam,A Raghuvanshi,0,1,1,,1.0,,,,,,,,,,,,,,,116
Kolkata Knight Riders,12,3,0.1,5.6,mandatory,C Green,Rasikh Salam,A Raghuvanshi,0,0,0,,,,,,,,C Green,bowled,,,,,,,,116
Kolkata Knight Riders,12,4,0.1,5.6,mandatory,RK Singh,Rasikh Salam,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,117
Kolkata Knight Riders,12,5,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,RK Singh,1,0,1,,,,,,,,,,,,,,,,,118
Kolkata Knight Riders,12,6,0.1,5.6,mandatory,RK Singh,Rasikh Salam,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,120
Kolkata Knight Riders,12,7,0.1,5.6,mandatory,RK Singh,Rasikh Salam,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,121
Kolkata Knight Riders,13,1,0.1,5.6,mandatory,RK Singh,JA Duffy,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,121
Kolkata Knight Riders,13,2,0.1,5.6,mandatory,RK Singh,JA Duffy,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,121
Kolkata Knight Riders,13,3,0.1,5.6,mandatory,RK Singh,JA Duffy,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,122
Kolkata Knight Riders,13,4,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,RK Singh,4,0,4,,,,,,,,,,,,,,,,,126
Kolkata Knight Riders,13,5,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,RK Singh,1,0,1,,,,,,,,,,,,,,,,,127
Kolkata Knight Riders,13,6,0.1,5.6,mandatory,RK Singh,JA Duffy,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,,131
Kolkata Knight Riders,14,1,0.1,5.6,mandatory,A Raghuvanshi,KH Pandya,RK Singh,0,0,0,,,,,,,,,,D Padikkal,JA Duffy,Royal Challengers Bengaluru,impact_player,,,,131
