team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,6,6,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,0,0,0,,,,,,,,,,,,61
Gujarat Titans,7,1,0.1,5.6,mandatory,Shubman Gill,R Shepherd,B Sai Sudharsan,1,0,1,,,,,,,,,,,,62
Gujarat Titans,7,2,0.1,5.6,mandatory,B Sai Sudharsan,R Shepherd,Shubman Gill,6,0,6,,,,,,,,,,,,68
Gujarat Titans,7,3,0.1,5.6,mandatory,B Sai Sudharsan,R Shepherd,Shubman Gill,4,0,4,,,,,,,,,,,,72
Gujarat Titans,7,4,0.1,5.6,mandatory,B Sai Sudharsan,R Shepherd,Shubman Gill,1,0,1,,,,,,,,,,,,73
Gujarat Titans,7,5,0.1,5.6,mandatory,Shubman Gill,R Shepherd,B Sai Sudharsan,4,0,4,,,,,,,,,,,,77
Gujarat Titans,7,6,0.1,5.6,mandatory,Shubman Gill,R Shepherd,B Sai Sudharsan,1,0,1,,,,,,,,,,,,78
Gujarat Titans,8,1,0.1,5.6,mandatory,Shubman Gill,KH Pandya,B Sai Sudharsan,1,0,1,,,,,,,,,,,,79
Gujarat Titans,8,2,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,0,1,1,1.0,,,,,,,,,,,80
Gujarat Titans,8,3,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,6,0,6,,,,,,,,,,,,86
Gujarat Titans,8,4,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,1,0,1,,,,,,,,,,,,87
Gujarat Titans,8,5,0.1,5.6,mandatory,Shubman Gill,KH Pandya,B Sai Sudharsan,1,0,1,,,,,,,,,,,,88
Gujarat Titans,8,6,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,0,0,0,,,,,,,,,,,,88
Gujarat Titans,8,7,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,6,0,6,,,,,,,,,,,,94
Gujarat Titans,9,1,0.1,5.6,mandatory,Shubman Gill,Suyash Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,95
Gujarat Titans,9,2,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,Shubman Gill,1,0,1,,,,,,,,,,,,96
Gujarat Titans,9,3,0.1,5.6,mandatory,Shubman Gill,Suyash Sharma,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,97
Gujarat Titans,9,4,0.1,5.6,mandatory,Shubman Gill,Suyash Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,98
Gujarat Titans,9,5,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,Shubman Gill,1,0,1,,,,,,,,,,,,99
Gujarat Titans,9,6,0.1,5.6,mandatory,Shubman Gill,Suyash Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,100
Gujarat Titans,9,7,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,Shubman Gill,4,0,4,,,,,,,,,,,,104
Gujarat Titans,10,1,0.1,5.6,mandatory,Shubman Gill,KH Pandya,B Sai Sudharsan,6,0,6,,,,,,,,,,,,110
Gujarat Titans,10,2,0.1,5.6,mandatory,Shubman Gill,KH Pandya,B Sai Sudharsan,1,0,1,,,,,,,,,,,,111
Gujarat Titans,10,3,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,1,0,1,,,,,,,,,,,,112
Gujarat Titans,10,4,0.1,5.6,mandatory,Shubman Gill,KH Pandya,B Sai Sudharsan,1,0,1,,,,,,,,,,,,113
Gujarat Titans,10,5,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,2,0,2,,,,,,,,,,,,115
Gujarat Titans,10,6,0.1,5.6,mandatory,B Sai Sudharsan,KH Pandya,Shubman Gill,1,0,1,,,,,,,,,,,,116
Gujarat Titans,11,1,0.1,5.6,mandatory,B Sai Sudharsan,Rasikh Salam,Shubman Gill,1,0,1,,,,,,,,,,,,117
Gujarat Titans,11,2,0.1,5.6,mandatory,Shubman Gill,Rasikh Salam,B Sai Sudharsan,1,0,1,,,,,,,,,,,,118
Gujarat Titans,11,3,0.1,5.6,mandatory,B Sai Sudharsan,Rasikh Salam,Shubman Gill,0,0,0,,,,,,,,,,,,118
Gujarat Titans,11,4,0.1,5.6,mandatory,B Sai Sudharsan,Rasikh Salam,Shubman Gill,1,0,1,,,,,,,,,,,,119
Gujarat Titans,11,5,0.1,5.6,mandatory,Shubman Gill,Rasikh Salam,B Sai Sudharsan,1,0,1,,,,,,,,,,,,120
Gujarat Titans,11,6,0.1,5.6,mandatory,B Sai Sudharsan,Rasikh Salam,Shubman Gill,1,0,1,,,,,,,,,,,,121
Gujarat Titans,12,1,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,Shubman Gill,6,0,6,,,,,,,,,,,,127
Gujarat Titans,12,2,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,Shubman Gill,0,0,0,,,,,,,,,,,,127
Gujarat Titans,12,3,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,Shubman Gill,1,0,1,,,,,,,,,,,,128
Gujarat Titans,12,4,0.1,5.6,mandatory,Shubman Gill,Suyash Sharma,B Sai Sudharsan,0,0,0,,,Shubman Gill,caught,,,,,D Padikkal,,,128
Gujarat Titans,12,5,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,B Sai Sudharsan,0,2,2,,2.0,,,,,,,,,,130
Gujarat Titans,12,6,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,131
Gujarat Titans,13,1,0.1,5.6,mandatory,JC Buttler,B Kumar,B Sai Sudharsan,2,0,2,,,,,,,,,,,,133
Gujarat Titans,13,2,0.1,5.6,mandatory,JC Buttler,B Kumar,B Sai Sudharsan,1,0,1,,,,,,,,,,,,134
Gujarat Titans,13,3,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,JC Buttler,4,0,4,,,,,,,,,,,,138
Gujarat Titans,13,4,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,JC Buttler,1,0,1,,,,,,,,,,,,139
Gujarat Titans,13,5,0.1,5.6,mandatory,JC Buttler,B Kumar,B Sai Sudharsan,1,0,1,,,,,,,,,,,,140
Gujarat Titans,13,6,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,JC Buttler,1,0,1,,,,,,,,,,,,141
Gujarat Titans,14,1,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,JC Buttler,1,0,1,,,,,,,,,,,,142
Gujarat Titans,14,2,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,B Sai Sudharsan,4,0,4,,,,,,,,,,,,146
Gujarat Titans,14,3,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,147
Gujarat Titans,14,4,0.1,5.6,mandatory,B Sai Sudharsan,Suyash Sharma,JC Buttler,1,0,1,,,,,,,,,,,,148
Gujarat Titans,14,5,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,B Sai Sudharsan,6,0,6,,,,,,,,,,,,154
Gujarat Titans,14,6,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,155
Gujarat Titans,15,1,0.1,5.6,mandatory,JC Buttler,JR Hazlewood,B Sai Sudharsan,4,0,4,,,,,,,,,,,,159
Gujarat Titans,15,2,0.1,5.6,mandatory,JC Buttler,JR Hazlewood,B Sai Sudharsan,1,0,1,,,,,,,,,,,,160
Gujarat Titans,15,3,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,JC Buttler,0,0,0,,,B Sai Sudharsan,caught and bowled,,,,,,,,160
Gujarat Titans,15,4,0.1,5.6,mandatory,Washington Sundar,JR Hazlewood,JC Buttler,0,0,0,,,,,,,,,,,,160
Gujarat Titans,15,5,0.1,5.6,mandatory,Washington Sundar,JR Hazlewood,JC Buttler,6,0,6,,,,,,,,,,,,166
Gujarat Titans,15,6,0.1,5.6,mandatory,Washington Sundar,JR Hazlewood,JC Buttler,4,0,4,,,,,,,,,,,,170
Gujarat Titans,16,1,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,Washington Sundar,1,0,1,,,,,,,,,,,,171
Gujarat Titans,16,2,0.1,5.6,mandatory,Washington Sundar,Suyash Sharma,JC Buttler,1,0,1,,,,,,,,,,,,172
Gujarat Titans,16,3,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,Washington Sundar,1,0,1,,,,,,,,,,,,173
Gujarat Titans,16,4,0.1,5.6,mandatory,Washington Sundar,Suyash Sharma,JC Buttler,0,0,0,,,,,,,,,,,,173
Gujarat Titans,16,5,0.1,5.6,mandatory,Washington Sundar,Suyash Sharma,JC Buttler,1,0,1,,,,,,,,,,,,174
Gujarat Titans,16,6,0.1,5.6,mandatory,JC Buttler,Suyash Sharma,Washington Sundar,0,0,0,,,,,,,,,,,,174
Gujarat Titans,17,1,0.1,5.6,mandatory,Washington Sundar,B Kumar,JC Buttler,1,0,1,,,,,,,,,,,,175
Gujarat Titans,17,2,0.1,5.6,mandatory,JC Buttler,B Kumar,Washington Sundar,1,0,1,,,,,,,,,,,,176
Gujarat Titans,17,3,0.1,5.6,mandatory,Washington Sundar,B Kumar,JC Buttler,1,0,1,,,,,,,,,,,,177
Gujarat Titans,17,4,0.1,5.6,mandatory,JC Buttler,B Kumar,Washington Sundar,0,0,0,,,JC Buttler,caught,,,,,JR Hazlewood,,,177
Gujarat Titans,17,5,0.1,5.6,mandatory,JO Holder,B Kumar,Washington Sundar,1,0,1,,,,,,,,,,,,178
Gujarat Titans,17,6,0.1,5.6,mandatory,Washington Sundar,B Kumar,JO Holder,1,0,1,,,,,,,,,,,,179
Gujarat Titans,18,1,0.1,5.6,mandatory,Washington Sundar,JR Hazlewood,JO Holder,1,0,1,,,,,,,,,,,,180
Gujarat Titans,18,2,0.1,5.6,mandatory,JO Holder,JR Hazlewood,Washington Sundar,2,0,2,,,,,,,,,,,,182
Gujarat Titans,18,3,0.1,5.6,mandatory,JO Holder,JR Hazlewood,Washington Sundar,0,0,0,,,,,,,,,,,,182
Gujarat Titans,18,4,0.1,5.6,mandatory,JO Holder,JR Hazlewood,Washington Sundar,2,0,2,,,,,,,,,,,,184
Gujarat Titans,18,5,0.1,5.6,mandatory,JO Holder,JR Hazlewood,Washington Sundar,1,0,1,,,,,,,,,,,,185
Gujarat Titans,18,6,0.1,5.6,mandatory,Washington Sundar,JR Hazlewood,JO Holder,2,0,2,,,,,,,,,,,,187
Gujarat Titans,19,1,0.1,5.6,mandatory,JO Holder,KH Pandya,Washington Sundar,6,0,6,,,,,,,,,,,,193
Gujarat Titans,19,2,0.1,5.6,mandatory,JO Holder,KH Pandya,Washington Sundar,0,0,0,,,,,,,,,,,,193
Gujarat Titans,19,3,0.1,5.6,mandatory,JO Holder,KH Pandya,Washington Sundar,6,0,6,,,,,,,,,,,,199
Gujarat Titans,19,4,0.1,5.6,mandatory,JO Holder,KH Pandya,Washington Sundar,4,0,4,,,,,,,,,,,,203
Gujarat Titans,19,5,0.1,5.6,mandatory,JO Holder,KH Pandya,Washington Sundar,1,0,1,,,,,,,,,,,,204
Gujarat Titans,19,6,0.1,5.6,mandatory,Washington Sundar,KH Pandya,JO Holder,1,0,1,,,,,,,,,,,,205
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,0,0,,,,,M Prasidh Krishna,R Tewatia,Gujarat Titans,impact_player,,20.0,206.0,0
