team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Delhi Capitals,14,3,0.1,5.6,mandatory,T Stubbs,Sakib Hussain,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,152
Delhi Capitals,14,4,0.1,5.6,mandatory,Sameer Rizvi,Sakib Hussain,T Stubbs,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,153
Delhi Capitals,14,5,0.1,5.6,mandatory,T Stubbs,Sakib Hussain,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,154
Delhi Capitals,14,6,0.1,5.6,mandatory,Sameer Rizvi,Sakib Hussain,T Stubbs,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,155
Delhi Capitals,15,1,0.1,5.6,mandatory,Sameer Rizvi,E Malinga,T Stubbs,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,156
Delhi Capitals,15,2,0.1,5.6,mandatory,T Stubbs,E Malinga,Sameer Rizvi,4,0,4,,,,,,,,,,,,,,,,20.0,243.0,160
Delhi Capitals,15,3,0.1,5.6,mandatory,T Stubbs,E Malinga,Sameer Rizvi,2,0,2,,,,,,,,,,,,,,,,20.0,243.0,162
Delhi Capitals,15,4,0.1,5.6,mandatory,T Stubbs,E Malinga,Sameer Rizvi,4,0,4,,,,,,,,,,,,,,,,20.0,243.0,166
Delhi Capitals,15,5,0.1,5.6,mandatory,T Stubbs,E Malinga,Sameer Rizvi,0,0,0,,,,,,,,T Stubbs,caught,,,,,Sakib Hussain,,20.0,243.0,166
Delhi Capitals,15,6,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,1,0,1,,,,,,,,,,Ashutosh Sharma,Mukesh Kumar,Delhi Capitals,impact_player,,,20.0,243.0,167
Delhi Capitals,16,1,0.1,5.6,mandatory,Ashutosh Sharma,Harsh Dubey,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,168
Delhi Capitals,16,2,0.1,5.6,mandatory,Sameer Rizvi,Harsh Dubey,Ashutosh Sharma,2,0,2,,,,,,,,,,,,,,,,20.0,243.0,170
Delhi Capitals,16,3,0.1,5.6,mandatory,Sameer Rizvi,Harsh Dubey,Ashutosh Sharma,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,171
Delhi Capitals,16,4,0.1,5.6,mandatory,Ashutosh Sharma,Harsh Dubey,Sameer Rizvi,0,0,0,,Sunrisers Hyderabad,Anish Sahasrabudhe,Ashutosh Sharma,struck down,wicket,,,,,,,,,,20.0,243.0,171
Delhi Capitals,16,5,0.1,5.6,mandatory,Ashutosh Sharma,Harsh Dubey,Sameer Rizvi,2,0,2,,,,,,,,,,,,,,,,20.0,243.0,173
Delhi Capitals,16,6,0.1,5.6,mandatory,Ashutosh Sharma,Harsh Dubey,Sameer Rizvi,4,0,4,,,,,,,,,,,,,,,,20.0,243.0,177
Delhi Capitals,17,1,0.1,5.6,mandatory,Sameer Rizvi,E Malinga,Ashutosh Sharma,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,178
Delhi Capitals,17,2,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,2,0,2,,,,,,,,,,,,,,,,20.0,243.0,180
Delhi Capitals,17,3,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,0,0,0,,,,,,,,,,,,,,,,20.0,243.0,180
Delhi Capitals,17,4,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,4,0,4,,,,,,,,,,,,,,,,20.0,243.0,184
Delhi Capitals,17,5,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,0,1,1,1.0,,,,,,,,,,,,,,,20.0,243.0,185
Delhi Capitals,17,6,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,0,1,1,1.0,,,,,,,,,,,,,,,20.0,243.0,186
Delhi Capitals,17,7,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,0,0,0,,,,,,,,,,,,,,,,20.0,243.0,186
Delhi Capitals,17,8,0.1,5.6,mandatory,Ashutosh Sharma,E Malinga,Sameer Rizvi,0,0,0,,,,,,,,Ashutosh Sharma,caught,,,,,Aniket Verma,,20.0,243.0,186
Delhi Capitals,18,1,0.1,5.6,mandatory,Sameer Rizvi,Sakib Hussain,AR Patel,2,0,2,,,,,,,,,,,,,,,,20.0,243.0,188
Delhi Capitals,18,2,0.1,5.6,mandatory,Sameer Rizvi,Sakib Hussain,AR Patel,0,0,0,,,,,,,,,,,,,,,,20.0,243.0,188
Delhi Capitals,18,3,0.1,5.6,mandatory,Sameer Rizvi,Sakib Hussain,AR Patel,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,189
Delhi Capitals,18,4,0.1,5.6,mandatory,AR Patel,Sakib Hussain,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,190
Delhi Capitals,18,5,0.1,5.6,mandatory,Sameer Rizvi,Sakib Hussain,AR Patel,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,191
Delhi Capitals,18,6,0.1,5.6,mandatory,AR Patel,Sakib Hussain,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,192
Delhi Capitals,19,1,0.1,5.6,mandatory,AR Patel,Harsh Dubey,Sameer Rizvi,0,0,0,,,,,,,,AR Patel,caught,,,,,Nithish Kumar Reddy,,20.0,243.0,192
Delhi Capitals,19,2,0.1,5.6,mandatory,Kuldeep Yadav,Harsh Dubey,Sameer Rizvi,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,193
Delhi Capitals,19,3,0.1,5.6,mandatory,Sameer Rizvi,Harsh Dubey,Kuldeep Yadav,1,0,1,,,,,,,,,,,,,,,,20.0,243.0,194
Delhi Capitals,19,4,0.1,5.6,mandatory,Kuldeep Yadav,Harsh Dubey,Sameer Rizvi,0,1,1,,,,,,,1.0,,,,,,,,,20.0,243.0,195
Delhi Capitals,19,5,0.1,5.6,mandatory,Sameer Rizvi,Harsh Dubey,Kuldeep Yadav,0,0,0,,,,,,,,Sameer Rizvi,caught,,,,,D Madushanka,,20.0,243.0,195
Delhi Capitals,19,6,0.1,5.6,mandatory,L Ngidi,Harsh Dubey,Kuldeep Yadav,0,0,0,,,,,,,,L Ngidi,caught,,,,,D Madushanka,,20.0,243.0,195
