team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,legbyes,batter_runs,extra_runs,total_runs,wides,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,9,4,0.1,5.6,mandatory,V Suryavanshi,DS Rathi,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,114
Rajasthan Royals,9,5,0.1,5.6,mandatory,Dhruv Jurel,DS Rathi,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,115
Rajasthan Royals,9,6,0.1,5.6,mandatory,V Suryavanshi,DS Rathi,Dhruv Jurel,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,121
Rajasthan Royals,10,1,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,122
Rajasthan Royals,10,2,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,Dhruv Jurel,,0,1,1,1.0,,,,,,,,,,,,,,20.0,221.0,123
Rajasthan Royals,10,3,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,124
Rajasthan Royals,10,4,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,125
Rajasthan Royals,10,5,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,Dhruv Jurel,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,125
Rajasthan Royals,10,6,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,Dhruv Jurel,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,131
Rajasthan Royals,10,7,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,Dhruv Jurel,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,137
Rajasthan Royals,11,1,0.1,5.6,mandatory,Dhruv Jurel,MP Yadav,V Suryavanshi,,4,0,4,,,,,,,,,,,,,,,20.0,221.0,141
Rajasthan Royals,11,2,0.1,5.6,mandatory,Dhruv Jurel,MP Yadav,V Suryavanshi,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,147
Rajasthan Royals,11,3,0.1,5.6,mandatory,Dhruv Jurel,MP Yadav,V Suryavanshi,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,153
Rajasthan Royals,11,4,0.1,5.6,mandatory,Dhruv Jurel,MP Yadav,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,154
Rajasthan Royals,11,5,0.1,5.6,mandatory,V Suryavanshi,MP Yadav,Dhruv Jurel,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,160
Rajasthan Royals,11,6,0.1,5.6,mandatory,V Suryavanshi,MP Yadav,Dhruv Jurel,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,166
Rajasthan Royals,12,1,0.1,5.6,mandatory,Dhruv Jurel,DS Rathi,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,167
Rajasthan Royals,12,2,0.1,5.6,mandatory,V Suryavanshi,DS Rathi,Dhruv Jurel,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,167
Rajasthan Royals,12,3,0.1,5.6,mandatory,V Suryavanshi,DS Rathi,Dhruv Jurel,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,167
Rajasthan Royals,12,4,0.1,5.6,mandatory,V Suryavanshi,DS Rathi,Dhruv Jurel,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,173
Rajasthan Royals,12,5,0.1,5.6,mandatory,V Suryavanshi,DS Rathi,Dhruv Jurel,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,173
Rajasthan Royals,12,6,0.1,5.6,mandatory,V Suryavanshi,DS Rathi,Dhruv Jurel,,4,0,4,,,,,,,,,,,,,,,20.0,221.0,177
Rajasthan Royals,13,1,0.1,5.6,mandatory,Dhruv Jurel,Mohsin Khan,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,178
Rajasthan Royals,13,2,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,179
Rajasthan Royals,13,3,0.1,5.6,mandatory,Dhruv Jurel,Mohsin Khan,V Suryavanshi,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,179
Rajasthan Royals,13,4,0.1,5.6,mandatory,Dhruv Jurel,Mohsin Khan,V Suryavanshi,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,179
Rajasthan Royals,13,5,0.1,5.6,mandatory,Dhruv Jurel,Mohsin Khan,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,180
Rajasthan Royals,13,6,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,Dhruv Jurel,,0,0,0,,,,,,,,V Suryavanshi,caught,,,,,Abdul Samad,20.0,221.0,180
Rajasthan Royals,14,1,0.1,5.6,mandatory,Dhruv Jurel,DS Rathi,LG Pretorius,,2,0,2,,,,,,,,,,,,,,,20.0,221.0,182
Rajasthan Royals,14,2,0.1,5.6,mandatory,Dhruv Jurel,DS Rathi,LG Pretorius,,2,0,2,,,,,,,,,,,,,,,20.0,221.0,184
Rajasthan Royals,14,3,0.1,5.6,mandatory,Dhruv Jurel,DS Rathi,LG Pretorius,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,185
Rajasthan Royals,14,4,0.1,5.6,mandatory,LG Pretorius,DS Rathi,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,186
Rajasthan Royals,14,5,0.1,5.6,mandatory,Dhruv Jurel,DS Rathi,LG Pretorius,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,187
Rajasthan Royals,14,6,0.1,5.6,mandatory,LG Pretorius,DS Rathi,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,188
Rajasthan Royals,15,1,0.1,5.6,mandatory,LG Pretorius,Mohsin Khan,Dhruv Jurel,,2,0,2,,,,,,,,,,,,,,,20.0,221.0,190
Rajasthan Royals,15,2,0.1,5.6,mandatory,LG Pretorius,Mohsin Khan,Dhruv Jurel,1.0,0,1,1,,,,,,,,,,,,,,,20.0,221.0,191
Rajasthan Royals,15,3,0.1,5.6,mandatory,Dhruv Jurel,Mohsin Khan,LG Pretorius,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,192
Rajasthan Royals,15,4,0.1,5.6,mandatory,LG Pretorius,Mohsin Khan,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,193
Rajasthan Royals,15,5,0.1,5.6,mandatory,Dhruv Jurel,Mohsin Khan,LG Pretorius,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,194
Rajasthan Royals,15,6,0.1,5.6,mandatory,LG Pretorius,Mohsin Khan,Dhruv Jurel,,2,0,2,,,,,,,,,,,,,,,20.0,221.0,196
Rajasthan Royals,16,1,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,LG Pretorius,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,196
Rajasthan Royals,16,2,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,LG Pretorius,,0,0,0,,,,,,,,LG Pretorius,run out,,,,,A Badoni,20.0,221.0,196
Rajasthan Royals,16,3,0.1,5.6,mandatory,D Ferreira,Prince Yadav,Dhruv Jurel,1.0,0,1,1,,,Lucknow Super Giants,AT Holdstock,D Ferreira,struck down,wicket,,,,,,,,20.0,221.0,197
Rajasthan Royals,16,4,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,D Ferreira,,2,0,2,,,,,,,,,,,,,,,20.0,221.0,199
Rajasthan Royals,16,5,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,D Ferreira,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,200
Rajasthan Royals,16,6,0.1,5.6,mandatory,D Ferreira,Prince Yadav,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,201
Rajasthan Royals,17,1,0.1,5.6,mandatory,D Ferreira,MP Yadav,Dhruv Jurel,1.0,0,1,1,,,,,,,,,,,,,,,20.0,221.0,202
Rajasthan Royals,17,2,0.1,5.6,mandatory,Dhruv Jurel,MP Yadav,D Ferreira,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,203
Rajasthan Royals,17,3,0.1,5.6,mandatory,D Ferreira,MP Yadav,Dhruv Jurel,,2,0,2,,,,,,,,,,,,,,,20.0,221.0,205
Rajasthan Royals,17,4,0.1,5.6,mandatory,D Ferreira,MP Yadav,Dhruv Jurel,,4,0,4,,,,,,,,,,,,,,,20.0,221.0,209
Rajasthan Royals,17,5,0.1,5.6,mandatory,D Ferreira,MP Yadav,Dhruv Jurel,,2,0,2,,,,,,,,,,,,,,,20.0,221.0,211
Rajasthan Royals,17,6,0.1,5.6,mandatory,D Ferreira,MP Yadav,Dhruv Jurel,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,211
Rajasthan Royals,18,1,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,D Ferreira,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,211
Rajasthan Royals,18,2,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,D Ferreira,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,211
Rajasthan Royals,18,3,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,D Ferreira,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,217
Rajasthan Royals,18,4,0.1,5.6,mandatory,Dhruv Jurel,Prince Yadav,D Ferreira,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,218
Rajasthan Royals,18,5,0.1,5.6,mandatory,D Ferreira,Prince Yadav,Dhruv Jurel,,0,0,0,,,,,,,,,,,,,,,20.0,221.0,218
Rajasthan Royals,18,6,0.1,5.6,mandatory,D Ferreira,Prince Yadav,Dhruv Jurel,,1,0,1,,,,,,,,,,,,,,,20.0,221.0,219
Rajasthan Royals,19,1,0.1,5.6,mandatory,D Ferreira,Shahbaz Ahmed,Dhruv Jurel,,6,0,6,,,,,,,,,,,,,,,20.0,221.0,225
