team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Delhi Capitals,16,6,0.1,5.7,mandatory,Ashutosh Sharma,BJ Dwarshuis,M Tiwari,0,0,0,,,,,,,,,,,,20.0,211.0,175
Delhi Capitals,17,1,0.1,5.7,mandatory,M Tiwari,MP Stoinis,Ashutosh Sharma,1,0,1,,,,,,,,,,,,20.0,211.0,176
Delhi Capitals,17,2,0.1,5.7,mandatory,Ashutosh Sharma,MP Stoinis,M Tiwari,4,0,4,,,,,,,,,,,,20.0,211.0,180
Delhi Capitals,17,3,0.1,5.7,mandatory,Ashutosh Sharma,MP Stoinis,M Tiwari,6,0,6,,,,,,,,,,,,20.0,211.0,186
Delhi Capitals,17,4,0.1,5.7,mandatory,Ashutosh Sharma,MP Stoinis,M Tiwari,1,0,1,,,,,,,,,,,,20.0,211.0,187
Delhi Capitals,17,5,0.1,5.7,mandatory,M Tiwari,MP Stoinis,Ashutosh Sharma,6,0,6,,,,,,,,,,,,20.0,211.0,193
Delhi Capitals,17,6,0.1,5.7,mandatory,M Tiwari,MP Stoinis,Ashutosh Sharma,1,0,1,,,,,,,,,,,,20.0,211.0,194
Delhi Capitals,18,1,0.1,5.7,mandatory,M Tiwari,Yash Thakur,Ashutosh Sharma,0,0,0,,,,,,,,,,,,20.0,211.0,194
Delhi Capitals,18,2,0.1,5.7,mandatory,M Tiwari,Yash Thakur,Ashutosh Sharma,4,0,4,,,,,,,,,,,,20.0,211.0,198
Delhi Capitals,18,3,0.1,5.7,mandatory,M Tiwari,Yash Thakur,Ashutosh Sharma,1,0,1,,,,,,,,,,,,20.0,211.0,199
Delhi Capitals,18,4,0.1,5.7,mandatory,Ashutosh Sharma,Yash Thakur,M Tiwari,6,0,6,,,,,,,,,,,,20.0,211.0,205
Delhi Capitals,18,5,0.1,5.7,mandatory,Ashutosh Sharma,Yash Thakur,M Tiwari,0,0,0,,,,Ashutosh Sharma,caught,,,,,P Dubey,True,20.0,211.0,205
Delhi Capitals,18,6,0.1,5.7,mandatory,Auqib Nabi,Yash Thakur,M Tiwari,4,1,5,,1.0,,,,,,,,,,20.0,211.0,210
Delhi Capitals,18,7,0.1,5.7,mandatory,Auqib Nabi,Yash Thakur,M Tiwari,6,0,6,,,,,,,,,,,,20.0,211.0,216
