team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Lucknow Super Giants,17,3,0.1,5.6,mandatory,MD Choudhary,Kartik Tyagi,Avesh Khan,0,0,0,,,,,,,,,,,,20.0,182.0,145
Lucknow Super Giants,17,4,0.1,5.6,mandatory,MD Choudhary,Kartik Tyagi,Avesh Khan,6,0,6,,,,,,,,,,,,20.0,182.0,151
Lucknow Super Giants,17,5,0.1,5.6,mandatory,MD Choudhary,Kartik Tyagi,Avesh Khan,1,0,1,,,,,,,,,,,,20.0,182.0,152
Lucknow Super Giants,17,6,0.1,5.6,mandatory,Avesh Khan,Kartik Tyagi,MD Choudhary,0,0,0,,,,,,,,,,,,20.0,182.0,152
Lucknow Super Giants,18,1,0.1,5.6,mandatory,MD Choudhary,C Green,Avesh Khan,0,0,0,,,,,,,,,,,,20.0,182.0,152
Lucknow Super Giants,18,2,0.1,5.6,mandatory,MD Choudhary,C Green,Avesh Khan,0,0,0,,,,,,,,,,,,20.0,182.0,152
Lucknow Super Giants,18,3,0.1,5.6,mandatory,MD Choudhary,C Green,Avesh Khan,6,0,6,,,,,,,,,,,,20.0,182.0,158
Lucknow Super Giants,18,4,0.1,5.6,mandatory,MD Choudhary,C Green,Avesh Khan,0,0,0,,,,,,,,,,,,20.0,182.0,158
Lucknow Super Giants,18,5,0.1,5.6,mandatory,MD Choudhary,C Green,Avesh Khan,4,0,4,,,,,,,,,,,,20.0,182.0,162
Lucknow Super Giants,18,6,0.1,5.6,mandatory,MD Choudhary,C Green,Avesh Khan,6,0,6,,,,,,,,,,,,20.0,182.0,168
Lucknow Super Giants,19,1,0.1,5.6,mandatory,Avesh Khan,VG Arora,MD Choudhary,1,0,1,,,,,,,,,,,,20.0,182.0,169
Lucknow Super Giants,19,2,0.1,5.6,mandatory,MD Choudhary,VG Arora,Avesh Khan,6,0,6,,,,,,,,,,,,20.0,182.0,175
Lucknow Super Giants,19,3,0.1,5.6,mandatory,MD Choudhary,VG Arora,Avesh Khan,0,0,0,,,,,,,,,,,,20.0,182.0,175
Lucknow Super Giants,19,4,0.1,5.6,mandatory,MD Choudhary,VG Arora,Avesh Khan,0,0,0,,,,,,,,,,,,20.0,182.0,175
Lucknow Super Giants,19,5,0.1,5.6,mandatory,MD Choudhary,VG Arora,Avesh Khan,6,0,6,,,,,,,,,,,,20.0,182.0,181
Lucknow Super Giants,19,6,0.1,5.6,mandatory,MD Choudhary,VG Arora,Avesh Khan,0,1,1,,,1.0,,,,,,,,,20.0,182.0,182
