team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,byes,player_out,wicket_kind,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,D Padikkal,Prince Yadav,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,13
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,Mohammed Shami,D Padikkal,0,4,4,4.0,,,,,,,,,,,,,,,,,,,,,20.0,147.0,17
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,V Kohli,Mohammed Shami,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,21
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,V Kohli,Mohammed Shami,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,25
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,V Kohli,Mohammed Shami,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,26
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,D Padikkal,Mohammed Shami,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,27
Royal Challengers Bengaluru,2,6,0.1,5.6,mandatory,V Kohli,Mohammed Shami,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,28
Royal Challengers Bengaluru,3,1,0.1,5.6,mandatory,V Kohli,Prince Yadav,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,32
Royal Challengers Bengaluru,3,2,0.1,5.6,mandatory,V Kohli,Prince Yadav,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,32
Royal Challengers Bengaluru,3,3,0.1,5.6,mandatory,V Kohli,Prince Yadav,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,36
Royal Challengers Bengaluru,3,4,0.1,5.6,mandatory,V Kohli,Prince Yadav,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,36
Royal Challengers Bengaluru,3,5,0.1,5.6,mandatory,V Kohli,Prince Yadav,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,40
Royal Challengers Bengaluru,3,6,0.1,5.6,mandatory,V Kohli,Prince Yadav,D Padikkal,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,,20.0,147.0,41
Royal Challengers Bengaluru,3,7,0.1,5.6,mandatory,V Kohli,Prince Yadav,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,45
Royal Challengers Bengaluru,4,1,0.1,5.6,mandatory,D Padikkal,DS Rathi,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,46
Royal Challengers Bengaluru,4,2,0.1,5.6,mandatory,V Kohli,DS Rathi,D Padikkal,6,0,6,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,52
Royal Challengers Bengaluru,4,3,0.1,5.6,mandatory,V Kohli,DS Rathi,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,53
Royal Challengers Bengaluru,4,4,0.1,5.6,mandatory,D Padikkal,DS Rathi,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,54
