team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,6,1,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,0,4,4,,,4.0,,,,,,,,,,,,,,,,79
Sunrisers Hyderabad,6,2,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,,,,,,80
Sunrisers Hyderabad,6,3,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,81
Sunrisers Hyderabad,6,4,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,81
Sunrisers Hyderabad,6,5,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,82
Sunrisers Hyderabad,6,6,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,83
Sunrisers Hyderabad,6,7,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Abhishek Sharma,0,1,1,,1.0,,,,,,,,,,,,,,,,,84
Sunrisers Hyderabad,7,1,0.1,5.6,mandatory,H Klaasen,J Overton,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,85
Sunrisers Hyderabad,7,2,0.1,5.6,mandatory,Abhishek Sharma,J Overton,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,89
Sunrisers Hyderabad,7,3,0.1,5.6,mandatory,Abhishek Sharma,J Overton,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,,91
Sunrisers Hyderabad,7,4,0.1,5.6,mandatory,Abhishek Sharma,J Overton,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,92
Sunrisers Hyderabad,7,5,0.1,5.6,mandatory,H Klaasen,J Overton,Abhishek Sharma,0,1,1,,1.0,,,,,,,,,,,,,,,,,93
Sunrisers Hyderabad,7,6,0.1,5.6,mandatory,Abhishek Sharma,J Overton,H Klaasen,0,0,0,,,,Chennai Super Kings,Vinod Seshan,Abhishek Sharma,upheld,wicket,,Abhishek Sharma,caught,,,,,SV Samson,,,93
Sunrisers Hyderabad,8,1,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Aniket Verma,0,0,0,,,,,,,,,,,,,,,,,,,93
Sunrisers Hyderabad,8,2,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Aniket Verma,6,0,6,,,,,,,,,,,,,,,,,,,99
Sunrisers Hyderabad,8,3,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Aniket Verma,0,0,0,,,,,,,,,,,,,,,,,,,99
Sunrisers Hyderabad,8,4,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Aniket Verma,0,0,0,,,,,,,,,,,,,,,,,,,99
Sunrisers Hyderabad,8,5,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Aniket Verma,1,0,1,,,,,,,,,,,,,,,,,,,100
Sunrisers Hyderabad,8,6,0.1,5.6,mandatory,Aniket Verma,Gurjapneet Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,100
Sunrisers Hyderabad,9,1,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Aniket Verma,1,0,1,,,,,,,,,,,,,,,,,,,101
Sunrisers Hyderabad,9,2,0.1,5.6,mandatory,Aniket Verma,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,102
Sunrisers Hyderabad,9,3,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Aniket Verma,4,0,4,,,,,,,,,,,,,,,,,,,106
Sunrisers Hyderabad,9,4,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Aniket Verma,4,0,4,,,,,,,,,,,,,,,,,,,110
Sunrisers Hyderabad,9,5,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Aniket Verma,1,0,1,,,,,,,,,,,,,,,,,,,111
Sunrisers Hyderabad,9,6,0.1,5.6,mandatory,Aniket Verma,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,112
Sunrisers Hyderabad,10,1,0.1,5.6,mandatory,Aniket Verma,J Overton,H Klaasen,0,0,0,,,,,,,,,,Aniket Verma,caught,,,,,Noor Ahmad,,,112
Sunrisers Hyderabad,10,2,0.1,5.6,mandatory,Nithish Kumar Reddy,J Overton,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,113
Sunrisers Hyderabad,10,3,0.1,5.6,mandatory,H Klaasen,J Overton,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,,,113
Sunrisers Hyderabad,10,4,0.1,5.6,mandatory,H Klaasen,J Overton,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,,,,,,115
Sunrisers Hyderabad,10,5,0.1,5.6,mandatory,H Klaasen,J Overton,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,,,,,,117
Sunrisers Hyderabad,10,6,0.1,5.6,mandatory,H Klaasen,J Overton,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,118
Sunrisers Hyderabad,11,1,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,119
Sunrisers Hyderabad,11,2,0.1,5.6,mandatory,Nithish Kumar Reddy,Gurjapneet Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,120
Sunrisers Hyderabad,11,3,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,,,120
Sunrisers Hyderabad,11,4,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,,,,,,124
Sunrisers Hyderabad,11,5,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,125
Sunrisers Hyderabad,11,6,0.1,5.6,mandatory,Nithish Kumar Reddy,Gurjapneet Singh,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,,131
Sunrisers Hyderabad,12,1,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,132
Sunrisers Hyderabad,12,2,0.1,5.6,mandatory,Nithish Kumar Reddy,Noor Ahmad,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,,134
Sunrisers Hyderabad,12,3,0.1,5.6,mandatory,Nithish Kumar Reddy,Noor Ahmad,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,134
Sunrisers Hyderabad,12,4,0.1,5.6,mandatory,Nithish Kumar Reddy,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,135
Sunrisers Hyderabad,12,5,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,,,,,,139
Sunrisers Hyderabad,12,6,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,,,139
Sunrisers Hyderabad,13,1,0.1,5.6,mandatory,Nithish Kumar Reddy,J Overton,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,140
Sunrisers Hyderabad,13,2,0.1,5.6,mandatory,H Klaasen,J Overton,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,,,,,,144
Sunrisers Hyderabad,13,3,0.1,5.6,mandatory,H Klaasen,J Overton,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,,,,,,146
Sunrisers Hyderabad,13,4,0.1,5.6,mandatory,H Klaasen,J Overton,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,,147
Sunrisers Hyderabad,13,5,0.1,5.6,mandatory,Nithish Kumar Reddy,J Overton,H Klaasen,0,0,0,,,,,,,,,,Nithish Kumar Reddy,caught,,,,,MW Short,,,147
Sunrisers Hyderabad,13,6,0.1,5.6,mandatory,S Arora,J Overton,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,148
Sunrisers Hyderabad,14,1,0.1,5.6,mandatory,S Arora,Gurjapneet Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,14,2,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,S Arora,0,0,0,,,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,14,3,0.1,5.6,mandatory,H Klaasen,Gurjapneet Singh,S Arora,1,0,1,,,,,,,,,,,,,,,,,,,150
Sunrisers Hyderabad,14,4,0.1,5.6,mandatory,S Arora,Gurjapneet Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,150
Sunrisers Hyderabad,14,5,0.1,5.6,mandatory,S Arora,Gurjapneet Singh,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,154
Sunrisers Hyderabad,14,6,0.1,5.6,mandatory,S Arora,Gurjapneet Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,154
Sunrisers Hyderabad,15,1,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,S Arora,6,0,6,,,,,,,,,,,,,,,,,,,160
Sunrisers Hyderabad,15,2,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,S Arora,1,0,1,,,,,,,,,,,,,,,,,,,161
Sunrisers Hyderabad,15,3,0.1,5.6,mandatory,S Arora,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,162
Sunrisers Hyderabad,15,4,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,S Arora,1,0,1,,,,,,,,,,,,,,,,,,,163
Sunrisers Hyderabad,15,5,0.1,5.6,mandatory,S Arora,Noor Ahmad,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,163
Sunrisers Hyderabad,15,6,0.1,5.6,mandatory,S Arora,Noor Ahmad,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,163
Sunrisers Hyderabad,16,1,0.1,5.6,mandatory,H Klaasen,J Overton,S Arora,1,0,1,,,,,,,,,,,,,,,,,,,164
Sunrisers Hyderabad,16,2,0.1,5.6,mandatory,S Arora,J Overton,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,165
Sunrisers Hyderabad,16,3,0.1,5.6,mandatory,H Klaasen,J Overton,S Arora,4,0,4,,,,,,,,,,,,,,,,,,,169
Sunrisers Hyderabad,16,4,0.1,5.6,mandatory,H Klaasen,J Overton,S Arora,0,1,1,1.0,,,,,,,,,,,,,,,,,,170
Sunrisers Hyderabad,16,5,0.1,5.6,mandatory,H Klaasen,J Overton,S Arora,2,0,2,,,,,,,,,,,,,,,,,,,172
Sunrisers Hyderabad,16,6,0.1,5.6,mandatory,H Klaasen,J Overton,S Arora,1,0,1,,,,,,,,,,,,,,,,,,,173
Sunrisers Hyderabad,16,7,0.1,5.6,mandatory,S Arora,J Overton,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,177
Sunrisers Hyderabad,17,1,0.1,5.6,mandatory,H Klaasen,A Kamboj,S Arora,0,0,0,,,,,,,,,,,,,,,,,,,177
Sunrisers Hyderabad,17,2,0.1,5.6,mandatory,H Klaasen,A Kamboj,S Arora,0,0,0,,,,,,,,,,H Klaasen,bowled,,,,,,,,177
Sunrisers Hyderabad,17,3,0.1,5.6,mandatory,LS Livingstone,A Kamboj,S Arora,0,1,1,,1.0,,,,,,,,,,LS Livingstone,TM Head,Sunrisers Hyderabad,impact_player,,,,178
Sunrisers Hyderabad,17,4,0.1,5.6,mandatory,S Arora,A Kamboj,LS Livingstone,1,0,1,,,,,,,,,,,,,,,,,,,179
Sunrisers Hyderabad,17,5,0.1,5.6,mandatory,LS Livingstone,A Kamboj,S Arora,0,0,0,,,,,,,,,,,,,,,,,,,179
Sunrisers Hyderabad,17,6,0.1,5.6,mandatory,LS Livingstone,A Kamboj,S Arora,0,0,0,,,,,,,,,,,,,,,,,,,179
Sunrisers Hyderabad,18,1,0.1,5.6,mandatory,S Arora,Gurjapneet Singh,LS Livingstone,0,0,0,,,,,,,,,,S Arora,caught,,,,,D Brevis,,,179
Sunrisers Hyderabad,18,2,0.1,5.6,mandatory,Shivang Kumar,Gurjapneet Singh,LS Livingstone,0,0,0,,,,,,,,,,,,,,,,,,,179
Sunrisers Hyderabad,18,3,0.1,5.6,mandatory,Shivang Kumar,Gurjapneet Singh,LS Livingstone,0,0,0,,,,,,,,,,,,,,,,,,,179
