team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Mumbai Indians,0,1,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,4
Mumbai Indians,0,2,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,4
Mumbai Indians,0,3,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,4
Mumbai Indians,0,4,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,8
Mumbai Indians,0,5,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,8
Mumbai Indians,0,6,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,8
Mumbai Indians,1,1,0.1,5.6,mandatory,RG Sharma,L Ngidi,RD Rickelton,4,0,4,,,,,,,,,,,,,,,,,12
Mumbai Indians,1,2,0.1,5.6,mandatory,RG Sharma,L Ngidi,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,12
Mumbai Indians,1,3,0.1,5.6,mandatory,RG Sharma,L Ngidi,RD Rickelton,4,0,4,,,,,,,,,,,,,,,,,16
Mumbai Indians,1,4,0.1,5.6,mandatory,RG Sharma,L Ngidi,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,17
Mumbai Indians,1,5,0.1,5.6,mandatory,RD Rickelton,L Ngidi,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,17
Mumbai Indians,1,6,0.1,5.6,mandatory,RD Rickelton,L Ngidi,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,18
Mumbai Indians,2,1,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,18
Mumbai Indians,2,2,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,18
Mumbai Indians,2,3,0.1,5.6,mandatory,RD Rickelton,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,RD Rickelton,caught,,,,,AR Patel,,,18
Mumbai Indians,2,4,0.1,5.6,mandatory,Tilak Varma,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,18
Mumbai Indians,2,5,0.1,5.6,mandatory,Tilak Varma,Mukesh Kumar,RG Sharma,0,0,0,,,,,,,,Tilak Varma,caught and bowled,,,,,,,,18
Mumbai Indians,2,6,0.1,5.6,mandatory,SA Yadav,Mukesh Kumar,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,22
Mumbai Indians,3,1,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,23
Mumbai Indians,3,2,0.1,5.6,mandatory,SA Yadav,AR Patel,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,24
Mumbai Indians,3,3,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,24
Mumbai Indians,3,4,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,25
Mumbai Indians,3,5,0.1,5.6,mandatory,SA Yadav,AR Patel,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,25
Mumbai Indians,3,6,0.1,5.6,mandatory,SA Yadav,AR Patel,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,25
Mumbai Indians,4,1,0.1,5.6,mandatory,RG Sharma,V Nigam,SA Yadav,0,1,1,1.0,,,,,,,,,,,,,,,,26
Mumbai Indians,4,2,0.1,5.6,mandatory,RG Sharma,V Nigam,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,27
Mumbai Indians,4,3,0.1,5.6,mandatory,SA Yadav,V Nigam,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,27
Mumbai Indians,4,4,0.1,5.6,mandatory,SA Yadav,V Nigam,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,31
Mumbai Indians,4,5,0.1,5.6,mandatory,SA Yadav,V Nigam,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,31
Mumbai Indians,4,6,0.1,5.6,mandatory,SA Yadav,V Nigam,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,32
Mumbai Indians,4,7,0.1,5.6,mandatory,RG Sharma,V Nigam,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,32
Mumbai Indians,5,1,0.1,5.6,mandatory,SA Yadav,L Ngidi,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,33
Mumbai Indians,5,2,0.1,5.6,mandatory,RG Sharma,L Ngidi,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,33
Mumbai Indians,5,3,0.1,5.6,mandatory,RG Sharma,L Ngidi,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,33
Mumbai Indians,5,4,0.1,5.6,mandatory,RG Sharma,L Ngidi,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,37
Mumbai Indians,5,5,0.1,5.6,mandatory,RG Sharma,L Ngidi,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,41
Mumbai Indians,5,6,0.1,5.6,mandatory,RG Sharma,L Ngidi,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,41
Mumbai Indians,6,1,0.1,5.6,mandatory,SA Yadav,V Nigam,RG Sharma,2,0,2,,,,,,,,,,,,,,,,,43
Mumbai Indians,6,2,0.1,5.6,mandatory,SA Yadav,V Nigam,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,44
Mumbai Indians,6,3,0.1,5.6,mandatory,RG Sharma,V Nigam,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,45
Mumbai Indians,6,4,0.1,5.6,mandatory,SA Yadav,V Nigam,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,5,0.1,5.6,mandatory,RG Sharma,V Nigam,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,6,0.1,5.6,mandatory,RG Sharma,V Nigam,SA Yadav,6,0,6,,,,,,,,,,,,,,,,,52
Mumbai Indians,7,1,0.1,5.6,mandatory,SA Yadav,AR Patel,RG Sharma,6,0,6,,,,,,,,,,,,,,,,,58
Mumbai Indians,7,2,0.1,5.6,mandatory,SA Yadav,AR Patel,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,59
Mumbai Indians,7,3,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,60
Mumbai Indians,7,4,0.1,5.6,mandatory,SA Yadav,AR Patel,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,61
Mumbai Indians,7,5,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,61
Mumbai Indians,7,6,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,61
Mumbai Indians,8,1,0.1,5.6,mandatory,SA Yadav,Kuldeep Yadav,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,62
Mumbai Indians,8,2,0.1,5.6,mandatory,RG Sharma,Kuldeep Yadav,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,63
Mumbai Indians,8,3,0.1,5.6,mandatory,SA Yadav,Kuldeep Yadav,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,64
Mumbai Indians,8,4,0.1,5.6,mandatory,RG Sharma,Kuldeep Yadav,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,68
Mumbai Indians,8,5,0.1,5.6,mandatory,RG Sharma,Kuldeep Yadav,SA Yadav,0,0,0,,Delhi Capitals,HDPK Dharmasena,RG Sharma,struck down,wicket,,,,,,,,,,,68
Mumbai Indians,8,6,0.1,5.6,mandatory,RG Sharma,Kuldeep Yadav,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,69
Mumbai Indians,9,1,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,70
Mumbai Indians,9,2,0.1,5.6,mandatory,SA Yadav,AR Patel,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,71
Mumbai Indians,9,3,0.1,5.6,mandatory,RG Sharma,AR Patel,SA Yadav,0,0,0,,,,,,,,RG Sharma,caught,,,,,N Rana,,,71
Mumbai Indians,9,4,0.1,5.6,mandatory,SE Rutherford,AR Patel,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,71
Mumbai Indians,9,5,0.1,5.6,mandatory,SE Rutherford,AR Patel,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,72
Mumbai Indians,9,6,0.1,5.6,mandatory,SA Yadav,AR Patel,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,73
Mumbai Indians,10,1,0.1,5.6,mandatory,SA Yadav,Kuldeep Yadav,SE Rutherford,0,0,0,,,,,,,,,,,,,,,,,73
Mumbai Indians,10,2,0.1,5.6,mandatory,SA Yadav,Kuldeep Yadav,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,74
Mumbai Indians,10,3,0.1,5.6,mandatory,SE Rutherford,Kuldeep Yadav,SA Yadav,0,1,1,,,,,,,1.0,,,,,,,,,,75
Mumbai Indians,10,4,0.1,5.6,mandatory,SA Yadav,Kuldeep Yadav,SE Rutherford,0,0,0,,,,,,,,,,,,,,,,,75
Mumbai Indians,10,5,0.1,5.6,mandatory,SA Yadav,Kuldeep Yadav,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,76
Mumbai Indians,10,6,0.1,5.6,mandatory,SE Rutherford,Kuldeep Yadav,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,80
Mumbai Indians,11,1,0.1,5.6,mandatory,SA Yadav,V Nigam,SE Rutherford,4,0,4,,,,,,,,,,,,,,,,,84
Mumbai Indians,11,2,0.1,5.6,mandatory,SA Yadav,V Nigam,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,85
Mumbai Indians,11,3,0.1,5.6,mandatory,SE Rutherford,V Nigam,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,85
