team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,5,8,0.1,5.8,mandatory,N Pooran,A Kamboj,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,91
Lucknow Super Giants,6,1,0.1,5.8,mandatory,JP Inglis,Noor Ahmad,N Pooran,1,0,1,,,,,,,,,,,,,,,,,,,,92
Lucknow Super Giants,6,2,0.1,5.8,mandatory,N Pooran,Noor Ahmad,JP Inglis,0,0,0,,,,,,,,,,N Pooran,caught,,,,,SN Khan,True,,,92
Lucknow Super Giants,6,3,0.1,5.8,mandatory,RR Pant,Noor Ahmad,JP Inglis,2,0,2,,,,,,,,,,,,,,,,,,,,94
Lucknow Super Giants,6,4,0.1,5.8,mandatory,RR Pant,Noor Ahmad,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,94
Lucknow Super Giants,6,5,0.1,5.8,mandatory,RR Pant,Noor Ahmad,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,94
Lucknow Super Giants,6,6,0.1,5.8,mandatory,RR Pant,Noor Ahmad,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,94
Lucknow Super Giants,7,1,0.1,5.8,mandatory,JP Inglis,J Overton,RR Pant,1,0,1,,,,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,7,2,0.1,5.8,mandatory,RR Pant,J Overton,JP Inglis,1,0,1,,,,,,,,,,,,,,,,,,,,96
Lucknow Super Giants,7,3,0.1,5.8,mandatory,JP Inglis,J Overton,RR Pant,1,0,1,,,,,,,,,,,,,,,,,,,,97
Lucknow Super Giants,7,4,0.1,5.8,mandatory,RR Pant,J Overton,JP Inglis,4,0,4,,,,,,,,,,,,,,,,,,,,101
Lucknow Super Giants,7,5,0.1,5.8,mandatory,RR Pant,J Overton,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,101
Lucknow Super Giants,7,6,0.1,5.8,mandatory,RR Pant,J Overton,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,101
Lucknow Super Giants,8,1,0.1,5.8,mandatory,JP Inglis,Noor Ahmad,RR Pant,4,0,4,,,,,,,,,,,,,,,,,,,,105
Lucknow Super Giants,8,2,0.1,5.8,mandatory,JP Inglis,Noor Ahmad,RR Pant,0,0,0,,,,,,,,,,,,,,,,,,,,105
Lucknow Super Giants,8,3,0.1,5.8,mandatory,JP Inglis,Noor Ahmad,RR Pant,0,0,0,,,,,,,,,,,,,,,,,,,,105
Lucknow Super Giants,8,4,0.1,5.8,mandatory,JP Inglis,Noor Ahmad,RR Pant,1,0,1,,,,,,,,,,,,,,,,,,,,106
Lucknow Super Giants,8,5,0.1,5.8,mandatory,RR Pant,Noor Ahmad,JP Inglis,2,0,2,,,,,,,,,,,,,,,,,,,,108
Lucknow Super Giants,8,6,0.1,5.8,mandatory,RR Pant,Noor Ahmad,JP Inglis,4,0,4,,,,,,,,,,,,,,,,,,,,112
Lucknow Super Giants,9,1,0.1,5.8,mandatory,JP Inglis,J Overton,RR Pant,0,0,0,,,,,,,,,,JP Inglis,caught,,,,,SV Samson,,,,112
Lucknow Super Giants,9,2,0.1,5.8,mandatory,AK Markram,J Overton,RR Pant,1,0,1,,,,,,,,,,,,,,,,,,,,113
Lucknow Super Giants,9,3,0.1,5.8,mandatory,RR Pant,J Overton,AK Markram,2,0,2,,,,,,,,,,,,,,,,,,,,115
Lucknow Super Giants,9,4,0.1,5.8,mandatory,RR Pant,J Overton,AK Markram,0,0,0,,,,,,,,,,RR Pant,bowled,,,,,,,,,115
Lucknow Super Giants,9,5,0.1,5.8,mandatory,Akshat Raghuwanshi,J Overton,AK Markram,0,1,1,1.0,,,,,,,,,,,,,,,,,,,116
Lucknow Super Giants,9,6,0.1,5.8,mandatory,Akshat Raghuwanshi,J Overton,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,117
Lucknow Super Giants,9,7,0.1,5.8,mandatory,AK Markram,J Overton,Akshat Raghuwanshi,0,0,0,,,,,,,,,,,,,,,,,,,,117
Lucknow Super Giants,10,1,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,118
Lucknow Super Giants,10,2,0.1,5.8,mandatory,AK Markram,AJ Hosein,Akshat Raghuwanshi,1,0,1,,,,,,,,,,,,,,,,,,,,119
Lucknow Super Giants,10,3,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,AK Markram,2,0,2,,,,,,,,,,,,,,,,,,,,121
Lucknow Super Giants,10,4,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,122
Lucknow Super Giants,10,5,0.1,5.8,mandatory,AK Markram,AJ Hosein,Akshat Raghuwanshi,1,0,1,,,,,,,,,,,,,,,,,,,,123
Lucknow Super Giants,10,6,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,AK Markram,0,0,0,,,,,,,,,,,,,,,,,,,,123
Lucknow Super Giants,11,1,0.1,5.8,mandatory,AK Markram,Noor Ahmad,Akshat Raghuwanshi,1,0,1,,,,,,,,,,,,,,,,,,,,124
Lucknow Super Giants,11,2,0.1,5.8,mandatory,Akshat Raghuwanshi,Noor Ahmad,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,125
Lucknow Super Giants,11,3,0.1,5.8,mandatory,AK Markram,Noor Ahmad,Akshat Raghuwanshi,1,0,1,,,,,,,,,,,,,,,,,,,,126
Lucknow Super Giants,11,4,0.1,5.8,mandatory,Akshat Raghuwanshi,Noor Ahmad,AK Markram,0,1,1,,,1.0,,,,,,,,,,,,,,,,,127
Lucknow Super Giants,11,5,0.1,5.8,mandatory,AK Markram,Noor Ahmad,Akshat Raghuwanshi,1,0,1,,,,,,,,,,,,,,,,,,,,128
Lucknow Super Giants,11,6,0.1,5.8,mandatory,Akshat Raghuwanshi,Noor Ahmad,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,129
Lucknow Super Giants,12,1,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,AK Markram,1,0,1,,,,,,,,,,AK Markram,run out,,,,,D Brevis,,,,130
Lucknow Super Giants,12,2,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,Shahbaz Ahmed,0,0,0,,,,,,,,,,,,,,,,,,,,130
Lucknow Super Giants,12,3,0.1,5.8,mandatory,Akshat Raghuwanshi,AJ Hosein,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,131
