team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Chennai Super Kings,4,6,0.1,5.7,mandatory,Urvil Patel,Avesh Khan,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,72
Chennai Super Kings,5,1,0.1,5.7,mandatory,RD Gaikwad,DS Rathi,Urvil Patel,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,73
Chennai Super Kings,5,2,0.1,5.7,mandatory,Urvil Patel,DS Rathi,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,79
Chennai Super Kings,5,3,0.1,5.7,mandatory,Urvil Patel,DS Rathi,RD Gaikwad,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,204.0,80
Chennai Super Kings,5,4,0.1,5.7,mandatory,Urvil Patel,DS Rathi,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,86
Chennai Super Kings,5,5,0.1,5.7,mandatory,Urvil Patel,DS Rathi,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,90
Chennai Super Kings,5,6,0.1,5.7,mandatory,Urvil Patel,DS Rathi,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,96
Chennai Super Kings,5,7,0.1,5.7,mandatory,Urvil Patel,DS Rathi,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,97
Chennai Super Kings,6,1,0.1,5.7,mandatory,Urvil Patel,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,97
Chennai Super Kings,6,2,0.1,5.7,mandatory,Urvil Patel,Mohammed Shami,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,103
Chennai Super Kings,6,3,0.1,5.7,mandatory,Urvil Patel,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,104
Chennai Super Kings,6,4,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,Urvil Patel,2,0,2,,,,,,,,,,,,,,,,,,20.0,204.0,106
Chennai Super Kings,6,5,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,Urvil Patel,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,107
Chennai Super Kings,6,6,0.1,5.7,mandatory,Urvil Patel,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,108
Chennai Super Kings,7,1,0.1,5.7,mandatory,Urvil Patel,Shahbaz Ahmed,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,112
Chennai Super Kings,7,2,0.1,5.7,mandatory,Urvil Patel,Shahbaz Ahmed,RD Gaikwad,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,118
Chennai Super Kings,7,3,0.1,5.7,mandatory,Urvil Patel,Shahbaz Ahmed,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,119
Chennai Super Kings,7,4,0.1,5.7,mandatory,RD Gaikwad,Shahbaz Ahmed,Urvil Patel,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,119
Chennai Super Kings,7,5,0.1,5.7,mandatory,RD Gaikwad,Shahbaz Ahmed,Urvil Patel,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,120
Chennai Super Kings,7,6,0.1,5.7,mandatory,Urvil Patel,Shahbaz Ahmed,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,121
Chennai Super Kings,8,1,0.1,5.7,mandatory,Urvil Patel,Prince Yadav,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,121
Chennai Super Kings,8,2,0.1,5.7,mandatory,Urvil Patel,Prince Yadav,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,121
Chennai Super Kings,8,3,0.1,5.7,mandatory,Urvil Patel,Prince Yadav,RD Gaikwad,2,0,2,,,,,,,,,,,,,,,,,,20.0,204.0,123
Chennai Super Kings,8,4,0.1,5.7,mandatory,Urvil Patel,Prince Yadav,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,124
Chennai Super Kings,8,5,0.1,5.7,mandatory,RD Gaikwad,Prince Yadav,Urvil Patel,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,125
Chennai Super Kings,8,6,0.1,5.7,mandatory,Urvil Patel,Prince Yadav,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,125
Chennai Super Kings,9,1,0.1,5.7,mandatory,RD Gaikwad,Shahbaz Ahmed,Urvil Patel,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,126
Chennai Super Kings,9,2,0.1,5.7,mandatory,Urvil Patel,Shahbaz Ahmed,RD Gaikwad,0,0,0,,,,,,,,,,Urvil Patel,caught,,,,,Avesh Khan,,20.0,204.0,126
Chennai Super Kings,9,3,0.1,5.7,mandatory,Kartik Sharma,Shahbaz Ahmed,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,127
Chennai Super Kings,9,4,0.1,5.7,mandatory,RD Gaikwad,Shahbaz Ahmed,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,128
Chennai Super Kings,9,5,0.1,5.7,mandatory,Kartik Sharma,Shahbaz Ahmed,RD Gaikwad,2,0,2,,,,,,,,,,,,,,,,,,20.0,204.0,130
Chennai Super Kings,9,6,0.1,5.7,mandatory,Kartik Sharma,Shahbaz Ahmed,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,131
Chennai Super Kings,10,1,0.1,5.7,mandatory,Kartik Sharma,Avesh Khan,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,131
Chennai Super Kings,10,2,0.1,5.7,mandatory,Kartik Sharma,Avesh Khan,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,132
Chennai Super Kings,10,3,0.1,5.7,mandatory,RD Gaikwad,Avesh Khan,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,133
Chennai Super Kings,10,4,0.1,5.7,mandatory,Kartik Sharma,Avesh Khan,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,134
Chennai Super Kings,10,5,0.1,5.7,mandatory,RD Gaikwad,Avesh Khan,Kartik Sharma,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,204.0,135
Chennai Super Kings,10,6,0.1,5.7,mandatory,RD Gaikwad,Avesh Khan,Kartik Sharma,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,135
Chennai Super Kings,10,7,0.1,5.7,mandatory,RD Gaikwad,Avesh Khan,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,136
Chennai Super Kings,11,1,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,137
Chennai Super Kings,11,2,0.1,5.7,mandatory,Kartik Sharma,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,137
Chennai Super Kings,11,3,0.1,5.7,mandatory,Kartik Sharma,Mohammed Shami,RD Gaikwad,2,0,2,,,,,,,,,,,,,,,,,,20.0,204.0,139
Chennai Super Kings,11,4,0.1,5.7,mandatory,Kartik Sharma,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,140
Chennai Super Kings,11,5,0.1,5.7,mandatory,RD Gaikwad,Mohammed Shami,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,141
Chennai Super Kings,11,6,0.1,5.7,mandatory,Kartik Sharma,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,142
Chennai Super Kings,12,1,0.1,5.7,mandatory,Kartik Sharma,Shahbaz Ahmed,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,143
Chennai Super Kings,12,2,0.1,5.7,mandatory,RD Gaikwad,Shahbaz Ahmed,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,144
Chennai Super Kings,12,3,0.1,5.7,mandatory,Kartik Sharma,Shahbaz Ahmed,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,145
Chennai Super Kings,12,4,0.1,5.7,mandatory,RD Gaikwad,Shahbaz Ahmed,Kartik Sharma,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,149
Chennai Super Kings,12,5,0.1,5.7,mandatory,RD Gaikwad,Shahbaz Ahmed,Kartik Sharma,0,0,0,,,,,,,,,,RD Gaikwad,bowled,,,,,,,20.0,204.0,149
Chennai Super Kings,12,6,0.1,5.7,mandatory,D Brevis,Shahbaz Ahmed,Kartik Sharma,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,153
Chennai Super Kings,13,1,0.1,5.7,mandatory,Kartik Sharma,DS Rathi,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,154
Chennai Super Kings,13,2,0.1,5.7,mandatory,D Brevis,DS Rathi,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,155
Chennai Super Kings,13,3,0.1,5.7,mandatory,Kartik Sharma,DS Rathi,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,156
Chennai Super Kings,13,4,0.1,5.7,mandatory,D Brevis,DS Rathi,Kartik Sharma,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,156
Chennai Super Kings,13,5,0.1,5.7,mandatory,D Brevis,DS Rathi,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,157
Chennai Super Kings,13,6,0.1,5.7,mandatory,Kartik Sharma,DS Rathi,D Brevis,0,0,0,,,,Lucknow Super Giants,K Kelkar,Kartik Sharma,struck down,wicket,,,,,,,,,,20.0,204.0,157
Chennai Super Kings,14,1,0.1,5.7,mandatory,D Brevis,Prince Yadav,Kartik Sharma,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,157
Chennai Super Kings,14,2,0.1,5.7,mandatory,D Brevis,Prince Yadav,Kartik Sharma,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,157
Chennai Super Kings,14,3,0.1,5.7,mandatory,D Brevis,Prince Yadav,Kartik Sharma,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,157
Chennai Super Kings,14,4,0.1,5.7,mandatory,D Brevis,Prince Yadav,Kartik Sharma,0,2,2,2.0,,,,,,,,,,,,,,,,,20.0,204.0,159
Chennai Super Kings,14,5,0.1,5.7,mandatory,Kartik Sharma,Prince Yadav,D Brevis,4,0,4,,,,,,,,,,,,,,,,,,20.0,204.0,163
Chennai Super Kings,14,6,0.1,5.7,mandatory,Kartik Sharma,Prince Yadav,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,164
Chennai Super Kings,14,7,0.1,5.7,mandatory,D Brevis,Prince Yadav,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,165
Chennai Super Kings,15,1,0.1,5.7,mandatory,D Brevis,DS Rathi,Kartik Sharma,2,0,2,,,,,,,,,,,,,,,,,,20.0,204.0,167
Chennai Super Kings,15,2,0.1,5.7,mandatory,D Brevis,DS Rathi,Kartik Sharma,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,168
Chennai Super Kings,15,3,0.1,5.7,mandatory,Kartik Sharma,DS Rathi,D Brevis,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,168
Chennai Super Kings,15,4,0.1,5.7,mandatory,Kartik Sharma,DS Rathi,D Brevis,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,169
Chennai Super Kings,15,5,0.1,5.7,mandatory,D Brevis,DS Rathi,Kartik Sharma,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,169
Chennai Super Kings,15,6,0.1,5.7,mandatory,D Brevis,DS Rathi,Kartik Sharma,0,0,0,,,,,,,,,,D Brevis,bowled,,,,,,,20.0,204.0,169
Chennai Super Kings,16,1,0.1,5.7,mandatory,Kartik Sharma,Avesh Khan,S Dube,0,0,0,,,,,,,,,,Kartik Sharma,caught,,,,,Akshat Raghuwanshi,,20.0,204.0,169
Chennai Super Kings,16,2,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,1,0,1,,,,,,,,,,,,PR Veer,Mukesh Choudhary,Chennai Super Kings,impact_player,,,20.0,204.0,170
Chennai Super Kings,16,3,0.1,5.7,mandatory,S Dube,Avesh Khan,PR Veer,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,204.0,171
Chennai Super Kings,16,4,0.1,5.7,mandatory,S Dube,Avesh Khan,PR Veer,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,171
Chennai Super Kings,16,5,0.1,5.7,mandatory,S Dube,Avesh Khan,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,172
Chennai Super Kings,16,6,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,204.0,173
Chennai Super Kings,16,7,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,173
Chennai Super Kings,16,8,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,0,1,1,,,1.0,,,,,,,,,,,,,,,20.0,204.0,174
Chennai Super Kings,17,1,0.1,5.7,mandatory,PR Veer,Prince Yadav,S Dube,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,174
Chennai Super Kings,17,2,0.1,5.7,mandatory,PR Veer,Prince Yadav,S Dube,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,180
Chennai Super Kings,17,3,0.1,5.7,mandatory,PR Veer,Prince Yadav,S Dube,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,181
Chennai Super Kings,17,4,0.1,5.7,mandatory,S Dube,Prince Yadav,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,182
Chennai Super Kings,17,5,0.1,5.7,mandatory,PR Veer,Prince Yadav,S Dube,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,182
Chennai Super Kings,17,6,0.1,5.7,mandatory,PR Veer,Prince Yadav,S Dube,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,183
Chennai Super Kings,18,1,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,0,0,0,,,,,,,,,,,,,,,,,,20.0,204.0,183
Chennai Super Kings,18,2,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,184
Chennai Super Kings,18,3,0.1,5.7,mandatory,S Dube,Avesh Khan,PR Veer,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,204.0,185
Chennai Super Kings,18,4,0.1,5.7,mandatory,S Dube,Avesh Khan,PR Veer,0,1,1,,,1.0,Lucknow Super Giants,Amit Rana,S Dube,struck down,wicket,,,,,,,,,,20.0,204.0,186
Chennai Super Kings,18,5,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,192
Chennai Super Kings,18,6,0.1,5.7,mandatory,PR Veer,Avesh Khan,S Dube,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,193
Chennai Super Kings,18,7,0.1,5.7,mandatory,S Dube,Avesh Khan,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,204.0,194
Chennai Super Kings,19,1,0.1,5.7,mandatory,S Dube,AK Markram,PR Veer,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,204.0,195
Chennai Super Kings,19,2,0.1,5.7,mandatory,S Dube,AK Markram,PR Veer,0,1,1,1.0,,,,,,,,,,,,,,,,,20.0,204.0,196
Chennai Super Kings,19,3,0.1,5.7,mandatory,S Dube,AK Markram,PR Veer,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,202
Chennai Super Kings,19,4,0.1,5.7,mandatory,S Dube,AK Markram,PR Veer,6,0,6,,,,,,,,,,,,,,,,,,20.0,204.0,208
