team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,2,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,3,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,4,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,5,0.1,5.7,mandatory,Abhishek Sharma,VG Arora,TM Head,1,0,1,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,0,6,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,1,1,0.1,5.7,mandatory,Abhishek Sharma,B Muzarabani,TM Head,1,0,1,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,1,2,0.1,5.7,mandatory,TM Head,B Muzarabani,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,11
Sunrisers Hyderabad,1,3,0.1,5.7,mandatory,TM Head,B Muzarabani,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,15
Sunrisers Hyderabad,1,4,0.1,5.7,mandatory,TM Head,B Muzarabani,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,16
Sunrisers Hyderabad,1,5,0.1,5.7,mandatory,Abhishek Sharma,B Muzarabani,TM Head,0,0,0,,,,,,,,,,,,,,,,,16
Sunrisers Hyderabad,1,6,0.1,5.7,mandatory,Abhishek Sharma,B Muzarabani,TM Head,6,0,6,,,,,,,,,,,,,,,,,22
Sunrisers Hyderabad,2,1,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,26
Sunrisers Hyderabad,2,2,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,26
Sunrisers Hyderabad,2,3,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,6,0,6,,,,,,,,,,,,,,,,,32
Sunrisers Hyderabad,2,4,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,6,0,6,,,,,,,,,,,,,,,,,38
Sunrisers Hyderabad,2,5,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,42
Sunrisers Hyderabad,2,6,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,0,1,1,1.0,,,,,,,,,,,,,,,,43
Sunrisers Hyderabad,2,7,0.1,5.7,mandatory,TM Head,VG Arora,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,43
Sunrisers Hyderabad,3,1,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,TM Head,0,0,0,,,,,,,,,,,,,,,,,43
Sunrisers Hyderabad,3,2,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,TM Head,0,0,0,,,,,,,,,,,,,,,,,43
Sunrisers Hyderabad,3,3,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,TM Head,1,0,1,,,,,,,,,,,,,,,,,44
Sunrisers Hyderabad,3,4,0.1,5.7,mandatory,TM Head,SP Narine,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,44
Sunrisers Hyderabad,3,5,0.1,5.7,mandatory,TM Head,SP Narine,Abhishek Sharma,2,0,2,,,,,,,,,,,,,,,,,46
Sunrisers Hyderabad,3,6,0.1,5.7,mandatory,TM Head,SP Narine,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,46
Sunrisers Hyderabad,4,1,0.1,5.7,mandatory,Abhishek Sharma,CV Varun,TM Head,6,0,6,,,,,,,,,,,,,,,,,52
Sunrisers Hyderabad,4,2,0.1,5.7,mandatory,Abhishek Sharma,CV Varun,TM Head,0,0,0,,,,,,,,,,,,,,,,,52
Sunrisers Hyderabad,4,3,0.1,5.7,mandatory,Abhishek Sharma,CV Varun,TM Head,6,0,6,,,,,,,,,,,,,,,,,58
Sunrisers Hyderabad,4,4,0.1,5.7,mandatory,Abhishek Sharma,CV Varun,TM Head,4,0,4,,,,,,,,,,,,,,,,,62
Sunrisers Hyderabad,4,5,0.1,5.7,mandatory,Abhishek Sharma,CV Varun,TM Head,0,1,1,1.0,,,,,,,,,,,,,,,,63
Sunrisers Hyderabad,4,6,0.1,5.7,mandatory,Abhishek Sharma,CV Varun,TM Head,4,0,4,,,,,,,,,,,,,,,,,67
Sunrisers Hyderabad,4,7,0.1,5.7,mandatory,Abhishek Sharma,CV Varun,TM Head,4,0,4,,,,,,,,,,,,,,,,,71
Sunrisers Hyderabad,5,1,0.1,5.7,mandatory,TM Head,Kartik Tyagi,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,75
Sunrisers Hyderabad,5,2,0.1,5.7,mandatory,TM Head,Kartik Tyagi,Abhishek Sharma,0,1,1,1.0,,,,,,,,,,,,,,,,76
Sunrisers Hyderabad,5,3,0.1,5.7,mandatory,TM Head,Kartik Tyagi,Abhishek Sharma,6,0,6,,,,,,,,,,,,,,,,,82
Sunrisers Hyderabad,5,4,0.1,5.7,mandatory,TM Head,Kartik Tyagi,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,82
Sunrisers Hyderabad,5,5,0.1,5.7,mandatory,TM Head,Kartik Tyagi,Abhishek Sharma,0,0,0,,,,,,,,TM Head,caught,,,,,C Green,,,82
Sunrisers Hyderabad,5,6,0.1,5.7,mandatory,Ishan Kishan,Kartik Tyagi,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,83
Sunrisers Hyderabad,5,7,0.1,5.7,mandatory,Abhishek Sharma,Kartik Tyagi,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,84
Sunrisers Hyderabad,6,1,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,85
Sunrisers Hyderabad,6,2,0.1,5.7,mandatory,Ishan Kishan,SP Narine,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,86
Sunrisers Hyderabad,6,3,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,90
Sunrisers Hyderabad,6,4,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,90
Sunrisers Hyderabad,6,5,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,96
Sunrisers Hyderabad,6,6,0.1,5.7,mandatory,Abhishek Sharma,SP Narine,Ishan Kishan,2,0,2,,,,,,,,,,,,,,,,,98
Sunrisers Hyderabad,7,1,0.1,5.7,mandatory,Ishan Kishan,Kartik Tyagi,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,98
Sunrisers Hyderabad,7,2,0.1,5.7,mandatory,Ishan Kishan,Kartik Tyagi,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,102
Sunrisers Hyderabad,7,3,0.1,5.7,mandatory,Ishan Kishan,Kartik Tyagi,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,106
Sunrisers Hyderabad,7,4,0.1,5.7,mandatory,Ishan Kishan,Kartik Tyagi,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,110
Sunrisers Hyderabad,7,5,0.1,5.7,mandatory,Ishan Kishan,Kartik Tyagi,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,110
Sunrisers Hyderabad,7,6,0.1,5.7,mandatory,Ishan Kishan,Kartik Tyagi,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,110
Sunrisers Hyderabad,8,1,0.1,5.7,mandatory,Abhishek Sharma,B Muzarabani,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,111
Sunrisers Hyderabad,8,2,0.1,5.7,mandatory,Ishan Kishan,B Muzarabani,Abhishek Sharma,0,0,0,,,,,,,,Ishan Kishan,caught,,,,,RK Singh,,,111
Sunrisers Hyderabad,8,3,0.1,5.7,mandatory,H Klaasen,B Muzarabani,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,112
Sunrisers Hyderabad,8,4,0.1,5.7,mandatory,Abhishek Sharma,B Muzarabani,H Klaasen,0,0,0,,,,,,,,Abhishek Sharma,caught,,,,,CV Varun,,,112
Sunrisers Hyderabad,8,5,0.1,5.7,mandatory,Aniket Verma,B Muzarabani,H Klaasen,0,4,4,,4.0,,,,,,,,,,,,,,,116
Sunrisers Hyderabad,8,6,0.1,5.7,mandatory,Aniket Verma,B Muzarabani,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,,,,117
Sunrisers Hyderabad,8,7,0.1,5.7,mandatory,Aniket Verma,B Muzarabani,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,118
Sunrisers Hyderabad,9,1,0.1,5.7,mandatory,Aniket Verma,AS Roy,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,118
Sunrisers Hyderabad,9,2,0.1,5.7,mandatory,Aniket Verma,AS Roy,H Klaasen,0,0,0,,,,,,,,Aniket Verma,caught,,,,,RK Singh,,,118
Sunrisers Hyderabad,9,3,0.1,5.7,mandatory,Nithish Kumar Reddy,AS Roy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,119
Sunrisers Hyderabad,9,4,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,120
Sunrisers Hyderabad,9,5,0.1,5.7,mandatory,Nithish Kumar Reddy,AS Roy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,121
Sunrisers Hyderabad,9,6,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,,,,123
Sunrisers Hyderabad,10,1,0.1,5.7,mandatory,Nithish Kumar Reddy,CV Varun,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,124
Sunrisers Hyderabad,10,2,0.1,5.7,mandatory,H Klaasen,CV Varun,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,125
Sunrisers Hyderabad,10,3,0.1,5.7,mandatory,Nithish Kumar Reddy,CV Varun,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,126
Sunrisers Hyderabad,10,4,0.1,5.7,mandatory,H Klaasen,CV Varun,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,127
Sunrisers Hyderabad,10,5,0.1,5.7,mandatory,Nithish Kumar Reddy,CV Varun,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,128
Sunrisers Hyderabad,10,6,0.1,5.7,mandatory,H Klaasen,CV Varun,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,129
Sunrisers Hyderabad,11,1,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,,,,131
Sunrisers Hyderabad,11,2,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,0,1,1,1.0,,,,,,,,,,,,,,,,132
Sunrisers Hyderabad,11,3,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,132
Sunrisers Hyderabad,11,4,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,132
Sunrisers Hyderabad,11,5,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,,,,134
Sunrisers Hyderabad,11,6,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,0,1,1,1.0,,,,,,,,,,,,,,,,135
Sunrisers Hyderabad,11,7,0.1,5.7,mandatory,H Klaasen,AS Roy,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,136
Sunrisers Hyderabad,11,8,0.1,5.7,mandatory,Nithish Kumar Reddy,AS Roy,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,140
Sunrisers Hyderabad,12,1,0.1,5.7,mandatory,H Klaasen,SP Narine,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,,,,144
Sunrisers Hyderabad,12,2,0.1,5.7,mandatory,H Klaasen,SP Narine,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,145
Sunrisers Hyderabad,12,3,0.1,5.7,mandatory,Nithish Kumar Reddy,SP Narine,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,146
Sunrisers Hyderabad,12,4,0.1,5.7,mandatory,H Klaasen,SP Narine,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,,,,148
Sunrisers Hyderabad,12,5,0.1,5.7,mandatory,H Klaasen,SP Narine,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,12,6,0.1,5.7,mandatory,Nithish Kumar Reddy,SP Narine,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,13,1,0.1,5.7,mandatory,H Klaasen,B Muzarabani,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,13,2,0.1,5.7,mandatory,H Klaasen,B Muzarabani,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,150
Sunrisers Hyderabad,13,3,0.1,5.7,mandatory,Nithish Kumar Reddy,B Muzarabani,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,152
