team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Mumbai Indians,3,4,0.1,5.6,mandatory,RD Rickelton,Rasikh Salam,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,44
Mumbai Indians,3,5,0.1,5.6,mandatory,RD Rickelton,Rasikh Salam,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,44
Mumbai Indians,3,6,0.1,5.6,mandatory,RD Rickelton,Rasikh Salam,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,48
Mumbai Indians,4,1,0.1,5.6,mandatory,RG Sharma,KH Pandya,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,48
Mumbai Indians,4,2,0.1,5.6,mandatory,RG Sharma,KH Pandya,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,49
Mumbai Indians,4,3,0.1,5.6,mandatory,RD Rickelton,KH Pandya,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,50
Mumbai Indians,4,4,0.1,5.6,mandatory,RG Sharma,KH Pandya,RD Rickelton,0,1,1,,,1.0,,,,,,,,,,,,,,,,,20.0,241.0,51
Mumbai Indians,4,5,0.1,5.6,mandatory,RD Rickelton,KH Pandya,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,52
Mumbai Indians,4,6,0.1,5.6,mandatory,RG Sharma,KH Pandya,RD Rickelton,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,56
Mumbai Indians,5,1,0.1,5.6,mandatory,RD Rickelton,Rasikh Salam,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,57
Mumbai Indians,5,2,0.1,5.6,mandatory,RG Sharma,Rasikh Salam,RD Rickelton,0,0,0,,,,,,,,,RG Sharma,retired hurt,,,,,,,,,,20.0,241.0,57
Mumbai Indians,5,3,0.1,5.6,mandatory,SA Yadav,Rasikh Salam,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,57
Mumbai Indians,5,4,0.1,5.6,mandatory,SA Yadav,Rasikh Salam,RD Rickelton,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,61
Mumbai Indians,5,5,0.1,5.6,mandatory,SA Yadav,Rasikh Salam,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,61
Mumbai Indians,5,6,0.1,5.6,mandatory,SA Yadav,Rasikh Salam,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,62
Mumbai Indians,6,1,0.1,5.6,mandatory,SA Yadav,KH Pandya,RD Rickelton,2,0,2,,,,,,,,,,,,,,,,,,,,20.0,241.0,64
Mumbai Indians,6,2,0.1,5.6,mandatory,SA Yadav,KH Pandya,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,65
Mumbai Indians,6,3,0.1,5.6,mandatory,RD Rickelton,KH Pandya,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,66
Mumbai Indians,6,4,0.1,5.6,mandatory,SA Yadav,KH Pandya,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,67
Mumbai Indians,6,5,0.1,5.6,mandatory,RD Rickelton,KH Pandya,SA Yadav,0,1,1,,,1.0,,,,,,,,,,,,,,,,,20.0,241.0,68
Mumbai Indians,6,6,0.1,5.6,mandatory,SA Yadav,KH Pandya,RD Rickelton,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,72
Mumbai Indians,7,1,0.1,5.6,mandatory,RD Rickelton,Suyash Sharma,SA Yadav,0,0,0,,,,,,,,,RD Rickelton,caught,,,,,,,,,B Kumar,20.0,241.0,72
Mumbai Indians,7,2,0.1,5.6,mandatory,Tilak Varma,Suyash Sharma,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,72
Mumbai Indians,7,3,0.1,5.6,mandatory,Tilak Varma,Suyash Sharma,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,73
Mumbai Indians,7,4,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,74
Mumbai Indians,7,5,0.1,5.6,mandatory,Tilak Varma,Suyash Sharma,SA Yadav,0,0,0,,,,,,,,,Tilak Varma,caught,,,,,,,,,JA Duffy,20.0,241.0,74
Mumbai Indians,7,6,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SA Yadav,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,80
Mumbai Indians,8,1,0.1,5.6,mandatory,SA Yadav,KH Pandya,HH Pandya,2,0,2,,,,,,,,,,,,,,,,,,,,20.0,241.0,82
Mumbai Indians,8,2,0.1,5.6,mandatory,SA Yadav,KH Pandya,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,83
Mumbai Indians,8,3,0.1,5.6,mandatory,HH Pandya,KH Pandya,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,84
Mumbai Indians,8,4,0.1,5.6,mandatory,SA Yadav,KH Pandya,HH Pandya,0,0,0,,,,Royal Challengers Bengaluru,K Swaroopanand,SA Yadav,struck down,wicket,,,,,,,,,,,,20.0,241.0,84
Mumbai Indians,8,5,0.1,5.6,mandatory,SA Yadav,KH Pandya,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,85
Mumbai Indians,8,6,0.1,5.6,mandatory,HH Pandya,KH Pandya,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,85
Mumbai Indians,9,1,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,HH Pandya,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,89
Mumbai Indians,9,2,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,HH Pandya,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,93
Mumbai Indians,9,3,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,93
Mumbai Indians,9,4,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,94
Mumbai Indians,9,5,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,98
Mumbai Indians,9,6,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,99
Mumbai Indians,10,1,0.1,5.6,mandatory,HH Pandya,B Kumar,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,103
Mumbai Indians,10,2,0.1,5.6,mandatory,HH Pandya,B Kumar,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,103
Mumbai Indians,10,3,0.1,5.6,mandatory,HH Pandya,B Kumar,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,107
Mumbai Indians,10,4,0.1,5.6,mandatory,HH Pandya,B Kumar,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,107
Mumbai Indians,10,5,0.1,5.6,mandatory,HH Pandya,B Kumar,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,108
Mumbai Indians,10,6,0.1,5.6,mandatory,SA Yadav,B Kumar,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,108
Mumbai Indians,11,1,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SA Yadav,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,112
Mumbai Indians,11,2,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,112
Mumbai Indians,11,3,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,113
Mumbai Indians,11,4,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,HH Pandya,2,0,2,,,,,,,,,,,,,,,,,,,,20.0,241.0,115
Mumbai Indians,11,5,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,115
Mumbai Indians,11,6,0.1,5.6,mandatory,SA Yadav,Suyash Sharma,HH Pandya,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,119
Mumbai Indians,12,1,0.1,5.6,mandatory,HH Pandya,KH Pandya,SA Yadav,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,120
Mumbai Indians,12,2,0.1,5.6,mandatory,HH Pandya,KH Pandya,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,121
Mumbai Indians,12,3,0.1,5.6,mandatory,SA Yadav,KH Pandya,HH Pandya,0,0,0,,,,,,,,,SA Yadav,caught,,,,,,,,,Rasikh Salam,20.0,241.0,121
Mumbai Indians,12,4,0.1,5.6,mandatory,SE Rutherford,KH Pandya,HH Pandya,1,0,1,,,,,,,,,,,SE Rutherford,M Markande,Mumbai Indians,impact_player,,,,,,20.0,241.0,122
Mumbai Indians,12,5,0.1,5.6,mandatory,HH Pandya,KH Pandya,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,123
Mumbai Indians,12,6,0.1,5.6,mandatory,SE Rutherford,KH Pandya,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,123
Mumbai Indians,12,7,0.1,5.6,mandatory,SE Rutherford,KH Pandya,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,124
Mumbai Indians,13,1,0.1,5.6,mandatory,SE Rutherford,Suyash Sharma,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,125
Mumbai Indians,13,2,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SE Rutherford,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,129
Mumbai Indians,13,3,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,130
Mumbai Indians,13,4,0.1,5.6,mandatory,SE Rutherford,Suyash Sharma,HH Pandya,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,136
Mumbai Indians,13,5,0.1,5.6,mandatory,SE Rutherford,Suyash Sharma,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,137
Mumbai Indians,13,6,0.1,5.6,mandatory,HH Pandya,Suyash Sharma,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,138
Mumbai Indians,14,1,0.1,5.6,mandatory,HH Pandya,JA Duffy,SE Rutherford,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,139
Mumbai Indians,14,2,0.1,5.6,mandatory,HH Pandya,JA Duffy,SE Rutherford,2,0,2,,,,,,,,,,,,,,,,,,,,20.0,241.0,141
Mumbai Indians,14,3,0.1,5.6,mandatory,HH Pandya,JA Duffy,SE Rutherford,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,145
Mumbai Indians,14,4,0.1,5.6,mandatory,HH Pandya,JA Duffy,SE Rutherford,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,145
Mumbai Indians,14,5,0.1,5.6,mandatory,HH Pandya,JA Duffy,SE Rutherford,0,0,0,,,,,,,,,HH Pandya,caught,,,,,,,,,R Shepherd,20.0,241.0,145
Mumbai Indians,14,6,0.1,5.6,mandatory,Naman Dhir,JA Duffy,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,146
Mumbai Indians,14,7,0.1,5.6,mandatory,SE Rutherford,JA Duffy,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,147
Mumbai Indians,15,1,0.1,5.6,mandatory,SE Rutherford,Rasikh Salam,Naman Dhir,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,153
Mumbai Indians,15,2,0.1,5.6,mandatory,SE Rutherford,Rasikh Salam,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,154
Mumbai Indians,15,3,0.1,5.6,mandatory,Naman Dhir,Rasikh Salam,SE Rutherford,0,0,0,,,,,,,,,Naman Dhir,caught,,,,,,,,,RM Patidar,20.0,241.0,154
Mumbai Indians,15,4,0.1,5.6,mandatory,MJ Santner,Rasikh Salam,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,155
Mumbai Indians,15,5,0.1,5.6,mandatory,SE Rutherford,Rasikh Salam,MJ Santner,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,155
Mumbai Indians,15,6,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,0,1,1,,1.0,,,,,,,,,,,,,R Shepherd,Rasikh Salam,injury,bowler,,20.0,241.0,156
Mumbai Indians,15,7,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,157
Mumbai Indians,16,1,0.1,5.6,mandatory,SE Rutherford,B Kumar,MJ Santner,2,0,2,,,,,,,,,,,,,,,,,,,,20.0,241.0,159
Mumbai Indians,16,2,0.1,5.6,mandatory,SE Rutherford,B Kumar,MJ Santner,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,160
Mumbai Indians,16,3,0.1,5.6,mandatory,MJ Santner,B Kumar,SE Rutherford,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,164
Mumbai Indians,16,4,0.1,5.6,mandatory,MJ Santner,B Kumar,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,165
Mumbai Indians,16,5,0.1,5.6,mandatory,SE Rutherford,B Kumar,MJ Santner,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,166
Mumbai Indians,16,6,0.1,5.6,mandatory,MJ Santner,B Kumar,SE Rutherford,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,166
Mumbai Indians,17,1,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,167
Mumbai Indians,17,2,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,167
Mumbai Indians,17,3,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,173
Mumbai Indians,17,4,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,173
Mumbai Indians,17,5,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,179
Mumbai Indians,17,6,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,180
Mumbai Indians,17,7,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,180
Mumbai Indians,17,8,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,181
Mumbai Indians,17,9,0.1,5.6,mandatory,SE Rutherford,JA Duffy,MJ Santner,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,187
Mumbai Indians,18,1,0.1,5.6,mandatory,MJ Santner,B Kumar,SE Rutherford,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,188
Mumbai Indians,18,2,0.1,5.6,mandatory,MJ Santner,B Kumar,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,189
Mumbai Indians,18,3,0.1,5.6,mandatory,SE Rutherford,B Kumar,MJ Santner,4,0,4,,,,,,,,,,,,,,,,,,,,20.0,241.0,193
Mumbai Indians,18,4,0.1,5.6,mandatory,SE Rutherford,B Kumar,MJ Santner,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,193
Mumbai Indians,18,5,0.1,5.6,mandatory,SE Rutherford,B Kumar,MJ Santner,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,194
Mumbai Indians,18,6,0.1,5.6,mandatory,MJ Santner,B Kumar,SE Rutherford,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,195
Mumbai Indians,18,7,0.1,5.6,mandatory,SE Rutherford,B Kumar,MJ Santner,1,0,1,,,,,,,,,,,,,,,,,,,,20.0,241.0,196
Mumbai Indians,19,1,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,202
Mumbai Indians,19,2,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,203
Mumbai Indians,19,3,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,203
Mumbai Indians,19,4,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,209
Mumbai Indians,19,5,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,0,0,0,,,,,,,,,,,,,,,,,,,,20.0,241.0,209
Mumbai Indians,19,6,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,0,1,1,1.0,,,,,,,,,,,,,,,,,,,20.0,241.0,210
Mumbai Indians,19,7,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,216
Mumbai Indians,19,8,0.1,5.6,mandatory,SE Rutherford,R Shepherd,MJ Santner,6,0,6,,,,,,,,,,,,,,,,,,,,20.0,241.0,222
