team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Mumbai Indians,12,5,0.1,5.6,mandatory,SA Yadav,AS Roy,RD Rickelton,1.0,0,1,1,,,,,,,,,,,,,,,,20.0,221.0,156
Mumbai Indians,12,6,0.1,5.6,mandatory,SA Yadav,AS Roy,RD Rickelton,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,157
Mumbai Indians,12,7,0.1,5.6,mandatory,RD Rickelton,AS Roy,SA Yadav,,6,0,6,,,,,,,,,,,,,,,,20.0,221.0,163
Mumbai Indians,13,1,0.1,5.6,mandatory,SA Yadav,CV Varun,RD Rickelton,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,167
Mumbai Indians,13,2,0.1,5.6,mandatory,SA Yadav,CV Varun,RD Rickelton,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,168
Mumbai Indians,13,3,0.1,5.6,mandatory,RD Rickelton,CV Varun,SA Yadav,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,169
Mumbai Indians,13,4,0.1,5.6,mandatory,SA Yadav,CV Varun,RD Rickelton,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,170
Mumbai Indians,13,5,0.1,5.6,mandatory,RD Rickelton,CV Varun,SA Yadav,1.0,0,1,1,,,,,,,,,,,,,,,,20.0,221.0,171
Mumbai Indians,13,6,0.1,5.6,mandatory,RD Rickelton,CV Varun,SA Yadav,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,171
Mumbai Indians,13,7,0.1,5.6,mandatory,RD Rickelton,CV Varun,SA Yadav,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,175
Mumbai Indians,14,1,0.1,5.6,mandatory,SA Yadav,Kartik Tyagi,RD Rickelton,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,179
Mumbai Indians,14,2,0.1,5.6,mandatory,SA Yadav,Kartik Tyagi,RD Rickelton,,0,0,0,,,,,,,,SA Yadav,caught,,,,,RK Singh,,20.0,221.0,179
Mumbai Indians,14,3,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,RD Rickelton,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,183
Mumbai Indians,14,4,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,RD Rickelton,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,183
Mumbai Indians,14,5,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,RD Rickelton,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,183
Mumbai Indians,14,6,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,RD Rickelton,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,183
Mumbai Indians,15,1,0.1,5.6,mandatory,RD Rickelton,B Muzarabani,Tilak Varma,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,183
Mumbai Indians,15,2,0.1,5.6,mandatory,RD Rickelton,B Muzarabani,Tilak Varma,,1,0,1,,,,,,,,RD Rickelton,run out,,,,,AS Roy,,20.0,221.0,184
Mumbai Indians,15,3,0.1,5.6,mandatory,Tilak Varma,B Muzarabani,HH Pandya,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,185
Mumbai Indians,15,4,0.1,5.6,mandatory,HH Pandya,B Muzarabani,Tilak Varma,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,189
Mumbai Indians,15,5,0.1,5.6,mandatory,HH Pandya,B Muzarabani,Tilak Varma,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,193
Mumbai Indians,15,6,0.1,5.6,mandatory,HH Pandya,B Muzarabani,Tilak Varma,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,193
Mumbai Indians,16,1,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,HH Pandya,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,194
Mumbai Indians,16,2,0.1,5.6,mandatory,HH Pandya,Kartik Tyagi,Tilak Varma,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,195
Mumbai Indians,16,3,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,HH Pandya,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,195
Mumbai Indians,16,4,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,HH Pandya,,0,1,1,1.0,Kolkata Knight Riders,Anish Sahasrabudhe,Tilak Varma,struck down,wicket,,,,,,,,,,20.0,221.0,196
Mumbai Indians,16,5,0.1,5.6,mandatory,HH Pandya,Kartik Tyagi,Tilak Varma,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,197
Mumbai Indians,16,6,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,HH Pandya,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,201
Mumbai Indians,17,1,0.1,5.6,mandatory,HH Pandya,VG Arora,Tilak Varma,,0,0,0,,,,,,,,,,,,,,,,20.0,221.0,201
Mumbai Indians,17,2,0.1,5.6,mandatory,HH Pandya,VG Arora,Tilak Varma,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,202
Mumbai Indians,17,3,0.1,5.6,mandatory,Tilak Varma,VG Arora,HH Pandya,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,206
Mumbai Indians,17,4,0.1,5.6,mandatory,Tilak Varma,VG Arora,HH Pandya,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,207
Mumbai Indians,17,5,0.1,5.6,mandatory,HH Pandya,VG Arora,Tilak Varma,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,208
Mumbai Indians,17,6,0.1,5.6,mandatory,Tilak Varma,VG Arora,HH Pandya,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,212
Mumbai Indians,18,1,0.1,5.6,mandatory,HH Pandya,SP Narine,Tilak Varma,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,213
Mumbai Indians,18,2,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,214
Mumbai Indians,18,3,0.1,5.6,mandatory,HH Pandya,SP Narine,Tilak Varma,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,215
Mumbai Indians,18,4,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,,0,0,0,,,,,,,,Tilak Varma,caught,,,,,MK Pandey,True,20.0,221.0,215
Mumbai Indians,18,5,0.1,5.6,mandatory,Naman Dhir,SP Narine,HH Pandya,,1,0,1,,,,,,,,,,,,,,,,20.0,221.0,216
Mumbai Indians,18,6,0.1,5.6,mandatory,HH Pandya,SP Narine,Naman Dhir,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,220
Mumbai Indians,19,1,0.1,5.6,mandatory,Naman Dhir,AS Roy,HH Pandya,,4,0,4,,,,,,,,,,,,,,,,20.0,221.0,224
