team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,6,2,0.1,5.6,mandatory,KH Pandya,Ravi Bishnoi,RM Patidar,0,0,0,,,,,,,,,KH Pandya,caught,,,,,SO Hetmyer,,,62
Royal Challengers Bengaluru,6,3,0.1,5.6,mandatory,JM Sharma,Ravi Bishnoi,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,,62
Royal Challengers Bengaluru,6,4,0.1,5.6,mandatory,JM Sharma,Ravi Bishnoi,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,63
Royal Challengers Bengaluru,6,5,0.1,5.6,mandatory,RM Patidar,Ravi Bishnoi,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,64
Royal Challengers Bengaluru,6,6,0.1,5.6,mandatory,JM Sharma,Ravi Bishnoi,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,65
Royal Challengers Bengaluru,7,1,0.1,5.6,mandatory,JM Sharma,RA Jadeja,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,66
Royal Challengers Bengaluru,7,2,0.1,5.6,mandatory,RM Patidar,RA Jadeja,JM Sharma,4,0,4,,,,,,,,,,,,,,,,,,70
Royal Challengers Bengaluru,7,3,0.1,5.6,mandatory,RM Patidar,RA Jadeja,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,71
Royal Challengers Bengaluru,7,4,0.1,5.6,mandatory,JM Sharma,RA Jadeja,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,,71
Royal Challengers Bengaluru,7,5,0.1,5.6,mandatory,JM Sharma,RA Jadeja,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,72
Royal Challengers Bengaluru,7,6,0.1,5.6,mandatory,RM Patidar,RA Jadeja,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,73
Royal Challengers Bengaluru,8,1,0.1,5.6,mandatory,RM Patidar,Brijesh Sharma,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,74
Royal Challengers Bengaluru,8,2,0.1,5.6,mandatory,JM Sharma,Brijesh Sharma,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,75
Royal Challengers Bengaluru,8,3,0.1,5.6,mandatory,RM Patidar,Brijesh Sharma,JM Sharma,1,0,1,,,,,,,,,,,,,,,,,,76
Royal Challengers Bengaluru,8,4,0.1,5.6,mandatory,JM Sharma,Brijesh Sharma,RM Patidar,0,0,0,,,,,,,,,JM Sharma,lbw,,,,,,,,76
Royal Challengers Bengaluru,8,5,0.1,5.6,mandatory,TH David,Brijesh Sharma,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,,78
Royal Challengers Bengaluru,8,6,0.1,5.6,mandatory,TH David,Brijesh Sharma,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,,82
Royal Challengers Bengaluru,9,1,0.1,5.6,mandatory,RM Patidar,JC Archer,TH David,1,0,1,,,,,,,,,,,,,,,,,,83
Royal Challengers Bengaluru,9,2,0.1,5.6,mandatory,TH David,JC Archer,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,84
Royal Challengers Bengaluru,9,3,0.1,5.6,mandatory,RM Patidar,JC Archer,TH David,1,0,1,,,,,,,,,,,,,,,,,,85
Royal Challengers Bengaluru,9,4,0.1,5.6,mandatory,TH David,JC Archer,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,,85
Royal Challengers Bengaluru,9,5,0.1,5.6,mandatory,TH David,JC Archer,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,,89
Royal Challengers Bengaluru,9,6,0.1,5.6,mandatory,TH David,JC Archer,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,,89
Royal Challengers Bengaluru,10,1,0.1,5.6,mandatory,RM Patidar,Brijesh Sharma,TH David,1,0,1,,,,,,,,,,,,,,,,,,90
Royal Challengers Bengaluru,10,2,0.1,5.6,mandatory,TH David,Brijesh Sharma,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,91
Royal Challengers Bengaluru,10,3,0.1,5.6,mandatory,RM Patidar,Brijesh Sharma,TH David,1,0,1,,,,,,,,,,,,,,,,,,92
Royal Challengers Bengaluru,10,4,0.1,5.6,mandatory,TH David,Brijesh Sharma,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,93
Royal Challengers Bengaluru,10,5,0.1,5.6,mandatory,RM Patidar,Brijesh Sharma,TH David,0,1,1,,,1.0,,,,,,,,,,,,,,,94
Royal Challengers Bengaluru,10,6,0.1,5.6,mandatory,TH David,Brijesh Sharma,RM Patidar,0,0,0,,,,,,,,,TH David,caught,,,,,SO Hetmyer,,,94
Royal Challengers Bengaluru,11,1,0.1,5.6,mandatory,RM Patidar,Ravi Bishnoi,R Shepherd,0,0,0,,,,,,,,,,,,,,,,,,94
Royal Challengers Bengaluru,11,2,0.1,5.6,mandatory,RM Patidar,Ravi Bishnoi,R Shepherd,1,0,1,,,,,,,,,,,,,,,,,,95
Royal Challengers Bengaluru,11,3,0.1,5.6,mandatory,R Shepherd,Ravi Bishnoi,RM Patidar,6,0,6,,,,,,,,,,,,,,,,,,101
Royal Challengers Bengaluru,11,4,0.1,5.6,mandatory,R Shepherd,Ravi Bishnoi,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,102
Royal Challengers Bengaluru,11,5,0.1,5.6,mandatory,RM Patidar,Ravi Bishnoi,R Shepherd,1,0,1,,,,,,,,,,,,,,,,,,103
Royal Challengers Bengaluru,11,6,0.1,5.6,mandatory,R Shepherd,Ravi Bishnoi,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,104
Royal Challengers Bengaluru,12,1,0.1,5.6,mandatory,R Shepherd,Brijesh Sharma,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,105
Royal Challengers Bengaluru,12,2,0.1,5.6,mandatory,RM Patidar,Brijesh Sharma,R Shepherd,4,0,4,,,,,,,,,,,,,,,,,,109
Royal Challengers Bengaluru,12,3,0.1,5.6,mandatory,RM Patidar,Brijesh Sharma,R Shepherd,1,0,1,,,,,,,,,,,,,,,,,,110
Royal Challengers Bengaluru,12,4,0.1,5.6,mandatory,R Shepherd,Brijesh Sharma,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,,114
Royal Challengers Bengaluru,12,5,0.1,5.6,mandatory,R Shepherd,Brijesh Sharma,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,,118
Royal Challengers Bengaluru,12,6,0.1,5.6,mandatory,R Shepherd,Brijesh Sharma,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,119
Royal Challengers Bengaluru,13,1,0.1,5.6,mandatory,R Shepherd,RA Jadeja,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,,121
Royal Challengers Bengaluru,13,2,0.1,5.6,mandatory,R Shepherd,RA Jadeja,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,122
Royal Challengers Bengaluru,13,3,0.1,5.6,mandatory,RM Patidar,RA Jadeja,R Shepherd,1,0,1,,,,,,,,,,,,,,,,,,123
Royal Challengers Bengaluru,13,4,0.1,5.6,mandatory,R Shepherd,RA Jadeja,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,124
Royal Challengers Bengaluru,13,5,0.1,5.6,mandatory,RM Patidar,RA Jadeja,R Shepherd,1,0,1,,,,,,,,,,,,,,,,,,125
Royal Challengers Bengaluru,13,6,0.1,5.6,mandatory,R Shepherd,RA Jadeja,RM Patidar,0,0,0,,,,,,,,,R Shepherd,caught,,,,,Brijesh Sharma,,,125
Royal Challengers Bengaluru,14,1,0.1,5.6,mandatory,RM Patidar,N Burger,VR Iyer,1,0,1,,,,,,,,,,,VR Iyer,D Padikkal,Royal Challengers Bengaluru,impact_player,,,,126
Royal Challengers Bengaluru,14,2,0.1,5.6,mandatory,VR Iyer,N Burger,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,127
Royal Challengers Bengaluru,14,3,0.1,5.6,mandatory,RM Patidar,N Burger,VR Iyer,6,0,6,,,,,,,,,,,,,,,,,,133
Royal Challengers Bengaluru,14,4,0.1,5.6,mandatory,RM Patidar,N Burger,VR Iyer,0,0,0,,,,,,,,,,,,,,,,,,133
Royal Challengers Bengaluru,14,5,0.1,5.6,mandatory,RM Patidar,N Burger,VR Iyer,6,0,6,,,,,,,,,,,,,,,,,,139
Royal Challengers Bengaluru,14,6,0.1,5.6,mandatory,RM Patidar,N Burger,VR Iyer,0,0,0,,,,,,,,,,,,,,,,,,139
Royal Challengers Bengaluru,15,1,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,140
Royal Challengers Bengaluru,15,2,0.1,5.6,mandatory,RM Patidar,Sandeep Sharma,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,,144
Royal Challengers Bengaluru,15,3,0.1,5.6,mandatory,RM Patidar,Sandeep Sharma,VR Iyer,2,0,2,,,,,,,,,,,,,,,,,,146
Royal Challengers Bengaluru,15,4,0.1,5.6,mandatory,RM Patidar,Sandeep Sharma,VR Iyer,0,0,0,,,,,,,,,,,,,,,,,,146
Royal Challengers Bengaluru,15,5,0.1,5.6,mandatory,RM Patidar,Sandeep Sharma,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,,150
Royal Challengers Bengaluru,15,6,0.1,5.6,mandatory,RM Patidar,Sandeep Sharma,VR Iyer,0,0,0,,,,,,,,,,,,,,,,,,150
Royal Challengers Bengaluru,16,1,0.1,5.6,mandatory,VR Iyer,Ravi Bishnoi,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,151
Royal Challengers Bengaluru,16,2,0.1,5.6,mandatory,RM Patidar,Ravi Bishnoi,VR Iyer,6,0,6,,,,,,,,,,,,,,,,,,157
Royal Challengers Bengaluru,16,3,0.1,5.6,mandatory,RM Patidar,Ravi Bishnoi,VR Iyer,6,0,6,,,,,,,,,,,,,,,,,,163
Royal Challengers Bengaluru,16,4,0.1,5.6,mandatory,RM Patidar,Ravi Bishnoi,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,164
Royal Challengers Bengaluru,16,5,0.1,5.6,mandatory,VR Iyer,Ravi Bishnoi,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,,164
Royal Challengers Bengaluru,16,6,0.1,5.6,mandatory,VR Iyer,Ravi Bishnoi,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,,166
Royal Challengers Bengaluru,17,1,0.1,5.6,mandatory,RM Patidar,Sandeep Sharma,VR Iyer,0,0,0,,,,,,,,,RM Patidar,caught,,,,,D Ferreira,,,166
Royal Challengers Bengaluru,17,2,0.1,5.6,mandatory,B Kumar,Sandeep Sharma,VR Iyer,0,1,1,1.0,,,,,,,,,,,,,,,,,167
Royal Challengers Bengaluru,17,3,0.1,5.6,mandatory,B Kumar,Sandeep Sharma,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,168
Royal Challengers Bengaluru,17,4,0.1,5.6,mandatory,VR Iyer,Sandeep Sharma,B Kumar,1,0,1,,,,,,,,,,,,,,,,,,169
