team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,7,1,0.1,5.6,mandatory,Dhruv Jurel,TH David,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,115
Rajasthan Royals,7,2,0.1,5.6,mandatory,Dhruv Jurel,TH David,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,116
Rajasthan Royals,7,3,0.1,5.6,mandatory,V Suryavanshi,TH David,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,116
Rajasthan Royals,7,4,0.1,5.6,mandatory,V Suryavanshi,TH David,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,122
Rajasthan Royals,7,5,0.1,5.6,mandatory,V Suryavanshi,TH David,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,128
Rajasthan Royals,7,6,0.1,5.6,mandatory,V Suryavanshi,TH David,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,129
Rajasthan Royals,8,1,0.1,5.6,mandatory,V Suryavanshi,KH Pandya,Dhruv Jurel,0,0,0,,,,,,,,,V Suryavanshi,caught,,,,,V Kohli,20.0,202.0,129
Rajasthan Royals,8,2,0.1,5.6,mandatory,SO Hetmyer,KH Pandya,Dhruv Jurel,0,0,0,,,,,,,,,SO Hetmyer,caught,,,,,JR Hazlewood,20.0,202.0,129
Rajasthan Royals,8,3,0.1,5.6,mandatory,R Parag,KH Pandya,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,130
Rajasthan Royals,8,4,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,R Parag,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,131
Rajasthan Royals,8,5,0.1,5.6,mandatory,R Parag,KH Pandya,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,131
Rajasthan Royals,8,6,0.1,5.6,mandatory,R Parag,KH Pandya,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,132
Rajasthan Royals,9,1,0.1,5.6,mandatory,R Parag,JR Hazlewood,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,133
Rajasthan Royals,9,2,0.1,5.6,mandatory,Dhruv Jurel,JR Hazlewood,R Parag,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,133
Rajasthan Royals,9,3,0.1,5.6,mandatory,Dhruv Jurel,JR Hazlewood,R Parag,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,134
Rajasthan Royals,9,4,0.1,5.6,mandatory,R Parag,JR Hazlewood,Dhruv Jurel,0,0,0,,,,,,,,,R Parag,caught,,,,,KH Pandya,20.0,202.0,134
Rajasthan Royals,9,5,0.1,5.6,mandatory,RA Jadeja,JR Hazlewood,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,136
Rajasthan Royals,9,6,0.1,5.6,mandatory,RA Jadeja,JR Hazlewood,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,137
Rajasthan Royals,10,1,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,139
Rajasthan Royals,10,2,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,139
Rajasthan Royals,10,3,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,139
Rajasthan Royals,10,4,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,140
Rajasthan Royals,10,5,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,140
Rajasthan Royals,10,6,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,141
Rajasthan Royals,11,1,0.1,5.6,mandatory,Dhruv Jurel,B Kumar,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,142
Rajasthan Royals,11,2,0.1,5.6,mandatory,RA Jadeja,B Kumar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,142
Rajasthan Royals,11,3,0.1,5.6,mandatory,RA Jadeja,B Kumar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,142
Rajasthan Royals,11,4,0.1,5.6,mandatory,RA Jadeja,B Kumar,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,144
Rajasthan Royals,11,5,0.1,5.6,mandatory,RA Jadeja,B Kumar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,144
Rajasthan Royals,11,6,0.1,5.6,mandatory,RA Jadeja,B Kumar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,145
Rajasthan Royals,12,1,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,149
Rajasthan Royals,12,2,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,150
Rajasthan Royals,12,3,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,RA Jadeja,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,152
Rajasthan Royals,12,4,0.1,5.6,mandatory,Dhruv Jurel,KH Pandya,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,153
Rajasthan Royals,12,5,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,153
Rajasthan Royals,12,6,0.1,5.6,mandatory,RA Jadeja,KH Pandya,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,154
Rajasthan Royals,13,1,0.1,5.6,mandatory,RA Jadeja,JR Hazlewood,Dhruv Jurel,0,1,1,,,1.0,Royal Challengers Bengaluru,HDPK Dharmasena,RA Jadeja,struck down,wicket,,,,,,,,20.0,202.0,155
Rajasthan Royals,13,2,0.1,5.6,mandatory,Dhruv Jurel,JR Hazlewood,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,159
Rajasthan Royals,13,3,0.1,5.6,mandatory,Dhruv Jurel,JR Hazlewood,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,160
Rajasthan Royals,13,4,0.1,5.6,mandatory,RA Jadeja,JR Hazlewood,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,161
Rajasthan Royals,13,5,0.1,5.6,mandatory,Dhruv Jurel,JR Hazlewood,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,162
Rajasthan Royals,13,6,0.1,5.6,mandatory,RA Jadeja,JR Hazlewood,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,163
Rajasthan Royals,14,1,0.1,5.6,mandatory,RA Jadeja,Abhinandan Singh,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,164
Rajasthan Royals,14,2,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,168
Rajasthan Royals,14,3,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,RA Jadeja,0,1,1,1.0,,,,,,,,,,,,,,,20.0,202.0,169
Rajasthan Royals,14,4,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,173
Rajasthan Royals,14,5,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,174
Rajasthan Royals,14,6,0.1,5.6,mandatory,RA Jadeja,Abhinandan Singh,Dhruv Jurel,0,1,1,1.0,,,,,,,,,,,,,,,20.0,202.0,175
Rajasthan Royals,14,7,0.1,5.6,mandatory,RA Jadeja,Abhinandan Singh,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,176
Rajasthan Royals,14,8,0.1,5.6,mandatory,Dhruv Jurel,Abhinandan Singh,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,177
Rajasthan Royals,15,1,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,178
Rajasthan Royals,15,2,0.1,5.6,mandatory,RA Jadeja,R Shepherd,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,179
Rajasthan Royals,15,3,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,180
Rajasthan Royals,15,4,0.1,5.6,mandatory,RA Jadeja,R Shepherd,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,181
Rajasthan Royals,15,5,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,183
Rajasthan Royals,15,6,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,184
Rajasthan Royals,16,1,0.1,5.6,mandatory,Dhruv Jurel,B Kumar,RA Jadeja,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,186
Rajasthan Royals,16,2,0.1,5.6,mandatory,Dhruv Jurel,B Kumar,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,187
Rajasthan Royals,16,3,0.1,5.6,mandatory,RA Jadeja,B Kumar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,188
Rajasthan Royals,16,4,0.1,5.6,mandatory,Dhruv Jurel,B Kumar,RA Jadeja,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,190
Rajasthan Royals,16,5,0.1,5.6,mandatory,Dhruv Jurel,B Kumar,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,190
Rajasthan Royals,16,6,0.1,5.6,mandatory,Dhruv Jurel,B Kumar,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,191
Rajasthan Royals,17,1,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,192
Rajasthan Royals,17,2,0.1,5.6,mandatory,RA Jadeja,R Shepherd,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,193
Rajasthan Royals,17,3,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,194
Rajasthan Royals,17,4,0.1,5.6,mandatory,RA Jadeja,R Shepherd,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,195
Rajasthan Royals,17,5,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,201
Rajasthan Royals,17,6,0.1,5.6,mandatory,Dhruv Jurel,R Shepherd,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,202
