team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,noballs,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Mumbai Indians,15,4,0.1,5.8,mandatory,Krish Bhagat,Gurjapneet Singh,SN Thakur,1,0,1,,,,,,,,,,,20.0,208.0,98
Mumbai Indians,15,5,0.1,5.8,mandatory,SN Thakur,Gurjapneet Singh,Krish Bhagat,1,0,1,,,,,,,,,,,20.0,208.0,99
Mumbai Indians,15,6,0.1,5.8,mandatory,Krish Bhagat,Gurjapneet Singh,SN Thakur,0,0,0,,,,,,,,,,,20.0,208.0,99
Mumbai Indians,16,1,0.1,5.8,mandatory,SN Thakur,J Overton,Krish Bhagat,0,0,0,,,,,,,,,,,20.0,208.0,99
Mumbai Indians,16,2,0.1,5.8,mandatory,SN Thakur,J Overton,Krish Bhagat,1,0,1,,,,,,,,,,,20.0,208.0,100
Mumbai Indians,16,3,0.1,5.8,mandatory,Krish Bhagat,J Overton,SN Thakur,0,0,0,,,,,,,,,,,20.0,208.0,100
Mumbai Indians,16,4,0.1,5.8,mandatory,Krish Bhagat,J Overton,SN Thakur,0,0,0,,,,,,,,,,,20.0,208.0,100
Mumbai Indians,16,5,0.1,5.8,mandatory,Krish Bhagat,J Overton,SN Thakur,0,0,0,,,,,,,,,,,20.0,208.0,100
Mumbai Indians,16,6,0.1,5.8,mandatory,Krish Bhagat,J Overton,SN Thakur,0,0,0,,,,Krish Bhagat,caught,,,,,Gurjapneet Singh,20.0,208.0,100
Mumbai Indians,17,1,0.1,5.8,mandatory,SN Thakur,A Kamboj,Ashwani Kumar,0,0,0,,,,SN Thakur,caught,,,,,D Brevis,20.0,208.0,100
Mumbai Indians,17,2,0.1,5.8,mandatory,JJ Bumrah,A Kamboj,Ashwani Kumar,0,1,1,,,1.0,,,,,,,,20.0,208.0,101
Mumbai Indians,17,3,0.1,5.8,mandatory,JJ Bumrah,A Kamboj,Ashwani Kumar,1,0,1,,,,,,,,,,,20.0,208.0,102
Mumbai Indians,17,4,0.1,5.8,mandatory,Ashwani Kumar,A Kamboj,JJ Bumrah,0,0,0,,,,,,,,,,,20.0,208.0,102
Mumbai Indians,17,5,0.1,5.8,mandatory,Ashwani Kumar,A Kamboj,JJ Bumrah,0,0,0,,,,,,,,,,,20.0,208.0,102
Mumbai Indians,17,6,0.1,5.8,mandatory,Ashwani Kumar,A Kamboj,JJ Bumrah,0,0,0,,,,,,,,,,,20.0,208.0,102
Mumbai Indians,17,7,0.1,5.8,mandatory,Ashwani Kumar,A Kamboj,JJ Bumrah,0,0,0,,,,,,,,,,,20.0,208.0,102
Mumbai Indians,18,1,0.1,5.8,mandatory,JJ Bumrah,Gurjapneet Singh,Ashwani Kumar,0,0,0,,,,,,,,,,,20.0,208.0,102
Mumbai Indians,18,2,0.1,5.8,mandatory,JJ Bumrah,Gurjapneet Singh,Ashwani Kumar,1,0,1,,,,,,,,,,,20.0,208.0,103
Mumbai Indians,18,3,0.1,5.8,mandatory,Ashwani Kumar,Gurjapneet Singh,JJ Bumrah,0,0,0,,,,,,,,,,,20.0,208.0,103
Mumbai Indians,18,4,0.1,5.8,mandatory,Ashwani Kumar,Gurjapneet Singh,JJ Bumrah,1,0,1,,,,,,,,,,,20.0,208.0,104
Mumbai Indians,18,5,0.1,5.8,mandatory,JJ Bumrah,Gurjapneet Singh,Ashwani Kumar,0,0,0,,,,,,,,,,,20.0,208.0,104
Mumbai Indians,18,6,0.1,5.8,mandatory,JJ Bumrah,Gurjapneet Singh,Ashwani Kumar,0,0,0,,,,JJ Bumrah,caught,,,,,SV Samson,20.0,208.0,104
