team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,7,2,0.1,5.6,mandatory,Dhruv Jurel,YS Chahal,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,92
Rajasthan Royals,7,3,0.1,5.6,mandatory,YBK Jaiswal,YS Chahal,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,93
Rajasthan Royals,7,4,0.1,5.6,mandatory,Dhruv Jurel,YS Chahal,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,93
Rajasthan Royals,7,5,0.1,5.6,mandatory,Dhruv Jurel,YS Chahal,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,94
Rajasthan Royals,7,6,0.1,5.6,mandatory,YBK Jaiswal,YS Chahal,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,95
Rajasthan Royals,8,1,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,96
Rajasthan Royals,8,2,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,97
Rajasthan Royals,8,3,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,98
Rajasthan Royals,8,4,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,98
Rajasthan Royals,8,5,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,99
Rajasthan Royals,8,6,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,103
Rajasthan Royals,9,1,0.1,5.6,mandatory,Dhruv Jurel,YS Chahal,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,103
Rajasthan Royals,9,2,0.1,5.6,mandatory,Dhruv Jurel,YS Chahal,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,104
Rajasthan Royals,9,3,0.1,5.6,mandatory,YBK Jaiswal,YS Chahal,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,105
Rajasthan Royals,9,4,0.1,5.6,mandatory,Dhruv Jurel,YS Chahal,YBK Jaiswal,0,0,0,,,,,,,,,,Dhruv Jurel,caught,,,,,M Jansen,20.0,223.0,105
Rajasthan Royals,9,5,0.1,5.6,mandatory,R Parag,YS Chahal,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,105
Rajasthan Royals,9,6,0.1,5.6,mandatory,R Parag,YS Chahal,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,109
Rajasthan Royals,10,1,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,110
Rajasthan Royals,10,2,0.1,5.6,mandatory,R Parag,Harpreet Brar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,111
Rajasthan Royals,10,3,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,R Parag,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,111
Rajasthan Royals,10,4,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,112
Rajasthan Royals,10,5,0.1,5.6,mandatory,R Parag,Harpreet Brar,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,118
Rajasthan Royals,10,6,0.1,5.6,mandatory,R Parag,Harpreet Brar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,118
Rajasthan Royals,11,1,0.1,5.6,mandatory,YBK Jaiswal,YS Chahal,R Parag,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,122
Rajasthan Royals,11,2,0.1,5.6,mandatory,YBK Jaiswal,YS Chahal,R Parag,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,223.0,123
Rajasthan Royals,11,3,0.1,5.6,mandatory,YBK Jaiswal,YS Chahal,R Parag,0,0,0,,,,,,,,,,YBK Jaiswal,caught,,,,,Suryansh Shedge,20.0,223.0,123
Rajasthan Royals,11,4,0.1,5.6,mandatory,D Ferreira,YS Chahal,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,124
Rajasthan Royals,11,5,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,2,0,2,,,,,,,,,,,,,,,,,20.0,223.0,126
Rajasthan Royals,11,6,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,1,1,2,,,,,,,,,1.0,,,,,,,,20.0,223.0,128
Rajasthan Royals,11,7,0.1,5.6,mandatory,D Ferreira,YS Chahal,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,129
Rajasthan Royals,11,8,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,2,0,2,,,,,,,,,,,,,,,,,20.0,223.0,131
Rajasthan Royals,12,1,0.1,5.6,mandatory,D Ferreira,M Jansen,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,132
Rajasthan Royals,12,2,0.1,5.6,mandatory,R Parag,M Jansen,D Ferreira,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,132
Rajasthan Royals,12,3,0.1,5.6,mandatory,R Parag,M Jansen,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,133
Rajasthan Royals,12,4,0.1,5.6,mandatory,D Ferreira,M Jansen,R Parag,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,137
Rajasthan Royals,12,5,0.1,5.6,mandatory,D Ferreira,M Jansen,R Parag,0,1,1,,,,,,,,1.0,,,,,,,,,20.0,223.0,138
Rajasthan Royals,12,6,0.1,5.6,mandatory,R Parag,M Jansen,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,139
Rajasthan Royals,13,1,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,145
Rajasthan Royals,13,2,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,149
Rajasthan Royals,13,3,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,149
Rajasthan Royals,13,4,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,150
Rajasthan Royals,13,5,0.1,5.6,mandatory,D Ferreira,YS Chahal,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,151
Rajasthan Royals,13,6,0.1,5.6,mandatory,R Parag,YS Chahal,D Ferreira,0,0,0,,,,,,,,,,R Parag,caught,,,,,Suryansh Shedge,20.0,223.0,151
Rajasthan Royals,14,1,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,0,0,0,,,,,,,,,,,,SB Dubey,Yash Raj Punja,Rajasthan Royals,impact_player,,20.0,223.0,151
Rajasthan Royals,14,2,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,155
Rajasthan Royals,14,3,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,156
Rajasthan Royals,14,4,0.1,5.6,mandatory,SB Dubey,Arshdeep Singh,D Ferreira,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,160
Rajasthan Royals,14,5,0.1,5.6,mandatory,SB Dubey,Arshdeep Singh,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,161
Rajasthan Royals,14,6,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,165
Rajasthan Royals,15,1,0.1,5.6,mandatory,SB Dubey,M Jansen,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,166
Rajasthan Royals,15,2,0.1,5.6,mandatory,D Ferreira,M Jansen,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,167
Rajasthan Royals,15,3,0.1,5.6,mandatory,SB Dubey,M Jansen,D Ferreira,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,173
Rajasthan Royals,15,4,0.1,5.6,mandatory,SB Dubey,M Jansen,D Ferreira,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,177
Rajasthan Royals,15,5,0.1,5.6,mandatory,SB Dubey,M Jansen,D Ferreira,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,223.0,178
Rajasthan Royals,15,6,0.1,5.6,mandatory,SB Dubey,M Jansen,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,179
Rajasthan Royals,15,7,0.1,5.6,mandatory,D Ferreira,M Jansen,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,180
Rajasthan Royals,16,1,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,180
Rajasthan Royals,16,2,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,223.0,181
Rajasthan Royals,16,3,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,181
Rajasthan Royals,16,4,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,181
Rajasthan Royals,16,5,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,182
Rajasthan Royals,16,6,0.1,5.6,mandatory,SB Dubey,LH Ferguson,D Ferreira,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,186
Rajasthan Royals,16,7,0.1,5.6,mandatory,SB Dubey,LH Ferguson,D Ferreira,2,0,2,,,,,,,,,,,,,,,,,20.0,223.0,188
Rajasthan Royals,17,1,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,194
Rajasthan Royals,17,2,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,198
Rajasthan Royals,17,3,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,198
Rajasthan Royals,17,4,0.1,5.6,mandatory,D Ferreira,Arshdeep Singh,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,199
Rajasthan Royals,17,5,0.1,5.6,mandatory,SB Dubey,Arshdeep Singh,D Ferreira,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,199
Rajasthan Royals,17,6,0.1,5.6,mandatory,SB Dubey,Arshdeep Singh,D Ferreira,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,205
Rajasthan Royals,18,1,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,209
Rajasthan Royals,18,2,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,215
Rajasthan Royals,18,3,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,215
Rajasthan Royals,18,4,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,219
Rajasthan Royals,18,5,0.1,5.6,mandatory,D Ferreira,LH Ferguson,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,220
Rajasthan Royals,18,6,0.1,5.6,mandatory,SB Dubey,LH Ferguson,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,221
Rajasthan Royals,19,1,0.1,5.6,mandatory,SB Dubey,M Jansen,D Ferreira,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,222
Rajasthan Royals,19,2,0.1,5.6,mandatory,D Ferreira,M Jansen,SB Dubey,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,228
