team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,3,2,0.1,5.6,mandatory,VR Iyer,Shivang Kumar,V Kohli,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,44
Royal Challengers Bengaluru,3,3,0.1,5.6,mandatory,VR Iyer,Shivang Kumar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,44
Royal Challengers Bengaluru,3,4,0.1,5.6,mandatory,VR Iyer,Shivang Kumar,V Kohli,6,0,6,,,,,,,,,,,,,,,,,20.0,256.0,50
Royal Challengers Bengaluru,3,5,0.1,5.6,mandatory,VR Iyer,Shivang Kumar,V Kohli,6,0,6,,,,,,,,,,,,,,,,,20.0,256.0,56
Royal Challengers Bengaluru,3,6,0.1,5.6,mandatory,VR Iyer,Shivang Kumar,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,256.0,57
Royal Challengers Bengaluru,3,7,0.1,5.6,mandatory,VR Iyer,Shivang Kumar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,57
Royal Challengers Bengaluru,4,1,0.1,5.6,mandatory,V Kohli,E Malinga,VR Iyer,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,59
Royal Challengers Bengaluru,4,2,0.1,5.6,mandatory,V Kohli,E Malinga,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,60
Royal Challengers Bengaluru,4,3,0.1,5.6,mandatory,VR Iyer,E Malinga,V Kohli,0,0,0,,,,,,,,,VR Iyer,caught,,,,,Abhishek Sharma,,20.0,256.0,60
Royal Challengers Bengaluru,4,4,0.1,5.6,mandatory,D Padikkal,E Malinga,V Kohli,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,64
Royal Challengers Bengaluru,4,5,0.1,5.6,mandatory,D Padikkal,E Malinga,V Kohli,6,0,6,,,,,,,,,,,,,,,,,20.0,256.0,70
Royal Challengers Bengaluru,4,6,0.1,5.6,mandatory,D Padikkal,E Malinga,V Kohli,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,71
Royal Challengers Bengaluru,5,1,0.1,5.6,mandatory,D Padikkal,Sakib Hussain,V Kohli,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,72
Royal Challengers Bengaluru,5,2,0.1,5.6,mandatory,V Kohli,Sakib Hussain,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,73
Royal Challengers Bengaluru,5,3,0.1,5.6,mandatory,D Padikkal,Sakib Hussain,V Kohli,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,74
Royal Challengers Bengaluru,5,4,0.1,5.6,mandatory,V Kohli,Sakib Hussain,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,74
Royal Challengers Bengaluru,5,5,0.1,5.6,mandatory,V Kohli,Sakib Hussain,D Padikkal,0,0,0,,,,,,,,,V Kohli,caught,,,,,R Smaran,,20.0,256.0,74
Royal Challengers Bengaluru,5,6,0.1,5.6,mandatory,RM Patidar,Sakib Hussain,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,75
Royal Challengers Bengaluru,6,1,0.1,5.6,mandatory,RM Patidar,HV Patel,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,79
Royal Challengers Bengaluru,6,2,0.1,5.6,mandatory,RM Patidar,HV Patel,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,80
Royal Challengers Bengaluru,6,3,0.1,5.6,mandatory,D Padikkal,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,81
Royal Challengers Bengaluru,6,4,0.1,5.6,mandatory,RM Patidar,HV Patel,D Padikkal,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,83
Royal Challengers Bengaluru,6,5,0.1,5.6,mandatory,RM Patidar,HV Patel,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,84
Royal Challengers Bengaluru,6,6,0.1,5.6,mandatory,D Padikkal,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,85
Royal Challengers Bengaluru,7,1,0.1,5.6,mandatory,D Padikkal,Sakib Hussain,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,89
Royal Challengers Bengaluru,7,2,0.1,5.6,mandatory,D Padikkal,Sakib Hussain,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,89
Royal Challengers Bengaluru,7,3,0.1,5.6,mandatory,D Padikkal,Sakib Hussain,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,89
Royal Challengers Bengaluru,7,4,0.1,5.6,mandatory,D Padikkal,Sakib Hussain,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,90
Royal Challengers Bengaluru,7,5,0.1,5.6,mandatory,RM Patidar,Sakib Hussain,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,91
Royal Challengers Bengaluru,7,6,0.1,5.6,mandatory,D Padikkal,Sakib Hussain,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,91
Royal Challengers Bengaluru,8,1,0.1,5.6,mandatory,RM Patidar,E Malinga,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,92
Royal Challengers Bengaluru,8,2,0.1,5.6,mandatory,D Padikkal,E Malinga,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,93
Royal Challengers Bengaluru,8,3,0.1,5.6,mandatory,RM Patidar,E Malinga,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,93
Royal Challengers Bengaluru,8,4,0.1,5.6,mandatory,RM Patidar,E Malinga,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,94
Royal Challengers Bengaluru,8,5,0.1,5.6,mandatory,D Padikkal,E Malinga,RM Patidar,0,0,0,,,,,,,,,D Padikkal,caught,,,,,Abhishek Sharma,,20.0,256.0,94
Royal Challengers Bengaluru,8,6,0.1,5.6,mandatory,KH Pandya,E Malinga,RM Patidar,0,0,0,,Sunrisers Hyderabad,Amit Rana,KH Pandya,struck down,wicket,,,,,,,,,,,20.0,256.0,94
Royal Challengers Bengaluru,9,1,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,95
Royal Challengers Bengaluru,9,2,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,96
Royal Challengers Bengaluru,9,3,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,97
Royal Challengers Bengaluru,9,4,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,98
Royal Challengers Bengaluru,9,5,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,99
Royal Challengers Bengaluru,9,6,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,100
Royal Challengers Bengaluru,10,1,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,104
Royal Challengers Bengaluru,10,2,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,0,2,2,2.0,,,,,,,,,,,,,,,,20.0,256.0,106
Royal Challengers Bengaluru,10,3,0.1,5.6,mandatory,RM Patidar,PJ Cummins,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,107
Royal Challengers Bengaluru,10,4,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,107
Royal Challengers Bengaluru,10,5,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,108
Royal Challengers Bengaluru,10,6,0.1,5.6,mandatory,RM Patidar,PJ Cummins,KH Pandya,1,1,2,,,,,,,1.0,,,,,,,,,,20.0,256.0,110
Royal Challengers Bengaluru,10,7,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,111
Royal Challengers Bengaluru,10,8,0.1,5.6,mandatory,RM Patidar,PJ Cummins,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,112
Royal Challengers Bengaluru,11,1,0.1,5.6,mandatory,RM Patidar,Shivang Kumar,KH Pandya,0,0,0,,Sunrisers Hyderabad,J Madanagopal,RM Patidar,struck down,wicket,,,,,,,,,,,20.0,256.0,112
Royal Challengers Bengaluru,11,2,0.1,5.6,mandatory,RM Patidar,Shivang Kumar,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,113
Royal Challengers Bengaluru,11,3,0.1,5.6,mandatory,KH Pandya,Shivang Kumar,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,115
Royal Challengers Bengaluru,11,4,0.1,5.6,mandatory,KH Pandya,Shivang Kumar,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,116
Royal Challengers Bengaluru,11,5,0.1,5.6,mandatory,RM Patidar,Shivang Kumar,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,117
Royal Challengers Bengaluru,11,6,0.1,5.6,mandatory,KH Pandya,Shivang Kumar,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,121
Royal Challengers Bengaluru,12,1,0.1,5.6,mandatory,RM Patidar,Sakib Hussain,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,122
Royal Challengers Bengaluru,12,2,0.1,5.6,mandatory,KH Pandya,Sakib Hussain,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,122
Royal Challengers Bengaluru,12,3,0.1,5.6,mandatory,KH Pandya,Sakib Hussain,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,126
Royal Challengers Bengaluru,12,4,0.1,5.6,mandatory,KH Pandya,Sakib Hussain,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,126
Royal Challengers Bengaluru,12,5,0.1,5.6,mandatory,KH Pandya,Sakib Hussain,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,127
Royal Challengers Bengaluru,12,6,0.1,5.6,mandatory,RM Patidar,Sakib Hussain,KH Pandya,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,127
Royal Challengers Bengaluru,13,1,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,131
Royal Challengers Bengaluru,13,2,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,133
Royal Challengers Bengaluru,13,3,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,134
Royal Challengers Bengaluru,13,4,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,134
Royal Challengers Bengaluru,13,5,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,138
Royal Challengers Bengaluru,13,6,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,139
Royal Challengers Bengaluru,14,1,0.1,5.6,mandatory,RM Patidar,Nithish Kumar Reddy,KH Pandya,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,143
Royal Challengers Bengaluru,14,2,0.1,5.6,mandatory,RM Patidar,Nithish Kumar Reddy,KH Pandya,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,256.0,144
Royal Challengers Bengaluru,14,3,0.1,5.6,mandatory,RM Patidar,Nithish Kumar Reddy,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,145
Royal Challengers Bengaluru,14,4,0.1,5.6,mandatory,KH Pandya,Nithish Kumar Reddy,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,146
Royal Challengers Bengaluru,14,5,0.1,5.6,mandatory,RM Patidar,Nithish Kumar Reddy,KH Pandya,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,146
Royal Challengers Bengaluru,14,6,0.1,5.6,mandatory,RM Patidar,Nithish Kumar Reddy,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,147
Royal Challengers Bengaluru,14,7,0.1,5.6,mandatory,KH Pandya,Nithish Kumar Reddy,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,149
Royal Challengers Bengaluru,15,1,0.1,5.6,mandatory,RM Patidar,E Malinga,KH Pandya,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,149
Royal Challengers Bengaluru,15,2,0.1,5.6,mandatory,RM Patidar,E Malinga,KH Pandya,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,151
Royal Challengers Bengaluru,15,3,0.1,5.6,mandatory,RM Patidar,E Malinga,KH Pandya,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,151
Royal Challengers Bengaluru,15,4,0.1,5.6,mandatory,RM Patidar,E Malinga,KH Pandya,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,155
Royal Challengers Bengaluru,15,5,0.1,5.6,mandatory,RM Patidar,E Malinga,KH Pandya,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,159
Royal Challengers Bengaluru,15,6,0.1,5.6,mandatory,RM Patidar,E Malinga,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,160
Royal Challengers Bengaluru,16,1,0.1,5.6,mandatory,RM Patidar,PJ Cummins,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,161
Royal Challengers Bengaluru,16,2,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,161
Royal Challengers Bengaluru,16,3,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,162
Royal Challengers Bengaluru,16,4,0.1,5.6,mandatory,RM Patidar,PJ Cummins,KH Pandya,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,166
Royal Challengers Bengaluru,16,5,0.1,5.6,mandatory,RM Patidar,PJ Cummins,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,167
Royal Challengers Bengaluru,16,6,0.1,5.6,mandatory,KH Pandya,PJ Cummins,RM Patidar,0,1,1,,,,,,,,1.0,,,,,,,,,20.0,256.0,168
Royal Challengers Bengaluru,17,1,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,169
Royal Challengers Bengaluru,17,2,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,170
Royal Challengers Bengaluru,17,3,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,170
Royal Challengers Bengaluru,17,4,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,170
Royal Challengers Bengaluru,17,5,0.1,5.6,mandatory,KH Pandya,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,171
Royal Challengers Bengaluru,17,6,0.1,5.6,mandatory,RM Patidar,HV Patel,KH Pandya,6,0,6,,,,,,,,,,,,,,,,,20.0,256.0,177
Royal Challengers Bengaluru,18,1,0.1,5.6,mandatory,KH Pandya,TM Head,RM Patidar,0,1,1,,,,,,,,1.0,,,,,,,,,20.0,256.0,178
Royal Challengers Bengaluru,18,2,0.1,5.6,mandatory,RM Patidar,TM Head,KH Pandya,0,0,0,,,,,,,,,RM Patidar,caught,,,,,R Smaran,,20.0,256.0,178
Royal Challengers Bengaluru,18,3,0.1,5.6,mandatory,TH David,TM Head,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,179
Royal Challengers Bengaluru,18,4,0.1,5.6,mandatory,KH Pandya,TM Head,TH David,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,183
Royal Challengers Bengaluru,18,5,0.1,5.6,mandatory,KH Pandya,TM Head,TH David,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,184
Royal Challengers Bengaluru,18,6,0.1,5.6,mandatory,TH David,TM Head,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,185
Royal Challengers Bengaluru,19,1,0.1,5.6,mandatory,TH David,Sakib Hussain,KH Pandya,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,187
Royal Challengers Bengaluru,19,2,0.1,5.6,mandatory,TH David,Sakib Hussain,KH Pandya,0,0,0,,,,,,,,,,,,,,,,,20.0,256.0,187
Royal Challengers Bengaluru,19,3,0.1,5.6,mandatory,TH David,Sakib Hussain,KH Pandya,6,0,6,,,,,,,,,,,,,,,,,20.0,256.0,193
Royal Challengers Bengaluru,19,4,0.1,5.6,mandatory,TH David,Sakib Hussain,KH Pandya,4,0,4,,,,,,,,,,,,,,,,,20.0,256.0,197
Royal Challengers Bengaluru,19,5,0.1,5.6,mandatory,TH David,Sakib Hussain,KH Pandya,1,0,1,,,,,,,,,,,,,,,,,20.0,256.0,198
Royal Challengers Bengaluru,19,6,0.1,5.6,mandatory,KH Pandya,Sakib Hussain,TH David,2,0,2,,,,,,,,,,,,,,,,,20.0,256.0,200
