team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,5,1,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,52
Sunrisers Hyderabad,5,2,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,53
Sunrisers Hyderabad,5,3,0.1,5.6,mandatory,Abhishek Sharma,Rasikh Salam,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,,57
Sunrisers Hyderabad,5,4,0.1,5.6,mandatory,Abhishek Sharma,Rasikh Salam,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,58
Sunrisers Hyderabad,5,5,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,62
Sunrisers Hyderabad,5,6,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,63
Sunrisers Hyderabad,6,1,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,63
Sunrisers Hyderabad,6,2,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,64
Sunrisers Hyderabad,6,3,0.1,5.6,mandatory,Abhishek Sharma,Suyash Sharma,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,70
Sunrisers Hyderabad,6,4,0.1,5.6,mandatory,Abhishek Sharma,Suyash Sharma,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,76
Sunrisers Hyderabad,6,5,0.1,5.6,mandatory,Abhishek Sharma,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,77
Sunrisers Hyderabad,6,6,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,77
Sunrisers Hyderabad,7,1,0.1,5.6,mandatory,Abhishek Sharma,R Shepherd,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,83
Sunrisers Hyderabad,7,2,0.1,5.6,mandatory,Abhishek Sharma,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,84
Sunrisers Hyderabad,7,3,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,84
Sunrisers Hyderabad,7,4,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,Abhishek Sharma,0,1,1,1.0,,,,,,,,,,,,,,,,,,85
Sunrisers Hyderabad,7,5,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,86
Sunrisers Hyderabad,7,6,0.1,5.6,mandatory,Abhishek Sharma,R Shepherd,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,92
Sunrisers Hyderabad,7,7,0.1,5.6,mandatory,Abhishek Sharma,R Shepherd,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,,96
Sunrisers Hyderabad,8,1,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,97
Sunrisers Hyderabad,8,2,0.1,5.6,mandatory,Abhishek Sharma,Suyash Sharma,Ishan Kishan,0,0,0,,,,,,,,,Abhishek Sharma,caught,,,,,JM Cox,True,,,97
Sunrisers Hyderabad,8,3,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,97
Sunrisers Hyderabad,8,4,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,98
Sunrisers Hyderabad,8,5,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,102
Sunrisers Hyderabad,8,6,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,103
Sunrisers Hyderabad,9,1,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,,105
Sunrisers Hyderabad,9,2,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,,107
Sunrisers Hyderabad,9,3,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,,,,,,108
Sunrisers Hyderabad,9,4,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,,110
Sunrisers Hyderabad,9,5,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,114
Sunrisers Hyderabad,9,6,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,115
Sunrisers Hyderabad,9,7,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,116
Sunrisers Hyderabad,10,1,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,117
Sunrisers Hyderabad,10,2,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,117
Sunrisers Hyderabad,10,3,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,,123
Sunrisers Hyderabad,10,4,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,124
Sunrisers Hyderabad,10,5,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,124
Sunrisers Hyderabad,10,6,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,124
Sunrisers Hyderabad,11,1,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,125
Sunrisers Hyderabad,11,2,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,125
Sunrisers Hyderabad,11,3,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,126
Sunrisers Hyderabad,11,4,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,127
Sunrisers Hyderabad,11,5,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,128
Sunrisers Hyderabad,11,6,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,129
Sunrisers Hyderabad,12,1,0.1,5.6,mandatory,Ishan Kishan,JR Hazlewood,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,,,,,,130
Sunrisers Hyderabad,12,2,0.1,5.6,mandatory,Ishan Kishan,JR Hazlewood,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,131
Sunrisers Hyderabad,12,3,0.1,5.6,mandatory,H Klaasen,JR Hazlewood,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,137
Sunrisers Hyderabad,12,4,0.1,5.6,mandatory,H Klaasen,JR Hazlewood,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,,,,,,138
Sunrisers Hyderabad,12,5,0.1,5.6,mandatory,H Klaasen,JR Hazlewood,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,,,,,,139
Sunrisers Hyderabad,12,6,0.1,5.6,mandatory,H Klaasen,JR Hazlewood,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,145
Sunrisers Hyderabad,12,7,0.1,5.6,mandatory,H Klaasen,JR Hazlewood,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,12,8,0.1,5.6,mandatory,H Klaasen,JR Hazlewood,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,155
Sunrisers Hyderabad,12,9,0.1,5.6,mandatory,H Klaasen,JR Hazlewood,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,156
Sunrisers Hyderabad,13,1,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,162
Sunrisers Hyderabad,13,2,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,162
Sunrisers Hyderabad,13,3,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,,,,,,163
Sunrisers Hyderabad,13,4,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,164
Sunrisers Hyderabad,13,5,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,,170
Sunrisers Hyderabad,13,6,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,,170
