team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,13,2,0.1,5.7,mandatory,A Raghuvanshi,HV Patel,AM Rahane,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,123
Kolkata Knight Riders,13,3,0.1,5.7,mandatory,AM Rahane,HV Patel,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,123
Kolkata Knight Riders,13,4,0.1,5.7,mandatory,AM Rahane,HV Patel,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,20.0,166.0,127
Kolkata Knight Riders,13,5,0.1,5.7,mandatory,AM Rahane,HV Patel,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,128
Kolkata Knight Riders,13,6,0.1,5.7,mandatory,A Raghuvanshi,HV Patel,AM Rahane,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,129
Kolkata Knight Riders,14,1,0.1,5.7,mandatory,A Raghuvanshi,Sakib Hussain,AM Rahane,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,130
Kolkata Knight Riders,14,2,0.1,5.7,mandatory,AM Rahane,Sakib Hussain,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,130
Kolkata Knight Riders,14,3,0.1,5.7,mandatory,AM Rahane,Sakib Hussain,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,130
Kolkata Knight Riders,14,4,0.1,5.7,mandatory,AM Rahane,Sakib Hussain,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,131
Kolkata Knight Riders,14,5,0.1,5.7,mandatory,A Raghuvanshi,Sakib Hussain,AM Rahane,0,1,1,1.0,,,,,,,,,,,,,,,20.0,166.0,132
Kolkata Knight Riders,14,6,0.1,5.7,mandatory,A Raghuvanshi,Sakib Hussain,AM Rahane,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,133
Kolkata Knight Riders,14,7,0.1,5.7,mandatory,AM Rahane,Sakib Hussain,A Raghuvanshi,0,0,0,,,,,,,,,AM Rahane,caught,,,,,R Smaran,20.0,166.0,133
Kolkata Knight Riders,15,1,0.1,5.7,mandatory,A Raghuvanshi,PJ Cummins,RK Singh,0,1,1,,,,,,,,1.0,,,,,,,,20.0,166.0,134
Kolkata Knight Riders,15,2,0.1,5.7,mandatory,RK Singh,PJ Cummins,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,135
Kolkata Knight Riders,15,3,0.1,5.7,mandatory,A Raghuvanshi,PJ Cummins,RK Singh,4,0,4,,,,,,,,,,,,,,,,20.0,166.0,139
Kolkata Knight Riders,15,4,0.1,5.7,mandatory,A Raghuvanshi,PJ Cummins,RK Singh,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,140
Kolkata Knight Riders,15,5,0.1,5.7,mandatory,RK Singh,PJ Cummins,A Raghuvanshi,0,2,2,2.0,,,,,,,,,,,,,,,20.0,166.0,142
Kolkata Knight Riders,15,6,0.1,5.7,mandatory,A Raghuvanshi,PJ Cummins,RK Singh,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,143
Kolkata Knight Riders,15,7,0.1,5.7,mandatory,RK Singh,PJ Cummins,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,143
Kolkata Knight Riders,16,1,0.1,5.7,mandatory,A Raghuvanshi,Shivang Kumar,RK Singh,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,144
Kolkata Knight Riders,16,2,0.1,5.7,mandatory,RK Singh,Shivang Kumar,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,20.0,166.0,150
Kolkata Knight Riders,16,3,0.1,5.7,mandatory,RK Singh,Shivang Kumar,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,151
Kolkata Knight Riders,16,4,0.1,5.7,mandatory,A Raghuvanshi,Shivang Kumar,RK Singh,0,0,0,,,,,,,,,A Raghuvanshi,caught,,,,,E Malinga,20.0,166.0,151
Kolkata Knight Riders,16,5,0.1,5.7,mandatory,C Green,Shivang Kumar,RK Singh,2,0,2,,,,,,,,,,,,,,,,20.0,166.0,153
Kolkata Knight Riders,16,6,0.1,5.7,mandatory,C Green,Shivang Kumar,RK Singh,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,153
Kolkata Knight Riders,17,1,0.1,5.7,mandatory,RK Singh,Sakib Hussain,C Green,5,0,5,,,,,,,,,,,,,,,,20.0,166.0,158
Kolkata Knight Riders,17,2,0.1,5.7,mandatory,C Green,Sakib Hussain,RK Singh,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,159
Kolkata Knight Riders,17,3,0.1,5.7,mandatory,RK Singh,Sakib Hussain,C Green,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,159
Kolkata Knight Riders,17,4,0.1,5.7,mandatory,RK Singh,Sakib Hussain,C Green,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,159
Kolkata Knight Riders,17,5,0.1,5.7,mandatory,RK Singh,Sakib Hussain,C Green,0,0,0,,,,,,,,,,,,,,,,20.0,166.0,159
Kolkata Knight Riders,17,6,0.1,5.7,mandatory,RK Singh,Sakib Hussain,C Green,1,0,1,,,,,,,,,,,,,,,,20.0,166.0,160
Kolkata Knight Riders,18,1,0.1,5.7,mandatory,RK Singh,E Malinga,C Green,0,1,1,1.0,,,,,,,,,,,,,,,20.0,166.0,161
Kolkata Knight Riders,18,2,0.1,5.7,mandatory,RK Singh,E Malinga,C Green,4,0,4,,,,,,,,,,,,,,,,20.0,166.0,165
Kolkata Knight Riders,18,3,0.1,5.7,mandatory,RK Singh,E Malinga,C Green,4,0,4,,,,,,,,,,,,,,,,20.0,166.0,169
