team,super_over,ball_number,over,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Lucknow Super Giants,,,11,0.1,5.6,mandatory,RR Pant,Kartik Tyagi,N Pooran,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,72
Lucknow Super Giants,,,11,0.1,5.6,mandatory,N Pooran,Kartik Tyagi,RR Pant,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,73
Lucknow Super Giants,,,11,0.1,5.6,mandatory,RR Pant,Kartik Tyagi,N Pooran,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,74
Lucknow Super Giants,,,11,0.1,5.6,mandatory,N Pooran,Kartik Tyagi,RR Pant,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,74
Lucknow Super Giants,,,11,0.1,5.6,mandatory,N Pooran,Kartik Tyagi,RR Pant,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,74
Lucknow Super Giants,,,12,0.1,5.6,mandatory,RR Pant,SP Narine,N Pooran,4,0,4,,,,,,,,,,,,,,,,,20.0,156.0,78
Lucknow Super Giants,,,12,0.1,5.6,mandatory,RR Pant,SP Narine,N Pooran,0,0,0,,,Kolkata Knight Riders,A Bengeri,RR Pant,upheld,wicket,,,RR Pant,caught,,,,,TL Seifert,20.0,156.0,78
Lucknow Super Giants,,,12,0.1,5.6,mandatory,A Badoni,SP Narine,N Pooran,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,78
Lucknow Super Giants,,,12,0.1,5.6,mandatory,A Badoni,SP Narine,N Pooran,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,79
Lucknow Super Giants,,,12,0.1,5.6,mandatory,N Pooran,SP Narine,A Badoni,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,80
Lucknow Super Giants,,,12,0.1,5.6,mandatory,A Badoni,SP Narine,N Pooran,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,81
Lucknow Super Giants,,,13,0.1,5.6,mandatory,A Badoni,CV Varun,N Pooran,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,82
Lucknow Super Giants,,,13,0.1,5.6,mandatory,N Pooran,CV Varun,A Badoni,6,0,6,,,,,,,,,,,,,,,,,20.0,156.0,88
Lucknow Super Giants,,,13,0.1,5.6,mandatory,N Pooran,CV Varun,A Badoni,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,88
Lucknow Super Giants,,,13,0.1,5.6,mandatory,N Pooran,CV Varun,A Badoni,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,156.0,89
Lucknow Super Giants,,,13,0.1,5.6,mandatory,N Pooran,CV Varun,A Badoni,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,89
Lucknow Super Giants,,,13,0.1,5.6,mandatory,N Pooran,CV Varun,A Badoni,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,89
Lucknow Super Giants,,,13,0.1,5.6,mandatory,N Pooran,CV Varun,A Badoni,0,0,0,,,,,,,,,,N Pooran,caught,,,,,SP Narine,20.0,156.0,89
Lucknow Super Giants,,,14,0.1,5.6,mandatory,A Badoni,SP Narine,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,89
Lucknow Super Giants,,,14,0.1,5.6,mandatory,A Badoni,SP Narine,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,89
Lucknow Super Giants,,,14,0.1,5.6,mandatory,A Badoni,SP Narine,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,90
Lucknow Super Giants,,,14,0.1,5.6,mandatory,MD Choudhary,SP Narine,A Badoni,1,0,1,,,Kolkata Knight Riders,A Bengeri,MD Choudhary,struck down,wicket,,,,,,,,,,20.0,156.0,91
Lucknow Super Giants,,,14,0.1,5.6,mandatory,A Badoni,SP Narine,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,91
Lucknow Super Giants,,,14,0.1,5.6,mandatory,A Badoni,SP Narine,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,92
Lucknow Super Giants,,,15,0.1,5.6,mandatory,A Badoni,AS Roy,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,93
Lucknow Super Giants,,,15,0.1,5.6,mandatory,MD Choudhary,AS Roy,A Badoni,0,0,0,,,,,,,,,,MD Choudhary,caught,,,,,RK Singh,20.0,156.0,93
Lucknow Super Giants,,,15,0.1,5.6,mandatory,Himmat Singh,AS Roy,A Badoni,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,156.0,94
Lucknow Super Giants,,,15,0.1,5.6,mandatory,A Badoni,AS Roy,Himmat Singh,2,0,2,,,,,,,,,,,,,,,,,20.0,156.0,96
Lucknow Super Giants,,,15,0.1,5.6,mandatory,A Badoni,AS Roy,Himmat Singh,6,0,6,,,,,,,,,,,,,,,,,20.0,156.0,102
Lucknow Super Giants,,,15,0.1,5.6,mandatory,A Badoni,AS Roy,Himmat Singh,2,0,2,,,,,,,,,,,,,,,,,20.0,156.0,104
Lucknow Super Giants,,,16,0.1,5.6,mandatory,Himmat Singh,Kartik Tyagi,A Badoni,6,0,6,,,,,,,,,,,,,,,,,20.0,156.0,110
Lucknow Super Giants,,,16,0.1,5.6,mandatory,Himmat Singh,Kartik Tyagi,A Badoni,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,111
Lucknow Super Giants,,,16,0.1,5.6,mandatory,A Badoni,Kartik Tyagi,Himmat Singh,6,0,6,,,,,,,,,,,,,,,,,20.0,156.0,117
Lucknow Super Giants,,,16,0.1,5.6,mandatory,A Badoni,Kartik Tyagi,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,117
Lucknow Super Giants,,,16,0.1,5.6,mandatory,A Badoni,Kartik Tyagi,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,117
Lucknow Super Giants,,,16,0.1,5.6,mandatory,A Badoni,Kartik Tyagi,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,118
Lucknow Super Giants,,,17,0.1,5.6,mandatory,A Badoni,CV Varun,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,119
Lucknow Super Giants,,,17,0.1,5.6,mandatory,Himmat Singh,CV Varun,A Badoni,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,120
Lucknow Super Giants,,,17,0.1,5.6,mandatory,A Badoni,CV Varun,Himmat Singh,0,0,0,,,,,,,,,,A Badoni,caught,,,,,AS Roy,20.0,156.0,120
Lucknow Super Giants,,,17,0.1,5.6,mandatory,GF Linde,CV Varun,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,120
Lucknow Super Giants,,,17,0.1,5.6,mandatory,GF Linde,CV Varun,Himmat Singh,4,0,4,,,,,,,,,,,,,,,,,20.0,156.0,124
Lucknow Super Giants,,,17,0.1,5.6,mandatory,GF Linde,CV Varun,Himmat Singh,4,0,4,,,,,,,,,,,,,,,,,20.0,156.0,128
Lucknow Super Giants,,,18,0.1,5.6,mandatory,Himmat Singh,VG Arora,GF Linde,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,129
Lucknow Super Giants,,,18,0.1,5.6,mandatory,GF Linde,VG Arora,Himmat Singh,0,0,0,,,,,,,,,,GF Linde,caught,,,,,RK Singh,20.0,156.0,129
Lucknow Super Giants,,,18,0.1,5.6,mandatory,Mohammed Shami,VG Arora,Himmat Singh,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,156.0,130
Lucknow Super Giants,,,18,0.1,5.6,mandatory,Mohammed Shami,VG Arora,Himmat Singh,4,0,4,,,,,,,,,,,,,,,,,20.0,156.0,134
Lucknow Super Giants,,,18,0.1,5.6,mandatory,Mohammed Shami,VG Arora,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,134
Lucknow Super Giants,,,18,0.1,5.6,mandatory,Mohammed Shami,VG Arora,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,20.0,156.0,135
Lucknow Super Giants,,,18,0.1,5.6,mandatory,Himmat Singh,VG Arora,Mohammed Shami,4,0,4,,,,,,,,,,,,,,,,,20.0,156.0,139
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Mohammed Shami,Kartik Tyagi,Himmat Singh,0,1,1,,,,,,,,1.0,,,,,,,,,20.0,156.0,140
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Himmat Singh,Kartik Tyagi,Mohammed Shami,0,1,1,,,,,,,,,1.0,,,,,,,,20.0,156.0,141
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Himmat Singh,Kartik Tyagi,Mohammed Shami,2,1,3,,,,,,,,,1.0,,,,,,,,20.0,156.0,144
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Himmat Singh,Kartik Tyagi,Mohammed Shami,4,0,4,,,,,,,,,,,,,,,,,20.0,156.0,148
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Himmat Singh,Kartik Tyagi,Mohammed Shami,0,0,0,,,,,,,,,,Himmat Singh,caught,,,,,RK Singh,20.0,156.0,148
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Prince Yadav,Kartik Tyagi,Mohammed Shami,0,1,1,,,,,,,,1.0,,,,,,,,,20.0,156.0,149
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Mohammed Shami,Kartik Tyagi,Prince Yadav,0,0,0,,,,,,,,,,,,,,,,,20.0,156.0,149
Lucknow Super Giants,,,19,0.1,5.6,mandatory,Mohammed Shami,Kartik Tyagi,Prince Yadav,6,0,6,,,,,,,,,,,,,,,,,20.0,156.0,155
Lucknow Super Giants,True,1.0,0,,,,N Pooran,SP Narine,AK Markram,0,0,0,,,,,,,,,,N Pooran,bowled,,,,,,,,155
Lucknow Super Giants,True,2.0,0,,,,RR Pant,SP Narine,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,156
Lucknow Super Giants,True,3.0,0,,,,AK Markram,SP Narine,RR Pant,0,0,0,,,,,,,,,,AK Markram,caught,,,,,RK Singh,,,156
Kolkata Knight Riders,True,1.0,0,,,,RK Singh,Prince Yadav,R Powell,4,0,4,,,,,,,,,,,,,,,,,,,159
