team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,12,5,0.1,5.6,mandatory,FH Allen,V Nigam,C Green,1,0,1,,,,,,,,,,,,,,20.0,143.0,124
Kolkata Knight Riders,12,6,0.1,5.6,mandatory,C Green,V Nigam,FH Allen,1,0,1,,,,,,,,,,,,,,20.0,143.0,125
Kolkata Knight Riders,13,1,0.1,5.6,mandatory,C Green,Kuldeep Yadav,FH Allen,1,0,1,,,,,,,,,,,,,,20.0,143.0,126
Kolkata Knight Riders,13,2,0.1,5.6,mandatory,FH Allen,Kuldeep Yadav,C Green,6,0,6,,,,,,,,,,,,,,20.0,143.0,132
Kolkata Knight Riders,13,3,0.1,5.6,mandatory,FH Allen,Kuldeep Yadav,C Green,0,0,0,,,,,,,,,,,,,,20.0,143.0,132
Kolkata Knight Riders,13,4,0.1,5.6,mandatory,FH Allen,Kuldeep Yadav,C Green,2,0,2,,,,,,,,,,,,,,20.0,143.0,134
Kolkata Knight Riders,13,5,0.1,5.6,mandatory,FH Allen,Kuldeep Yadav,C Green,6,0,6,,,,,,,,,,,,,,20.0,143.0,140
Kolkata Knight Riders,13,6,0.1,5.6,mandatory,FH Allen,Kuldeep Yadav,C Green,0,0,0,,,,,,,,,,,,,,20.0,143.0,140
Kolkata Knight Riders,14,1,0.1,5.6,mandatory,C Green,Mukesh Kumar,FH Allen,1,0,1,,,,,,,,,,,,,,20.0,143.0,141
Kolkata Knight Riders,14,2,0.1,5.6,mandatory,FH Allen,Mukesh Kumar,C Green,6,0,6,,,,,,,,,,,,,,20.0,143.0,147
