team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,,,,,,,,0
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,1,0,1,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,0,0,0,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,1,0,1,,,,,,,,,,,,,,,,,2
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,,,,,,,,2
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,4,0,4,,,,,,,,,,,,,,,,,6
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,4,0,4,,,,,,,,,,,,,,,,,10
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,4,0,4,,,,,,,,,,,,,,,,,14
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,4,0,4,,,,,,,,,,,,,,,,,18
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,4,0,4,,,,,,,,,,,,,,,,,22
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,4,0,4,,,,,,,,,,,,,,,,,26
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,V Kohli,K Rabada,JG Bethell,1,0,1,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,0,0,0,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,6,0,6,,,,,,,,,,,,,,,,,33
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,V Kohli,Mohammed Siraj,JG Bethell,0,1,1,1.0,,,,,,,,,,,,,,,,34
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,JG Bethell,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,JG Bethell,caught,,,,,Rashid Khan,,,34
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,D Padikkal,Mohammed Siraj,V Kohli,0,0,0,,,,,,,,,,,,,,,,,34
