team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Gujarat Titans,14,6,0.1,5.6,mandatory,JC Buttler,SP Narine,Shubman Gill,0,1,1,,,,,,,,,,1.0,,,,,,,,,,,,,20.0,248.0,163
Gujarat Titans,15,1,0.1,5.6,mandatory,JC Buttler,Kartik Tyagi,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,167
Gujarat Titans,15,2,0.1,5.6,mandatory,JC Buttler,Kartik Tyagi,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,173
Gujarat Titans,15,3,0.1,5.6,mandatory,JC Buttler,Kartik Tyagi,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,173
Gujarat Titans,15,4,0.1,5.6,mandatory,JC Buttler,Kartik Tyagi,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,174
Gujarat Titans,15,5,0.1,5.6,mandatory,Shubman Gill,Kartik Tyagi,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,175
Gujarat Titans,15,6,0.1,5.6,mandatory,JC Buttler,Kartik Tyagi,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,177
Gujarat Titans,16,1,0.1,5.6,mandatory,Shubman Gill,SP Narine,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,177
Gujarat Titans,16,2,0.1,5.6,mandatory,Shubman Gill,SP Narine,JC Buttler,0,0,0,,,,,,,,,,,Shubman Gill,caught,,,,,,,,,AS Roy,,20.0,248.0,177
Gujarat Titans,16,3,0.1,5.6,mandatory,B Sai Sudharsan,SP Narine,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,178
Gujarat Titans,16,4,0.1,5.6,mandatory,JC Buttler,SP Narine,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,179
Gujarat Titans,16,5,0.1,5.6,mandatory,B Sai Sudharsan,SP Narine,JC Buttler,2,0,2,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,181
Gujarat Titans,16,6,0.1,5.6,mandatory,B Sai Sudharsan,SP Narine,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,182
Gujarat Titans,17,1,0.1,5.6,mandatory,B Sai Sudharsan,Kartik Tyagi,JC Buttler,6,0,6,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,188
Gujarat Titans,17,2,0.1,5.6,mandatory,B Sai Sudharsan,Kartik Tyagi,JC Buttler,4,0,4,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,192
Gujarat Titans,17,3,0.1,5.6,mandatory,B Sai Sudharsan,Kartik Tyagi,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,192
Gujarat Titans,17,4,0.1,5.6,mandatory,B Sai Sudharsan,Kartik Tyagi,JC Buttler,4,0,4,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,196
Gujarat Titans,17,5,0.1,5.6,mandatory,B Sai Sudharsan,Kartik Tyagi,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,197
Gujarat Titans,17,6,0.1,5.6,mandatory,JC Buttler,Kartik Tyagi,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,203
Gujarat Titans,18,1,0.1,5.6,mandatory,B Sai Sudharsan,SR Dubey,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,203
Gujarat Titans,18,2,0.1,5.6,mandatory,B Sai Sudharsan,SR Dubey,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,203
Gujarat Titans,18,3,0.1,5.6,mandatory,B Sai Sudharsan,SR Dubey,JC Buttler,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,204
Gujarat Titans,18,4,0.1,5.6,mandatory,B Sai Sudharsan,SR Dubey,JC Buttler,2,0,2,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,206
Gujarat Titans,18,5,0.1,5.6,mandatory,B Sai Sudharsan,SR Dubey,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,207
Gujarat Titans,18,6,0.1,5.6,mandatory,JC Buttler,SR Dubey,B Sai Sudharsan,0,0,0,,,,,,,,,,,JC Buttler,caught,,,,,,,,,Ramandeep Singh,True,20.0,248.0,207
Gujarat Titans,18,7,0.1,5.6,mandatory,R Tewatia,SR Dubey,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,R Tewatia,Mohammed Siraj,Gujarat Titans,impact_player,,,,,,,20.0,248.0,208
Gujarat Titans,19,1,0.1,5.6,mandatory,R Tewatia,C Green,B Sai Sudharsan,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,,,20.0,248.0,209
Gujarat Titans,19,2,0.1,5.6,mandatory,B Sai Sudharsan,C Green,R Tewatia,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,210
Gujarat Titans,19,3,0.1,5.6,mandatory,R Tewatia,C Green,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,211
Gujarat Titans,19,4,0.1,5.6,mandatory,B Sai Sudharsan,C Green,R Tewatia,6,0,6,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,217
Gujarat Titans,19,5,0.1,5.6,mandatory,B Sai Sudharsan,C Green,R Tewatia,1,0,1,,,,,,,,,,,,,,,,,,,,,,,20.0,248.0,218
Gujarat Titans,19,6,0.1,5.6,mandatory,R Tewatia,C Green,B Sai Sudharsan,0,0,0,,,,,,,,,,,R Tewatia,caught,,,,,,,,,A Raghuvanshi,,20.0,248.0,218
