team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,byes,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Chennai Super Kings,9,1,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,86
Chennai Super Kings,9,2,0.1,5.6,mandatory,Kartik Sharma,HH Pandya,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,87
Chennai Super Kings,9,3,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,Kartik Sharma,0,1,1,,,1.0,,,,,,,,,20.0,160.0,88
Chennai Super Kings,9,4,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,89
Chennai Super Kings,9,5,0.1,5.6,mandatory,Kartik Sharma,HH Pandya,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,90
Chennai Super Kings,9,6,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,91
Chennai Super Kings,9,7,0.1,5.6,mandatory,Kartik Sharma,HH Pandya,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,92
Chennai Super Kings,10,1,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,92
Chennai Super Kings,10,2,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,92
Chennai Super Kings,10,3,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,93
Chennai Super Kings,10,4,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,94
Chennai Super Kings,10,5,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,95
Chennai Super Kings,10,6,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,2,0,2,,,,,,,,,,,,20.0,160.0,97
Chennai Super Kings,11,1,0.1,5.6,mandatory,Kartik Sharma,HH Pandya,RD Gaikwad,6,0,6,,,,,,,,,,,,20.0,160.0,103
Chennai Super Kings,11,2,0.1,5.6,mandatory,Kartik Sharma,HH Pandya,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,104
Chennai Super Kings,11,3,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,105
Chennai Super Kings,11,4,0.1,5.6,mandatory,Kartik Sharma,HH Pandya,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,106
Chennai Super Kings,11,5,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,107
Chennai Super Kings,11,6,0.1,5.6,mandatory,Kartik Sharma,HH Pandya,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,107
Chennai Super Kings,12,1,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,2,0,2,,,,,,,,,,,,20.0,160.0,109
Chennai Super Kings,12,2,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,110
Chennai Super Kings,12,3,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,111
Chennai Super Kings,12,4,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,112
Chennai Super Kings,12,5,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,113
Chennai Super Kings,12,6,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,114
Chennai Super Kings,13,1,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,115
Chennai Super Kings,13,2,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,116
Chennai Super Kings,13,3,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Kartik Sharma,0,0,0,,,,,,,,,,,,20.0,160.0,116
Chennai Super Kings,13,4,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,117
Chennai Super Kings,13,5,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,118
Chennai Super Kings,13,6,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Kartik Sharma,4,0,4,,,,,,,,,,,,20.0,160.0,122
Chennai Super Kings,14,1,0.1,5.6,mandatory,Kartik Sharma,JJ Bumrah,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,123
Chennai Super Kings,14,2,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,Kartik Sharma,4,0,4,,,,,,,,,,,,20.0,160.0,127
Chennai Super Kings,14,3,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,Kartik Sharma,0,0,0,,,,,,,,,,,,20.0,160.0,127
Chennai Super Kings,14,4,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,Kartik Sharma,0,0,0,,,,,,,,,,,,20.0,160.0,127
Chennai Super Kings,14,5,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,Kartik Sharma,0,1,1,,,1.0,,,,,,,,,20.0,160.0,128
Chennai Super Kings,14,6,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,Kartik Sharma,0,0,0,,,,,,,,,,,,20.0,160.0,128
Chennai Super Kings,14,7,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,129
Chennai Super Kings,15,1,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,130
Chennai Super Kings,15,2,0.1,5.6,mandatory,Kartik Sharma,TA Boult,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,131
Chennai Super Kings,15,3,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Kartik Sharma,0,1,1,,,1.0,,,,,,,,,20.0,160.0,132
Chennai Super Kings,15,4,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Kartik Sharma,4,0,4,,,,,,,,,,,,20.0,160.0,136
Chennai Super Kings,15,5,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,137
Chennai Super Kings,15,6,0.1,5.6,mandatory,Kartik Sharma,TA Boult,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,138
Chennai Super Kings,15,7,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Kartik Sharma,0,0,0,,,,,,,,,,,,20.0,160.0,138
Chennai Super Kings,16,1,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,142
Chennai Super Kings,16,2,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,142
Chennai Super Kings,16,3,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,6,0,6,,,,,,,,,,,,20.0,160.0,148
Chennai Super Kings,16,4,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,148
Chennai Super Kings,16,5,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,152
Chennai Super Kings,16,6,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,152
Chennai Super Kings,17,1,0.1,5.6,mandatory,RD Gaikwad,Krish Bhagat,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,153
Chennai Super Kings,17,2,0.1,5.6,mandatory,Kartik Sharma,Krish Bhagat,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,153
Chennai Super Kings,17,3,0.1,5.6,mandatory,Kartik Sharma,Krish Bhagat,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,153
Chennai Super Kings,17,4,0.1,5.6,mandatory,Kartik Sharma,Krish Bhagat,RD Gaikwad,2,0,2,,,,,,,,,,,,20.0,160.0,155
Chennai Super Kings,17,5,0.1,5.6,mandatory,Kartik Sharma,Krish Bhagat,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,156
Chennai Super Kings,17,6,0.1,5.6,mandatory,RD Gaikwad,Krish Bhagat,Kartik Sharma,0,0,0,,,,,,,,,,,,20.0,160.0,156
Chennai Super Kings,18,1,0.1,5.6,mandatory,Kartik Sharma,TA Boult,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,160
