team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,byes,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Mumbai Indians,6,1,0.1,5.6,mandatory,RD Rickelton,Noor Ahmad,Naman Dhir,1,0,1,,,,,,,,,,,,,,58
Mumbai Indians,6,2,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,RD Rickelton,1,0,1,,,,,,,,,,,,,,59
Mumbai Indians,6,3,0.1,5.6,mandatory,RD Rickelton,Noor Ahmad,Naman Dhir,0,0,0,,,,,,,,,,,,,,59
Mumbai Indians,6,4,0.1,5.6,mandatory,RD Rickelton,Noor Ahmad,Naman Dhir,0,0,0,,,,RD Rickelton,caught,,,,,Urvil Patel,,,,59
Mumbai Indians,6,5,0.1,5.6,mandatory,SA Yadav,Noor Ahmad,Naman Dhir,4,0,4,,,,,,,,,,,,,,63
Mumbai Indians,6,6,0.1,5.6,mandatory,SA Yadav,Noor Ahmad,Naman Dhir,0,0,0,,,,,,,,,,,,,,63
Mumbai Indians,7,1,0.1,5.6,mandatory,Naman Dhir,PR Veer,SA Yadav,0,0,0,,,,,,,,,,,,,,63
Mumbai Indians,7,2,0.1,5.6,mandatory,Naman Dhir,PR Veer,SA Yadav,4,0,4,,,,,,,,,,,,,,67
Mumbai Indians,7,3,0.1,5.6,mandatory,Naman Dhir,PR Veer,SA Yadav,1,0,1,,,,,,,,,,,,,,68
Mumbai Indians,7,4,0.1,5.6,mandatory,SA Yadav,PR Veer,Naman Dhir,0,0,0,,,,,,,,,,,,,,68
Mumbai Indians,7,5,0.1,5.6,mandatory,SA Yadav,PR Veer,Naman Dhir,1,0,1,,,,,,,,,,,,,,69
Mumbai Indians,7,6,0.1,5.6,mandatory,Naman Dhir,PR Veer,SA Yadav,1,0,1,,,,,,,,,,,,,,70
Mumbai Indians,8,1,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,SA Yadav,1,0,1,,,,,,,,,,,,,,71
Mumbai Indians,8,2,0.1,5.6,mandatory,SA Yadav,RS Ghosh,Naman Dhir,0,0,0,,,,,,,,,,,,,,71
Mumbai Indians,8,3,0.1,5.6,mandatory,SA Yadav,RS Ghosh,Naman Dhir,4,0,4,,,,,,,,,,,,,,75
Mumbai Indians,8,4,0.1,5.6,mandatory,SA Yadav,RS Ghosh,Naman Dhir,0,0,0,,,,,,,,,,,,,,75
Mumbai Indians,8,5,0.1,5.6,mandatory,SA Yadav,RS Ghosh,Naman Dhir,1,0,1,,,,,,,,,,,,,,76
Mumbai Indians,8,6,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,SA Yadav,1,0,1,,,,,,,,,,,,,,77
Mumbai Indians,9,1,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,SA Yadav,1,0,1,,,,,,,,,,,,,,78
Mumbai Indians,9,2,0.1,5.6,mandatory,SA Yadav,Noor Ahmad,Naman Dhir,4,0,4,,,,,,,,,,,,,,82
Mumbai Indians,9,3,0.1,5.6,mandatory,SA Yadav,Noor Ahmad,Naman Dhir,6,0,6,,,,,,,,,,,,,,88
Mumbai Indians,9,4,0.1,5.6,mandatory,SA Yadav,Noor Ahmad,Naman Dhir,1,0,1,,,,,,,,,,,,,,89
Mumbai Indians,9,5,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,SA Yadav,0,0,0,,,,,,,,,,,,,,89
Mumbai Indians,9,6,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,SA Yadav,1,0,1,,,,,,,,,,,,,,90
Mumbai Indians,10,1,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,SA Yadav,4,0,4,,,,,,,,,,,,,,94
Mumbai Indians,10,2,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,SA Yadav,4,0,4,,,,,,,,,,,,,,98
Mumbai Indians,10,3,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,SA Yadav,1,0,1,,,,,,,,,,,,,,99
Mumbai Indians,10,4,0.1,5.6,mandatory,SA Yadav,RS Ghosh,Naman Dhir,0,0,0,,,,SA Yadav,caught,,,,,D Brevis,,,,99
Mumbai Indians,10,5,0.1,5.6,mandatory,Tilak Varma,RS Ghosh,Naman Dhir,1,0,1,,,,,,,,,,,,,,100
Mumbai Indians,10,6,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,Tilak Varma,0,0,0,,,,,,,,,,,,,,100
Mumbai Indians,11,1,0.1,5.6,mandatory,Tilak Varma,J Overton,Naman Dhir,0,0,0,,,,,,,,,,,,,,100
Mumbai Indians,11,2,0.1,5.6,mandatory,Tilak Varma,J Overton,Naman Dhir,1,0,1,,,,,,,,,,,,,,101
Mumbai Indians,11,3,0.1,5.6,mandatory,Naman Dhir,J Overton,Tilak Varma,3,0,3,,,,,,,,,,,,,,104
Mumbai Indians,11,4,0.1,5.6,mandatory,Tilak Varma,J Overton,Naman Dhir,0,0,0,,,,,,,,,,,,,,104
Mumbai Indians,11,5,0.1,5.6,mandatory,Tilak Varma,J Overton,Naman Dhir,2,0,2,,,,,,,,,,,,,,106
Mumbai Indians,11,6,0.1,5.6,mandatory,Tilak Varma,J Overton,Naman Dhir,0,0,0,,,,,,,,,,,,,,106
Mumbai Indians,12,1,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,Tilak Varma,0,0,0,,,,,,,,,,,,,,106
Mumbai Indians,12,2,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,Tilak Varma,1,0,1,,,,,,,,,,,,,,107
Mumbai Indians,12,3,0.1,5.6,mandatory,Tilak Varma,Noor Ahmad,Naman Dhir,1,0,1,,,,,,,,,,,,,,108
Mumbai Indians,12,4,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,Tilak Varma,1,0,1,,,,,,,,,,,,,,109
Mumbai Indians,12,5,0.1,5.6,mandatory,Tilak Varma,Noor Ahmad,Naman Dhir,0,0,0,,,,Tilak Varma,caught,,,,,RD Gaikwad,,,,109
Mumbai Indians,12,6,0.1,5.6,mandatory,HH Pandya,Noor Ahmad,Naman Dhir,1,0,1,,,,,,,,,,,,,,110
Mumbai Indians,13,1,0.1,5.6,mandatory,HH Pandya,J Overton,Naman Dhir,0,1,1,,1.0,,,,,,,,,,,,111
Mumbai Indians,13,2,0.1,5.6,mandatory,Naman Dhir,J Overton,HH Pandya,1,0,1,,,,,,,,,,,,,,112
Mumbai Indians,13,3,0.1,5.6,mandatory,HH Pandya,J Overton,Naman Dhir,0,0,0,,,,,,,,,,,,,,112
Mumbai Indians,13,4,0.1,5.6,mandatory,HH Pandya,J Overton,Naman Dhir,0,0,0,,,,,,,,,,,,,,112
Mumbai Indians,13,5,0.1,5.6,mandatory,HH Pandya,J Overton,Naman Dhir,0,0,0,,,,,,,,,,,,,,112
Mumbai Indians,13,6,0.1,5.6,mandatory,HH Pandya,J Overton,Naman Dhir,1,0,1,,,,,,,,,,,,,,113
Mumbai Indians,14,1,0.1,5.6,mandatory,HH Pandya,RS Ghosh,Naman Dhir,4,0,4,,,,,,,,,,,,,,117
Mumbai Indians,14,2,0.1,5.6,mandatory,HH Pandya,RS Ghosh,Naman Dhir,0,0,0,,,,,,,,,,,,,,117
Mumbai Indians,14,3,0.1,5.6,mandatory,HH Pandya,RS Ghosh,Naman Dhir,1,0,1,,,,,,,,,,,,,,118
Mumbai Indians,14,4,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,HH Pandya,0,0,0,,,,,,,,,,,,,,118
Mumbai Indians,14,5,0.1,5.6,mandatory,Naman Dhir,RS Ghosh,HH Pandya,1,0,1,,,,,,,,,,,,,,119
Mumbai Indians,14,6,0.1,5.6,mandatory,HH Pandya,RS Ghosh,Naman Dhir,1,0,1,,,,,,,,,,,,,,120
Mumbai Indians,15,1,0.1,5.6,mandatory,HH Pandya,Noor Ahmad,Naman Dhir,0,1,1,1.0,,,,,,,,,,,,,121
Mumbai Indians,15,2,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,HH Pandya,1,0,1,,,,,,,,,,,,,,122
