team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Mumbai Indians,0,1,0.1,5.6,mandatory,WG Jacks,PJ Cummins,RD Rickelton,1,0,1,,,,,,,,,,,,1
Mumbai Indians,0,2,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,0,0,0,,,,,,,,,,,,1
Mumbai Indians,0,3,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,0,0,0,,,,,,,,,,,,1
Mumbai Indians,0,4,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,0,0,0,,,,,,,,,,,,1
Mumbai Indians,0,5,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,1,0,1,,,,,,,,,,,,2
Mumbai Indians,0,6,0.1,5.6,mandatory,WG Jacks,PJ Cummins,RD Rickelton,4,0,4,,,,,,,,,,,,6
Mumbai Indians,1,1,0.1,5.6,mandatory,RD Rickelton,PP Hinge,WG Jacks,6,0,6,,,,,,,,,,,,12
Mumbai Indians,1,2,0.1,5.6,mandatory,RD Rickelton,PP Hinge,WG Jacks,1,0,1,,,,,,,,,,,,13
Mumbai Indians,1,3,0.1,5.6,mandatory,WG Jacks,PP Hinge,RD Rickelton,4,0,4,,,,,,,,,,,,17
Mumbai Indians,1,4,0.1,5.6,mandatory,WG Jacks,PP Hinge,RD Rickelton,4,0,4,,,,,,,,,,,,21
Mumbai Indians,1,5,0.1,5.6,mandatory,WG Jacks,PP Hinge,RD Rickelton,0,0,0,,,,,,,,,,,,21
Mumbai Indians,1,6,0.1,5.6,mandatory,WG Jacks,PP Hinge,RD Rickelton,0,0,0,,,,,,,,,,,,21
Mumbai Indians,2,1,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,4,0,4,,,,,,,,,,,,25
Mumbai Indians,2,2,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,4,0,4,,,,,,,,,,,,29
Mumbai Indians,2,3,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,0,1,1,1.0,,,,,,,,,,,30
Mumbai Indians,2,4,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,2,0,2,,,,,,,,,,,,32
Mumbai Indians,2,5,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,WG Jacks,1,0,1,,,,,,,,,,,,33
Mumbai Indians,2,6,0.1,5.6,mandatory,WG Jacks,PJ Cummins,RD Rickelton,4,0,4,,,,,,,,,,,,37
Mumbai Indians,2,7,0.1,5.6,mandatory,WG Jacks,PJ Cummins,RD Rickelton,0,0,0,,,,,,,,,,,,37
Mumbai Indians,3,1,0.1,5.6,mandatory,RD Rickelton,E Malinga,WG Jacks,0,0,0,,,,,,,,,,,,37
Mumbai Indians,3,2,0.1,5.6,mandatory,RD Rickelton,E Malinga,WG Jacks,0,1,1,,1.0,,,,,,,,,,38
Mumbai Indians,3,3,0.1,5.6,mandatory,WG Jacks,E Malinga,RD Rickelton,1,0,1,,,,,,,,,,,,39
Mumbai Indians,3,4,0.1,5.6,mandatory,RD Rickelton,E Malinga,WG Jacks,1,0,1,,,,,,,,,,,,40
Mumbai Indians,3,5,0.1,5.6,mandatory,WG Jacks,E Malinga,RD Rickelton,2,0,2,,,,,,,,,,,,42
Mumbai Indians,3,6,0.1,5.6,mandatory,WG Jacks,E Malinga,RD Rickelton,0,1,1,1.0,,,,,,,,,,,43
Mumbai Indians,3,7,0.1,5.6,mandatory,WG Jacks,E Malinga,RD Rickelton,1,0,1,,,,,,,,,,,,44
Mumbai Indians,4,1,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,6,0,6,,,,,,,,,,,,50
Mumbai Indians,4,2,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,0,0,0,,,,,,,,,,,,50
Mumbai Indians,4,3,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,0,0,0,,,,,,,,,,,,50
Mumbai Indians,4,4,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,6,0,6,,,,,,,,,,,,56
Mumbai Indians,4,5,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,0,0,0,,,,,,,,,,,,56
Mumbai Indians,4,6,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,4,0,4,,,,,,,,,,,,60
Mumbai Indians,5,1,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,WG Jacks,6,0,6,,,,,,,,,,,,66
Mumbai Indians,5,2,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,WG Jacks,0,0,0,,,,,,,,,,,,66
Mumbai Indians,5,3,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,WG Jacks,6,0,6,,,,,,,,,,,,72
Mumbai Indians,5,4,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,WG Jacks,4,0,4,,,,,,,,,,,,76
Mumbai Indians,5,5,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,WG Jacks,1,0,1,,,,,,,,,,,,77
Mumbai Indians,5,6,0.1,5.6,mandatory,WG Jacks,Sakib Hussain,RD Rickelton,1,0,1,,,,,,,,,,,,78
Mumbai Indians,6,1,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,1,0,1,,,,,,,,,,,,79
Mumbai Indians,6,2,0.1,5.6,mandatory,RD Rickelton,Harsh Dubey,WG Jacks,2,0,2,,,,,,,,,,,,81
Mumbai Indians,6,3,0.1,5.6,mandatory,RD Rickelton,Harsh Dubey,WG Jacks,1,0,1,,,,,,,,,,,,82
Mumbai Indians,6,4,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,6,0,6,,,,,,,,,,,,88
Mumbai Indians,6,5,0.1,5.6,mandatory,WG Jacks,Harsh Dubey,RD Rickelton,1,0,1,,,,,,,,,,,,89
Mumbai Indians,6,6,0.1,5.6,mandatory,RD Rickelton,Harsh Dubey,WG Jacks,4,0,4,,,,,,,,,,,,93
Mumbai Indians,7,1,0.1,5.6,mandatory,WG Jacks,Nithish Kumar Reddy,RD Rickelton,0,0,0,,,WG Jacks,caught,,,,,Ishan Kishan,,,93
Mumbai Indians,7,2,0.1,5.6,mandatory,SA Yadav,Nithish Kumar Reddy,RD Rickelton,4,0,4,,,,,,,,,,,,97
Mumbai Indians,7,3,0.1,5.6,mandatory,SA Yadav,Nithish Kumar Reddy,RD Rickelton,1,0,1,,,,,,,,,,,,98
Mumbai Indians,7,4,0.1,5.6,mandatory,RD Rickelton,Nithish Kumar Reddy,SA Yadav,4,0,4,,,,,,,,,,,,102
Mumbai Indians,7,5,0.1,5.6,mandatory,RD Rickelton,Nithish Kumar Reddy,SA Yadav,6,0,6,,,,,,,,,,,,108
Mumbai Indians,7,6,0.1,5.6,mandatory,RD Rickelton,Nithish Kumar Reddy,SA Yadav,2,0,2,,,,,,,,,,,,110
Mumbai Indians,8,1,0.1,5.6,mandatory,SA Yadav,E Malinga,RD Rickelton,0,0,0,,,,,,,,,,,,110
Mumbai Indians,8,2,0.1,5.6,mandatory,SA Yadav,E Malinga,RD Rickelton,0,0,0,,,,,,,,,,,,110
Mumbai Indians,8,3,0.1,5.6,mandatory,SA Yadav,E Malinga,RD Rickelton,0,0,0,,,SA Yadav,caught,,,,,Abhishek Sharma,,,110
Mumbai Indians,8,4,0.1,5.6,mandatory,Naman Dhir,E Malinga,RD Rickelton,1,0,1,,,,,,,,,,,,111
Mumbai Indians,8,5,0.1,5.6,mandatory,RD Rickelton,E Malinga,Naman Dhir,1,0,1,,,,,,,,,,,,112
Mumbai Indians,8,6,0.1,5.6,mandatory,Naman Dhir,E Malinga,RD Rickelton,1,0,1,,,,,,,,,,,,113
Mumbai Indians,9,1,0.1,5.6,mandatory,Naman Dhir,PJ Cummins,RD Rickelton,0,0,0,,,,,,,,,,,,113
Mumbai Indians,9,2,0.1,5.6,mandatory,Naman Dhir,PJ Cummins,RD Rickelton,1,0,1,,,,,,,,,,,,114
Mumbai Indians,9,3,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,Naman Dhir,1,0,1,,,,,,,,,,,,115
Mumbai Indians,9,4,0.1,5.6,mandatory,Naman Dhir,PJ Cummins,RD Rickelton,4,0,4,,,,,,,,,,,,119
Mumbai Indians,9,5,0.1,5.6,mandatory,Naman Dhir,PJ Cummins,RD Rickelton,1,0,1,,,,,,,,,,,,120
Mumbai Indians,9,6,0.1,5.6,mandatory,RD Rickelton,PJ Cummins,Naman Dhir,4,0,4,,,,,,,,,,,,124
Mumbai Indians,10,1,0.1,5.6,mandatory,Naman Dhir,Sakib Hussain,RD Rickelton,1,0,1,,,,,,,,,,,,125
Mumbai Indians,10,2,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,Naman Dhir,0,1,1,1.0,,,,,,,,,,,126
Mumbai Indians,10,3,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,Naman Dhir,1,0,1,,,,,,,,,,,,127
Mumbai Indians,10,4,0.1,5.6,mandatory,Naman Dhir,Sakib Hussain,RD Rickelton,1,0,1,,,,,,,,,,,,128
Mumbai Indians,10,5,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,Naman Dhir,4,0,4,,,,,,,,,,,,132
Mumbai Indians,10,6,0.1,5.6,mandatory,RD Rickelton,Sakib Hussain,Naman Dhir,1,0,1,,,,,,,,,,,,133
Mumbai Indians,10,7,0.1,5.6,mandatory,Naman Dhir,Sakib Hussain,RD Rickelton,4,0,4,,,,,,,,,,,,137
Mumbai Indians,11,1,0.1,5.6,mandatory,RD Rickelton,Harsh Dubey,Naman Dhir,6,0,6,,,,,,,,,,,,143
