team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,overs_deliveries_runs.non_boundary,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,8,3,0.1,5.6,mandatory,RA Jadeja,Shivang Kumar,D Ferreira,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,60
Rajasthan Royals,8,4,0.1,5.6,mandatory,RA Jadeja,Shivang Kumar,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,61
Rajasthan Royals,8,5,0.1,5.6,mandatory,D Ferreira,Shivang Kumar,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,62
Rajasthan Royals,8,6,0.1,5.6,mandatory,RA Jadeja,Shivang Kumar,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,63
Rajasthan Royals,9,1,0.1,5.6,mandatory,RA Jadeja,Harsh Dubey,D Ferreira,0,1,1,1.0,,,,,,,,,,,,,,,20.0,217.0,64
Rajasthan Royals,9,2,0.1,5.6,mandatory,RA Jadeja,Harsh Dubey,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,65
Rajasthan Royals,9,3,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,66
Rajasthan Royals,9,4,0.1,5.6,mandatory,RA Jadeja,Harsh Dubey,D Ferreira,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,66
Rajasthan Royals,9,5,0.1,5.6,mandatory,RA Jadeja,Harsh Dubey,D Ferreira,0,1,1,1.0,,,,,,,,,,,,,,,20.0,217.0,67
Rajasthan Royals,9,6,0.1,5.6,mandatory,RA Jadeja,Harsh Dubey,D Ferreira,2,0,2,,,,,,,,,,,,,,,,20.0,217.0,69
Rajasthan Royals,9,7,0.1,5.6,mandatory,RA Jadeja,Harsh Dubey,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,70
Rajasthan Royals,9,8,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,71
Rajasthan Royals,10,1,0.1,5.6,mandatory,D Ferreira,Shivang Kumar,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,71
Rajasthan Royals,10,2,0.1,5.6,mandatory,D Ferreira,Shivang Kumar,RA Jadeja,6,0,6,,,,,,,,,,,,,,,,20.0,217.0,77
Rajasthan Royals,10,3,0.1,5.6,mandatory,D Ferreira,Shivang Kumar,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,78
Rajasthan Royals,10,4,0.1,5.6,mandatory,RA Jadeja,Shivang Kumar,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,79
Rajasthan Royals,10,5,0.1,5.6,mandatory,D Ferreira,Shivang Kumar,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,20.0,217.0,83
Rajasthan Royals,10,6,0.1,5.6,mandatory,D Ferreira,Shivang Kumar,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,84
Rajasthan Royals,11,1,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,84
Rajasthan Royals,11,2,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,20.0,217.0,88
Rajasthan Royals,11,3,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,20.0,217.0,92
Rajasthan Royals,11,4,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,6,0,6,,,,,,,,,,,,,,,,20.0,217.0,98
Rajasthan Royals,11,5,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,98
Rajasthan Royals,11,6,0.1,5.6,mandatory,D Ferreira,Harsh Dubey,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,98
Rajasthan Royals,12,1,0.1,5.6,mandatory,RA Jadeja,Nithish Kumar Reddy,D Ferreira,2,0,2,,,,,,,,,,,,,,,,20.0,217.0,100
Rajasthan Royals,12,2,0.1,5.6,mandatory,RA Jadeja,Nithish Kumar Reddy,D Ferreira,4,0,4,,,,,,,,,,,,,,,,20.0,217.0,104
Rajasthan Royals,12,3,0.1,5.6,mandatory,RA Jadeja,Nithish Kumar Reddy,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,105
Rajasthan Royals,12,4,0.1,5.6,mandatory,D Ferreira,Nithish Kumar Reddy,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,105
Rajasthan Royals,12,5,0.1,5.6,mandatory,D Ferreira,Nithish Kumar Reddy,RA Jadeja,4,0,4,,,,,,,,True,,,,,,,,20.0,217.0,109
Rajasthan Royals,12,6,0.1,5.6,mandatory,D Ferreira,Nithish Kumar Reddy,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,110
Rajasthan Royals,13,1,0.1,5.6,mandatory,D Ferreira,E Malinga,RA Jadeja,0,1,1,,1.0,,,,,,,,,,,,,,20.0,217.0,111
Rajasthan Royals,13,2,0.1,5.6,mandatory,RA Jadeja,E Malinga,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,112
Rajasthan Royals,13,3,0.1,5.6,mandatory,D Ferreira,E Malinga,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,113
Rajasthan Royals,13,4,0.1,5.6,mandatory,RA Jadeja,E Malinga,D Ferreira,2,0,2,,,,,,,,,,,,,,,,20.0,217.0,115
Rajasthan Royals,13,5,0.1,5.6,mandatory,RA Jadeja,E Malinga,D Ferreira,0,1,1,1.0,,,,,,,,,,,,,,,20.0,217.0,116
Rajasthan Royals,13,6,0.1,5.6,mandatory,RA Jadeja,E Malinga,D Ferreira,4,0,4,,,,,,,,,,,,,,,,20.0,217.0,120
Rajasthan Royals,13,7,0.1,5.6,mandatory,RA Jadeja,E Malinga,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,121
Rajasthan Royals,14,1,0.1,5.6,mandatory,RA Jadeja,Sakib Hussain,D Ferreira,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,122
Rajasthan Royals,14,2,0.1,5.6,mandatory,D Ferreira,Sakib Hussain,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,122
Rajasthan Royals,14,3,0.1,5.6,mandatory,D Ferreira,Sakib Hussain,RA Jadeja,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,122
Rajasthan Royals,14,4,0.1,5.6,mandatory,D Ferreira,Sakib Hussain,RA Jadeja,4,0,4,,,,,,,,,,,,,,,,20.0,217.0,126
Rajasthan Royals,14,5,0.1,5.6,mandatory,D Ferreira,Sakib Hussain,RA Jadeja,2,0,2,,,,,,,,,,,,,,,,20.0,217.0,128
Rajasthan Royals,14,6,0.1,5.6,mandatory,D Ferreira,Sakib Hussain,RA Jadeja,0,0,0,,,,,,,,,D Ferreira,bowled,,,,,,20.0,217.0,128
Rajasthan Royals,15,1,0.1,5.6,mandatory,RA Jadeja,E Malinga,JC Archer,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,129
Rajasthan Royals,15,2,0.1,5.6,mandatory,JC Archer,E Malinga,RA Jadeja,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,130
Rajasthan Royals,15,3,0.1,5.6,mandatory,RA Jadeja,E Malinga,JC Archer,0,0,0,,,Sunrisers Hyderabad,J Madanagopal,RA Jadeja,upheld,wicket,,RA Jadeja,caught,,,,,S Arora,20.0,217.0,130
Rajasthan Royals,15,4,0.1,5.6,mandatory,TU Deshpande,E Malinga,JC Archer,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,130
Rajasthan Royals,15,5,0.1,5.6,mandatory,TU Deshpande,E Malinga,JC Archer,2,0,2,,,,,,,,,,,,,,,,20.0,217.0,132
Rajasthan Royals,15,6,0.1,5.6,mandatory,TU Deshpande,E Malinga,JC Archer,6,0,6,,,,,,,,,,,,,,,,20.0,217.0,138
Rajasthan Royals,16,1,0.1,5.6,mandatory,JC Archer,Sakib Hussain,TU Deshpande,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,138
Rajasthan Royals,16,2,0.1,5.6,mandatory,JC Archer,Sakib Hussain,TU Deshpande,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,138
Rajasthan Royals,16,3,0.1,5.6,mandatory,JC Archer,Sakib Hussain,TU Deshpande,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,139
Rajasthan Royals,16,4,0.1,5.6,mandatory,TU Deshpande,Sakib Hussain,JC Archer,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,140
Rajasthan Royals,16,5,0.1,5.6,mandatory,JC Archer,Sakib Hussain,TU Deshpande,0,1,1,1.0,,,,,,,,,,,,,,,20.0,217.0,141
Rajasthan Royals,16,6,0.1,5.6,mandatory,JC Archer,Sakib Hussain,TU Deshpande,0,0,0,,,,,,,,,JC Archer,caught,,,,,PP Hinge,20.0,217.0,141
Rajasthan Royals,16,7,0.1,5.6,mandatory,Ravi Bishnoi,Sakib Hussain,TU Deshpande,0,0,0,,,,,,,,,Ravi Bishnoi,caught,,,,,Ishan Kishan,20.0,217.0,141
Rajasthan Royals,17,1,0.1,5.6,mandatory,TU Deshpande,PP Hinge,N Burger,6,0,6,,,,,,,,,,,,,,,,20.0,217.0,147
Rajasthan Royals,17,2,0.1,5.6,mandatory,TU Deshpande,PP Hinge,N Burger,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,148
Rajasthan Royals,17,3,0.1,5.6,mandatory,N Burger,PP Hinge,TU Deshpande,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,148
Rajasthan Royals,17,4,0.1,5.6,mandatory,N Burger,PP Hinge,TU Deshpande,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,149
Rajasthan Royals,17,5,0.1,5.6,mandatory,TU Deshpande,PP Hinge,N Burger,2,0,2,,,,,,,,,,,,,,,,20.0,217.0,151
Rajasthan Royals,17,6,0.1,5.6,mandatory,TU Deshpande,PP Hinge,N Burger,6,0,6,,,,,,,,,,,,,,,,20.0,217.0,157
Rajasthan Royals,18,1,0.1,5.6,mandatory,N Burger,E Malinga,TU Deshpande,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,157
Rajasthan Royals,18,2,0.1,5.6,mandatory,N Burger,E Malinga,TU Deshpande,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,158
Rajasthan Royals,18,3,0.1,5.6,mandatory,TU Deshpande,E Malinga,N Burger,0,0,0,,,,,,,,,,,,,,,,20.0,217.0,158
Rajasthan Royals,18,4,0.1,5.6,mandatory,TU Deshpande,E Malinga,N Burger,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,159
Rajasthan Royals,18,5,0.1,5.6,mandatory,N Burger,E Malinga,TU Deshpande,1,0,1,,,,,,,,,,,,,,,,20.0,217.0,160
Rajasthan Royals,18,6,0.1,5.6,mandatory,TU Deshpande,E Malinga,N Burger,0,0,0,,,,,,,,,TU Deshpande,caught,,,,,Ishan Kishan,20.0,217.0,160
