team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Chennai Super Kings,9,2,0.1,5.6,mandatory,S Dube,Abhinandan Singh,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,107
Chennai Super Kings,9,3,0.1,5.6,mandatory,PR Veer,Abhinandan Singh,S Dube,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,108
Chennai Super Kings,9,4,0.1,5.6,mandatory,S Dube,Abhinandan Singh,PR Veer,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,108
Chennai Super Kings,9,5,0.1,5.6,mandatory,S Dube,Abhinandan Singh,PR Veer,0,0,0,,,,,,,,,,S Dube,caught,,,,,JM Sharma,,20.0,251.0,108
Chennai Super Kings,9,6,0.1,5.6,mandatory,J Overton,Abhinandan Singh,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,109
Chennai Super Kings,10,1,0.1,5.6,mandatory,J Overton,Suyash Sharma,PR Veer,1,0,1,,,,,,,,,,,,Suyash Sharma,D Padikkal,Royal Challengers Bengaluru,impact_player,,,20.0,251.0,110
Chennai Super Kings,10,2,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,111
Chennai Super Kings,10,3,0.1,5.6,mandatory,J Overton,Suyash Sharma,PR Veer,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,115
Chennai Super Kings,10,4,0.1,5.6,mandatory,J Overton,Suyash Sharma,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,116
Chennai Super Kings,10,5,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,116
Chennai Super Kings,10,6,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,117
Chennai Super Kings,11,1,0.1,5.6,mandatory,PR Veer,R Shepherd,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,118
Chennai Super Kings,11,2,0.1,5.6,mandatory,J Overton,R Shepherd,PR Veer,6,0,6,,,,,,,,,,,,,,,,,,20.0,251.0,124
Chennai Super Kings,11,3,0.1,5.6,mandatory,J Overton,R Shepherd,PR Veer,6,0,6,,,,,,,,,,,,,,,,,,20.0,251.0,130
Chennai Super Kings,11,4,0.1,5.6,mandatory,J Overton,R Shepherd,PR Veer,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,134
Chennai Super Kings,11,5,0.1,5.6,mandatory,J Overton,R Shepherd,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,135
Chennai Super Kings,11,6,0.1,5.6,mandatory,PR Veer,R Shepherd,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,136
Chennai Super Kings,12,1,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,136
Chennai Super Kings,12,2,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,136
Chennai Super Kings,12,3,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,137
Chennai Super Kings,12,4,0.1,5.6,mandatory,J Overton,Suyash Sharma,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,138
Chennai Super Kings,12,5,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,138
Chennai Super Kings,12,6,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,139
Chennai Super Kings,13,1,0.1,5.6,mandatory,PR Veer,KH Pandya,J Overton,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,143
Chennai Super Kings,13,2,0.1,5.6,mandatory,PR Veer,KH Pandya,J Overton,6,0,6,,,,,,,,,,,,,,,,,,20.0,251.0,149
Chennai Super Kings,13,3,0.1,5.6,mandatory,PR Veer,KH Pandya,J Overton,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,153
Chennai Super Kings,13,4,0.1,5.6,mandatory,PR Veer,KH Pandya,J Overton,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,153
Chennai Super Kings,13,5,0.1,5.6,mandatory,PR Veer,KH Pandya,J Overton,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,157
Chennai Super Kings,13,6,0.1,5.6,mandatory,PR Veer,KH Pandya,J Overton,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,157
Chennai Super Kings,14,1,0.1,5.6,mandatory,J Overton,Suyash Sharma,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,158
Chennai Super Kings,14,2,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,159
Chennai Super Kings,14,3,0.1,5.6,mandatory,J Overton,Suyash Sharma,PR Veer,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,160
Chennai Super Kings,14,4,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,164
Chennai Super Kings,14,5,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,164
Chennai Super Kings,14,6,0.1,5.6,mandatory,PR Veer,Suyash Sharma,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,165
Chennai Super Kings,15,1,0.1,5.6,mandatory,PR Veer,B Kumar,J Overton,0,0,0,,,,,,,,,,PR Veer,caught,,,,,RM Patidar,,20.0,251.0,165
Chennai Super Kings,15,2,0.1,5.6,mandatory,A Kamboj,B Kumar,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,166
Chennai Super Kings,15,3,0.1,5.6,mandatory,J Overton,B Kumar,A Kamboj,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,170
Chennai Super Kings,15,4,0.1,5.6,mandatory,J Overton,B Kumar,A Kamboj,4,1,5,,,,,,,,,1.0,,,,,,,,,20.0,251.0,175
Chennai Super Kings,15,5,0.1,5.6,mandatory,J Overton,B Kumar,A Kamboj,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,176
Chennai Super Kings,15,6,0.1,5.6,mandatory,A Kamboj,B Kumar,J Overton,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,177
Chennai Super Kings,15,7,0.1,5.6,mandatory,J Overton,B Kumar,A Kamboj,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,178
Chennai Super Kings,16,1,0.1,5.6,mandatory,J Overton,Suyash Sharma,A Kamboj,0,0,0,,,,,,,,,,J Overton,caught,,,,,JG Bethell,True,20.0,251.0,178
Chennai Super Kings,16,2,0.1,5.6,mandatory,Noor Ahmad,Suyash Sharma,A Kamboj,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,179
Chennai Super Kings,16,3,0.1,5.6,mandatory,A Kamboj,Suyash Sharma,Noor Ahmad,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,180
Chennai Super Kings,16,4,0.1,5.6,mandatory,Noor Ahmad,Suyash Sharma,A Kamboj,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,180
Chennai Super Kings,16,5,0.1,5.6,mandatory,Noor Ahmad,Suyash Sharma,A Kamboj,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,180
Chennai Super Kings,16,6,0.1,5.6,mandatory,Noor Ahmad,Suyash Sharma,A Kamboj,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,180
Chennai Super Kings,17,1,0.1,5.6,mandatory,A Kamboj,B Kumar,Noor Ahmad,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,181
Chennai Super Kings,17,2,0.1,5.6,mandatory,Noor Ahmad,B Kumar,A Kamboj,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,181
Chennai Super Kings,17,3,0.1,5.6,mandatory,Noor Ahmad,B Kumar,A Kamboj,6,0,6,,,,,,,,,,,,,,,,,,20.0,251.0,187
Chennai Super Kings,17,4,0.1,5.6,mandatory,Noor Ahmad,B Kumar,A Kamboj,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,188
Chennai Super Kings,17,5,0.1,5.6,mandatory,A Kamboj,B Kumar,Noor Ahmad,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,189
Chennai Super Kings,17,6,0.1,5.6,mandatory,Noor Ahmad,B Kumar,A Kamboj,0,1,1,,1.0,,,,,,,,,,,,,,,,20.0,251.0,190
Chennai Super Kings,17,7,0.1,5.6,mandatory,Noor Ahmad,B Kumar,A Kamboj,0,0,0,,,,,,,,,,Noor Ahmad,caught,,,,,V Kohli,,20.0,251.0,190
Chennai Super Kings,18,1,0.1,5.6,mandatory,A Kamboj,JA Duffy,MJ Henry,0,1,1,,1.0,,,,,,,,,,,,,,,,20.0,251.0,191
Chennai Super Kings,18,2,0.1,5.6,mandatory,A Kamboj,JA Duffy,MJ Henry,4,0,4,,,,,,,,,,,,,,,,,,20.0,251.0,195
Chennai Super Kings,18,3,0.1,5.6,mandatory,A Kamboj,JA Duffy,MJ Henry,0,0,0,,,,,,,,,,,,,,,,,,20.0,251.0,195
Chennai Super Kings,18,4,0.1,5.6,mandatory,A Kamboj,JA Duffy,MJ Henry,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,196
Chennai Super Kings,18,5,0.1,5.6,mandatory,MJ Henry,JA Duffy,A Kamboj,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,197
Chennai Super Kings,18,6,0.1,5.6,mandatory,A Kamboj,JA Duffy,MJ Henry,6,0,6,,,,,,,,,,,,,,,,,,20.0,251.0,203
Chennai Super Kings,18,7,0.1,5.6,mandatory,A Kamboj,JA Duffy,MJ Henry,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,204
Chennai Super Kings,19,1,0.1,5.6,mandatory,A Kamboj,Abhinandan Singh,MJ Henry,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,205
Chennai Super Kings,19,2,0.1,5.6,mandatory,MJ Henry,Abhinandan Singh,A Kamboj,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,206
Chennai Super Kings,19,3,0.1,5.6,mandatory,A Kamboj,Abhinandan Singh,MJ Henry,1,0,1,,,,,,,,,,,,,,,,,,20.0,251.0,207
Chennai Super Kings,19,4,0.1,5.6,mandatory,MJ Henry,Abhinandan Singh,A Kamboj,0,0,0,,,,,,,,,,MJ Henry,caught,,,,,PD Salt,,20.0,251.0,207
