team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,6,1,0.1,5.6,mandatory,D Padikkal,E Malinga,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,80
Royal Challengers Bengaluru,6,2,0.1,5.6,mandatory,D Padikkal,E Malinga,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,81
Royal Challengers Bengaluru,6,3,0.1,5.6,mandatory,V Kohli,E Malinga,D Padikkal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,81
Royal Challengers Bengaluru,6,4,0.1,5.6,mandatory,V Kohli,E Malinga,D Padikkal,2,0,2,,,,,,,,,,,,,,,,20.0,202.0,83
Royal Challengers Bengaluru,6,5,0.1,5.6,mandatory,V Kohli,E Malinga,D Padikkal,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,89
Royal Challengers Bengaluru,6,6,0.1,5.6,mandatory,V Kohli,E Malinga,D Padikkal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,89
Royal Challengers Bengaluru,7,1,0.1,5.6,mandatory,D Padikkal,HV Patel,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,90
Royal Challengers Bengaluru,7,2,0.1,5.6,mandatory,V Kohli,HV Patel,D Padikkal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,90
Royal Challengers Bengaluru,7,3,0.1,5.6,mandatory,V Kohli,HV Patel,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,91
Royal Challengers Bengaluru,7,4,0.1,5.6,mandatory,D Padikkal,HV Patel,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,95
Royal Challengers Bengaluru,7,5,0.1,5.6,mandatory,D Padikkal,HV Patel,V Kohli,0,4,4,,,,,,,,4.0,,,,,,,,20.0,202.0,99
Royal Challengers Bengaluru,7,6,0.1,5.6,mandatory,D Padikkal,HV Patel,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,99
Royal Challengers Bengaluru,8,1,0.1,5.6,mandatory,V Kohli,Harsh Dubey,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,100
Royal Challengers Bengaluru,8,2,0.1,5.6,mandatory,D Padikkal,Harsh Dubey,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,104
Royal Challengers Bengaluru,8,3,0.1,5.6,mandatory,D Padikkal,Harsh Dubey,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,110
Royal Challengers Bengaluru,8,4,0.1,5.6,mandatory,D Padikkal,Harsh Dubey,V Kohli,0,0,0,,,,,,,,,D Padikkal,caught,,,,,H Klaasen,20.0,202.0,110
Royal Challengers Bengaluru,8,5,0.1,5.6,mandatory,RM Patidar,Harsh Dubey,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,111
Royal Challengers Bengaluru,8,6,0.1,5.6,mandatory,V Kohli,Harsh Dubey,RM Patidar,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,111
Royal Challengers Bengaluru,9,1,0.1,5.6,mandatory,RM Patidar,HV Patel,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,112
Royal Challengers Bengaluru,9,2,0.1,5.6,mandatory,V Kohli,HV Patel,RM Patidar,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,118
Royal Challengers Bengaluru,9,3,0.1,5.6,mandatory,V Kohli,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,119
Royal Challengers Bengaluru,9,4,0.1,5.6,mandatory,RM Patidar,HV Patel,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,123
Royal Challengers Bengaluru,9,5,0.1,5.6,mandatory,RM Patidar,HV Patel,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,124
Royal Challengers Bengaluru,9,6,0.1,5.6,mandatory,V Kohli,HV Patel,RM Patidar,0,1,1,,,,,,1.0,,,,,,,,,,20.0,202.0,125
Royal Challengers Bengaluru,9,7,0.1,5.6,mandatory,V Kohli,HV Patel,RM Patidar,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,126
Royal Challengers Bengaluru,10,1,0.1,5.6,mandatory,V Kohli,Harsh Dubey,RM Patidar,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,127
Royal Challengers Bengaluru,10,2,0.1,5.6,mandatory,RM Patidar,Harsh Dubey,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,133
Royal Challengers Bengaluru,10,3,0.1,5.6,mandatory,RM Patidar,Harsh Dubey,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,134
Royal Challengers Bengaluru,10,4,0.1,5.6,mandatory,V Kohli,Harsh Dubey,RM Patidar,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,134
Royal Challengers Bengaluru,10,5,0.1,5.6,mandatory,V Kohli,Harsh Dubey,RM Patidar,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,140
Royal Challengers Bengaluru,10,6,0.1,5.6,mandatory,V Kohli,Harsh Dubey,RM Patidar,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,140
Royal Challengers Bengaluru,11,1,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,144
Royal Challengers Bengaluru,11,2,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,0,1,1,,,,,,1.0,,,,,,,,,,20.0,202.0,145
Royal Challengers Bengaluru,11,3,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,145
Royal Challengers Bengaluru,11,4,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,0,1,1,,,,,,1.0,,,,,,,,,,20.0,202.0,146
Royal Challengers Bengaluru,11,5,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,152
Royal Challengers Bengaluru,11,6,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,0,1,1,,,,,,1.0,,,,,,,,,,20.0,202.0,153
Royal Challengers Bengaluru,11,7,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,159
Royal Challengers Bengaluru,11,8,0.1,5.6,mandatory,RM Patidar,E Malinga,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,160
Royal Challengers Bengaluru,11,9,0.1,5.6,mandatory,V Kohli,E Malinga,RM Patidar,0,1,1,,,,,,1.0,,,,,,,,,,20.0,202.0,161
Royal Challengers Bengaluru,11,10,0.1,5.6,mandatory,V Kohli,E Malinga,RM Patidar,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,162
Royal Challengers Bengaluru,12,1,0.1,5.6,mandatory,V Kohli,DA Payne,RM Patidar,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,163
Royal Challengers Bengaluru,12,2,0.1,5.6,mandatory,RM Patidar,DA Payne,V Kohli,0,0,0,,,,,,,,,RM Patidar,caught,,,,,Harsh Dubey,20.0,202.0,163
Royal Challengers Bengaluru,12,3,0.1,5.6,mandatory,JM Sharma,DA Payne,V Kohli,0,0,0,,,,,,,,,JM Sharma,caught,,,,,JD Unadkat,20.0,202.0,163
Royal Challengers Bengaluru,12,4,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,163
Royal Challengers Bengaluru,12,5,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,163
Royal Challengers Bengaluru,12,6,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,164
Royal Challengers Bengaluru,13,1,0.1,5.6,mandatory,TH David,JD Unadkat,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,165
Royal Challengers Bengaluru,13,2,0.1,5.6,mandatory,V Kohli,JD Unadkat,TH David,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,166
Royal Challengers Bengaluru,13,3,0.1,5.6,mandatory,TH David,JD Unadkat,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,167
Royal Challengers Bengaluru,13,4,0.1,5.6,mandatory,V Kohli,JD Unadkat,TH David,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,167
Royal Challengers Bengaluru,13,5,0.1,5.6,mandatory,V Kohli,JD Unadkat,TH David,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,168
Royal Challengers Bengaluru,13,6,0.1,5.6,mandatory,TH David,JD Unadkat,V Kohli,0,1,1,,,,,,1.0,,,,,,,,,,20.0,202.0,169
Royal Challengers Bengaluru,13,7,0.1,5.6,mandatory,TH David,JD Unadkat,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,170
Royal Challengers Bengaluru,14,1,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,171
Royal Challengers Bengaluru,14,2,0.1,5.6,mandatory,V Kohli,DA Payne,TH David,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,172
Royal Challengers Bengaluru,14,3,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,176
Royal Challengers Bengaluru,14,4,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,0,1,1,,,,,,1.0,,,,,,,,,,20.0,202.0,177
Royal Challengers Bengaluru,14,5,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,183
Royal Challengers Bengaluru,14,6,0.1,5.6,mandatory,TH David,DA Payne,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,184
Royal Challengers Bengaluru,14,7,0.1,5.6,mandatory,V Kohli,DA Payne,TH David,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,185
Royal Challengers Bengaluru,15,1,0.1,5.6,mandatory,V Kohli,HV Patel,TH David,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,191
Royal Challengers Bengaluru,15,2,0.1,5.6,mandatory,V Kohli,HV Patel,TH David,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,195
Royal Challengers Bengaluru,15,3,0.1,5.6,mandatory,V Kohli,HV Patel,TH David,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,199
Royal Challengers Bengaluru,15,4,0.1,5.6,mandatory,V Kohli,HV Patel,TH David,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,203
