team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,19,3,0.1,5.6,mandatory,DA Payne,B Kumar,JD Unadkat,0,1,1,,,,,,,1.0,,,,,,,,,,,197
Sunrisers Hyderabad,19,4,0.1,5.6,mandatory,JD Unadkat,B Kumar,DA Payne,2,0,2,,,,,,,,,,,,,,,,,,199
Sunrisers Hyderabad,19,5,0.1,5.6,mandatory,JD Unadkat,B Kumar,DA Payne,0,0,0,,,,,,,,,,,,,,,,,,199
Sunrisers Hyderabad,19,6,0.1,5.6,mandatory,JD Unadkat,B Kumar,DA Payne,2,0,2,,,,,,,,,,,,,,,,,,201
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,0
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,0
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,4
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,4
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,8
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,1,1,,,,,,,1.0,,,,,,,,,20.0,202.0,9
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,PD Salt,JD Unadkat,V Kohli,0,0,0,,,,,,,,,PD Salt,caught,,,,,H Klaasen,20.0,202.0,9
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,D Padikkal,JD Unadkat,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,15
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,D Padikkal,JD Unadkat,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,16
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,16
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,20
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,21
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,Nithish Kumar Reddy,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,22
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,D Padikkal,Nithish Kumar Reddy,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,26
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,D Padikkal,Nithish Kumar Reddy,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,27
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,V Kohli,Nithish Kumar Reddy,D Padikkal,0,1,1,,,,,,,1.0,,,,,,,,,20.0,202.0,28
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,D Padikkal,Nithish Kumar Reddy,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,32
Royal Challengers Bengaluru,2,6,0.1,5.6,mandatory,D Padikkal,Nithish Kumar Reddy,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,33
Royal Challengers Bengaluru,3,1,0.1,5.6,mandatory,D Padikkal,DA Payne,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,33
Royal Challengers Bengaluru,3,2,0.1,5.6,mandatory,D Padikkal,DA Payne,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,39
Royal Challengers Bengaluru,3,3,0.1,5.6,mandatory,D Padikkal,DA Payne,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,43
Royal Challengers Bengaluru,3,4,0.1,5.6,mandatory,D Padikkal,DA Payne,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,44
Royal Challengers Bengaluru,3,5,0.1,5.6,mandatory,V Kohli,DA Payne,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,45
Royal Challengers Bengaluru,3,6,0.1,5.6,mandatory,D Padikkal,DA Payne,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,51
Royal Challengers Bengaluru,4,1,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,51
Royal Challengers Bengaluru,4,2,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,57
Royal Challengers Bengaluru,4,3,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,61
Royal Challengers Bengaluru,4,4,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,62
Royal Challengers Bengaluru,4,5,0.1,5.6,mandatory,D Padikkal,JD Unadkat,V Kohli,0,4,4,,,,,,,,4.0,,,,,,,,20.0,202.0,66
Royal Challengers Bengaluru,4,6,0.1,5.6,mandatory,D Padikkal,JD Unadkat,V Kohli,0,1,1,,,,,,,1.0,,,,,,,,,20.0,202.0,67
Royal Challengers Bengaluru,5,1,0.1,5.6,mandatory,D Padikkal,Harsh Dubey,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,71
Royal Challengers Bengaluru,5,2,0.1,5.6,mandatory,D Padikkal,Harsh Dubey,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,72
Royal Challengers Bengaluru,5,3,0.1,5.6,mandatory,V Kohli,Harsh Dubey,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,73
Royal Challengers Bengaluru,5,4,0.1,5.6,mandatory,D Padikkal,Harsh Dubey,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,74
Royal Challengers Bengaluru,5,5,0.1,5.6,mandatory,V Kohli,Harsh Dubey,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,75
Royal Challengers Bengaluru,5,6,0.1,5.6,mandatory,D Padikkal,Harsh Dubey,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,76
