team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,6,1,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,76
Rajasthan Royals,6,2,0.1,5.7,mandatory,Dhruv Jurel,T Vijay,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,77
Rajasthan Royals,6,3,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,78
Rajasthan Royals,6,4,0.1,5.7,mandatory,Dhruv Jurel,T Vijay,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,84
Rajasthan Royals,6,5,0.1,5.7,mandatory,Dhruv Jurel,T Vijay,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,85
Rajasthan Royals,6,6,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,86
Rajasthan Royals,7,1,0.1,5.7,mandatory,V Suryavanshi,M Tiwari,Dhruv Jurel,0,1,1,1.0,,,,,,,,,,,,,,,,,87
Rajasthan Royals,7,2,0.1,5.7,mandatory,V Suryavanshi,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,88
Rajasthan Royals,7,3,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,89
Rajasthan Royals,7,4,0.1,5.7,mandatory,V Suryavanshi,M Tiwari,Dhruv Jurel,0,0,0,,,,,,,,,V Suryavanshi,caught,,,,,DA Miller,,,89
Rajasthan Royals,7,5,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,90
