team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,0,1,0.1,5.6,mandatory,B Sai Sudharsan,PJ Cummins,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,0
Gujarat Titans,0,2,0.1,5.6,mandatory,B Sai Sudharsan,PJ Cummins,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,2
Gujarat Titans,0,3,0.1,5.6,mandatory,B Sai Sudharsan,PJ Cummins,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,4
Gujarat Titans,0,4,0.1,5.6,mandatory,B Sai Sudharsan,PJ Cummins,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,5
Gujarat Titans,0,5,0.1,5.6,mandatory,Shubman Gill,PJ Cummins,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,5
Gujarat Titans,0,6,0.1,5.6,mandatory,Shubman Gill,PJ Cummins,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,5
Gujarat Titans,1,1,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,9
Gujarat Titans,1,2,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,9
Gujarat Titans,1,3,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,10
Gujarat Titans,1,4,0.1,5.6,mandatory,Shubman Gill,Nithish Kumar Reddy,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,10
Gujarat Titans,1,5,0.1,5.6,mandatory,Shubman Gill,Nithish Kumar Reddy,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,14
Gujarat Titans,1,6,0.1,5.6,mandatory,Shubman Gill,Nithish Kumar Reddy,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,15
Gujarat Titans,2,1,0.1,5.6,mandatory,Shubman Gill,PP Hinge,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,15
Gujarat Titans,2,2,0.1,5.6,mandatory,Shubman Gill,PP Hinge,B Sai Sudharsan,0,0,0,,,,,,,,Shubman Gill,caught,,,,,H Klaasen,,,15
Gujarat Titans,2,3,0.1,5.6,mandatory,JC Buttler,PP Hinge,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,15
Gujarat Titans,2,4,0.1,5.6,mandatory,JC Buttler,PP Hinge,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,16
Gujarat Titans,2,5,0.1,5.6,mandatory,B Sai Sudharsan,PP Hinge,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,17
Gujarat Titans,2,6,0.1,5.6,mandatory,JC Buttler,PP Hinge,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,17
Gujarat Titans,3,1,0.1,5.6,mandatory,B Sai Sudharsan,PJ Cummins,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,18
Gujarat Titans,3,2,0.1,5.6,mandatory,JC Buttler,PJ Cummins,B Sai Sudharsan,2,0,2,,,,,,,,,,,,,,,,,20
Gujarat Titans,3,3,0.1,5.6,mandatory,JC Buttler,PJ Cummins,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,20
Gujarat Titans,3,4,0.1,5.6,mandatory,JC Buttler,PJ Cummins,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,20
Gujarat Titans,3,5,0.1,5.6,mandatory,JC Buttler,PJ Cummins,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,21
Gujarat Titans,3,6,0.1,5.6,mandatory,B Sai Sudharsan,PJ Cummins,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,21
Gujarat Titans,4,1,0.1,5.6,mandatory,JC Buttler,Nithish Kumar Reddy,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,25
Gujarat Titans,4,2,0.1,5.6,mandatory,JC Buttler,Nithish Kumar Reddy,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,25
Gujarat Titans,4,3,0.1,5.6,mandatory,JC Buttler,Nithish Kumar Reddy,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,26
Gujarat Titans,4,4,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,26
Gujarat Titans,4,5,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,26
Gujarat Titans,4,6,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,26
Gujarat Titans,5,1,0.1,5.6,mandatory,JC Buttler,PP Hinge,B Sai Sudharsan,0,0,0,,Sunrisers Hyderabad,HAS Khalid,JC Buttler,upheld,wicket,,JC Buttler,caught,,,,,Ishan Kishan,,,26
Gujarat Titans,5,2,0.1,5.6,mandatory,N Sindhu,PP Hinge,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,26
Gujarat Titans,5,3,0.1,5.6,mandatory,N Sindhu,PP Hinge,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,30
Gujarat Titans,5,4,0.1,5.6,mandatory,N Sindhu,PP Hinge,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,30
Gujarat Titans,5,5,0.1,5.6,mandatory,N Sindhu,PP Hinge,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,30
Gujarat Titans,5,6,0.1,5.6,mandatory,N Sindhu,PP Hinge,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,34
Gujarat Titans,6,1,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,N Sindhu,0,0,0,,,,,,,,,,,,,,,,,34
Gujarat Titans,6,2,0.1,5.6,mandatory,B Sai Sudharsan,Nithish Kumar Reddy,N Sindhu,1,0,1,,,,,,,,,,,,,,,,,35
Gujarat Titans,6,3,0.1,5.6,mandatory,N Sindhu,Nithish Kumar Reddy,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,41
Gujarat Titans,6,4,0.1,5.6,mandatory,N Sindhu,Nithish Kumar Reddy,B Sai Sudharsan,2,0,2,,,,,,,,,,,,,,,,,43
Gujarat Titans,6,5,0.1,5.6,mandatory,N Sindhu,Nithish Kumar Reddy,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,43
Gujarat Titans,6,6,0.1,5.6,mandatory,N Sindhu,Nithish Kumar Reddy,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,47
Gujarat Titans,7,1,0.1,5.6,mandatory,B Sai Sudharsan,E Malinga,N Sindhu,4,0,4,,,,,,,,,,,,,,,,,51
Gujarat Titans,7,2,0.1,5.6,mandatory,B Sai Sudharsan,E Malinga,N Sindhu,1,0,1,,,,,,,,,,,,,,,,,52
Gujarat Titans,7,3,0.1,5.6,mandatory,N Sindhu,E Malinga,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,52
Gujarat Titans,7,4,0.1,5.6,mandatory,N Sindhu,E Malinga,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,53
