team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,V Kohli,Auqib Nabi,PD Salt,0,1,1,1.0,,,,,,,,,,,,,,,,,2
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,V Kohli,Auqib Nabi,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,3
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,7
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,8
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,V Kohli,Auqib Nabi,PD Salt,4,0,4,,,,,,,,,,,,,,,,,,12
Royal Challengers Bengaluru,0,7,0.1,5.6,mandatory,V Kohli,Auqib Nabi,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,13
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,V Kohli,Mukesh Kumar,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,14
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,PD Salt,Mukesh Kumar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,14
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,PD Salt,Mukesh Kumar,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,15
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,V Kohli,Mukesh Kumar,PD Salt,4,0,4,,,,,,,,,,,,,,,,,,19
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,V Kohli,Mukesh Kumar,PD Salt,0,1,1,1.0,,,,,,,,,,,,,,,,,20
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,V Kohli,Mukesh Kumar,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,21
Royal Challengers Bengaluru,1,7,0.1,5.6,mandatory,PD Salt,Mukesh Kumar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,21
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,Auqib Nabi,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,22
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,24
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,24
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,0,1,1,,1.0,,,,,,,,,,,,,,,,25
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,V Kohli,Auqib Nabi,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,26
Royal Challengers Bengaluru,2,6,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,3,1,0.1,5.6,mandatory,PD Salt,Mukesh Kumar,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,29
Royal Challengers Bengaluru,3,2,0.1,5.6,mandatory,PD Salt,Mukesh Kumar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,29
Royal Challengers Bengaluru,3,3,0.1,5.6,mandatory,PD Salt,Mukesh Kumar,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,30
Royal Challengers Bengaluru,3,4,0.1,5.6,mandatory,V Kohli,Mukesh Kumar,PD Salt,4,0,4,,,,,,,,,,,,,,,,,,34
Royal Challengers Bengaluru,3,5,0.1,5.6,mandatory,V Kohli,Mukesh Kumar,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,34
Royal Challengers Bengaluru,3,6,0.1,5.6,mandatory,V Kohli,Mukesh Kumar,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,34
Royal Challengers Bengaluru,4,1,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,38
Royal Challengers Bengaluru,4,2,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,39
Royal Challengers Bengaluru,4,3,0.1,5.6,mandatory,V Kohli,Auqib Nabi,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,40
Royal Challengers Bengaluru,4,4,0.1,5.6,mandatory,PD Salt,Auqib Nabi,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,46
