team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,13,1,0.1,5.6,mandatory,JC Buttler,GF Linde,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,121
Gujarat Titans,13,2,0.1,5.6,mandatory,JC Buttler,GF Linde,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,121
Gujarat Titans,13,3,0.1,5.6,mandatory,JC Buttler,GF Linde,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,122
Gujarat Titans,13,4,0.1,5.6,mandatory,Shubman Gill,GF Linde,JC Buttler,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,123
Gujarat Titans,13,5,0.1,5.6,mandatory,JC Buttler,GF Linde,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,20.0,165.0,127
Gujarat Titans,13,6,0.1,5.6,mandatory,JC Buttler,GF Linde,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,128
Gujarat Titans,14,1,0.1,5.6,mandatory,JC Buttler,Prince Yadav,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,128
Gujarat Titans,14,2,0.1,5.6,mandatory,JC Buttler,Prince Yadav,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,128
Gujarat Titans,14,3,0.1,5.6,mandatory,JC Buttler,Prince Yadav,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,128
Gujarat Titans,14,4,0.1,5.6,mandatory,JC Buttler,Prince Yadav,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,129
Gujarat Titans,14,5,0.1,5.6,mandatory,Shubman Gill,Prince Yadav,JC Buttler,0,0,0,,,,,,,,,Shubman Gill,caught,,,,,RR Pant,20.0,165.0,129
Gujarat Titans,14,6,0.1,5.6,mandatory,Washington Sundar,Prince Yadav,JC Buttler,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,130
Gujarat Titans,15,1,0.1,5.6,mandatory,Washington Sundar,Mohammed Shami,JC Buttler,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,130
Gujarat Titans,15,2,0.1,5.6,mandatory,Washington Sundar,Mohammed Shami,JC Buttler,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,131
Gujarat Titans,15,3,0.1,5.6,mandatory,JC Buttler,Mohammed Shami,Washington Sundar,4,0,4,,,,,,,,,,,,,,,,20.0,165.0,135
Gujarat Titans,15,4,0.1,5.6,mandatory,JC Buttler,Mohammed Shami,Washington Sundar,0,0,0,,,,,,,,,JC Buttler,caught,,,,,AK Markram,20.0,165.0,135
Gujarat Titans,15,5,0.1,5.6,mandatory,R Tewatia,Mohammed Shami,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,136
Gujarat Titans,15,6,0.1,5.6,mandatory,Washington Sundar,Mohammed Shami,R Tewatia,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,136
Gujarat Titans,16,1,0.1,5.6,mandatory,R Tewatia,AK Markram,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,137
Gujarat Titans,16,2,0.1,5.6,mandatory,Washington Sundar,AK Markram,R Tewatia,4,0,4,,,,,,,,,,,,,,,,20.0,165.0,141
Gujarat Titans,16,3,0.1,5.6,mandatory,Washington Sundar,AK Markram,R Tewatia,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,142
Gujarat Titans,16,4,0.1,5.6,mandatory,R Tewatia,AK Markram,Washington Sundar,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,142
Gujarat Titans,16,5,0.1,5.6,mandatory,R Tewatia,AK Markram,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,143
Gujarat Titans,16,6,0.1,5.6,mandatory,Washington Sundar,AK Markram,R Tewatia,2,0,2,,,,,,,,,,,,,,,,20.0,165.0,145
Gujarat Titans,17,1,0.1,5.6,mandatory,R Tewatia,Prince Yadav,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,146
Gujarat Titans,17,2,0.1,5.6,mandatory,Washington Sundar,Prince Yadav,R Tewatia,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,147
Gujarat Titans,17,3,0.1,5.6,mandatory,R Tewatia,Prince Yadav,Washington Sundar,0,1,1,,1.0,,,,,,,,,,,,,,20.0,165.0,148
Gujarat Titans,17,4,0.1,5.6,mandatory,R Tewatia,Prince Yadav,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,149
Gujarat Titans,17,5,0.1,5.6,mandatory,Washington Sundar,Prince Yadav,R Tewatia,4,0,4,,,,,,,,,,,,,,,,20.0,165.0,153
Gujarat Titans,17,6,0.1,5.6,mandatory,Washington Sundar,Prince Yadav,R Tewatia,6,0,6,,,,,,,,,,,,,,,,20.0,165.0,159
Gujarat Titans,17,7,0.1,5.6,mandatory,Washington Sundar,Prince Yadav,R Tewatia,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,159
Gujarat Titans,18,1,0.1,5.6,mandatory,R Tewatia,AK Markram,Washington Sundar,4,0,4,,,,,,,,,,,,,,,,20.0,165.0,163
Gujarat Titans,18,2,0.1,5.6,mandatory,R Tewatia,AK Markram,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,164
Gujarat Titans,18,3,0.1,5.6,mandatory,Washington Sundar,AK Markram,R Tewatia,0,0,0,,,,,,,,,,,,,,,,20.0,165.0,164
Gujarat Titans,18,4,0.1,5.6,mandatory,Washington Sundar,AK Markram,R Tewatia,1,0,1,,,,,,,,,,,,,,,,20.0,165.0,165
