team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,noballs,review_by,review_umpire,review_batter,review_decision,review_type,byes,legbyes,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,6,5,0.1,5.6,mandatory,P Simran Singh,Noor Ahmad,C Connolly,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,76
Punjab Kings,6,6,0.1,5.6,mandatory,P Simran Singh,Noor Ahmad,C Connolly,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,80
Punjab Kings,7,1,0.1,5.6,mandatory,C Connolly,RD Chahar,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,81
Punjab Kings,7,2,0.1,5.6,mandatory,P Simran Singh,RD Chahar,C Connolly,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,81
Punjab Kings,7,3,0.1,5.6,mandatory,P Simran Singh,RD Chahar,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,82
Punjab Kings,7,4,0.1,5.6,mandatory,C Connolly,RD Chahar,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,83
Punjab Kings,7,5,0.1,5.6,mandatory,P Simran Singh,RD Chahar,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,84
Punjab Kings,7,6,0.1,5.6,mandatory,C Connolly,RD Chahar,P Simran Singh,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,88
Punjab Kings,8,1,0.1,5.6,mandatory,P Simran Singh,Noor Ahmad,C Connolly,,3,0,3,,,,,,,,,,,,,,,,,20.0,210.0,91
Punjab Kings,8,2,0.1,5.6,mandatory,C Connolly,Noor Ahmad,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,92
Punjab Kings,8,3,0.1,5.6,mandatory,P Simran Singh,Noor Ahmad,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,93
Punjab Kings,8,4,0.1,5.6,mandatory,C Connolly,Noor Ahmad,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,94
Punjab Kings,8,5,0.1,5.6,mandatory,P Simran Singh,Noor Ahmad,C Connolly,,1,0,1,,,,,,,,,,P Simran Singh,run out,,,,,RD Gaikwad,20.0,210.0,95
Punjab Kings,8,6,0.1,5.6,mandatory,P Simran Singh,Noor Ahmad,C Connolly,,1,0,1,,,,,,,,,,P Simran Singh,run out,,,,,SN Khan,20.0,210.0,96
Punjab Kings,8,7,0.1,5.6,mandatory,C Connolly,Noor Ahmad,SS Iyer,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,96
Punjab Kings,9,1,0.1,5.6,mandatory,SS Iyer,RD Chahar,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,97
Punjab Kings,9,2,0.1,5.6,mandatory,C Connolly,RD Chahar,SS Iyer,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,97
Punjab Kings,9,3,0.1,5.6,mandatory,C Connolly,RD Chahar,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,98
Punjab Kings,9,4,0.1,5.6,mandatory,SS Iyer,RD Chahar,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,99
Punjab Kings,9,5,0.1,5.6,mandatory,C Connolly,RD Chahar,SS Iyer,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,103
Punjab Kings,9,6,0.1,5.6,mandatory,C Connolly,RD Chahar,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,104
Punjab Kings,10,1,0.1,5.6,mandatory,C Connolly,Noor Ahmad,SS Iyer,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,108
Punjab Kings,10,2,0.1,5.6,mandatory,C Connolly,Noor Ahmad,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,109
Punjab Kings,10,3,0.1,5.6,mandatory,SS Iyer,Noor Ahmad,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,110
Punjab Kings,10,4,0.1,5.6,mandatory,C Connolly,Noor Ahmad,SS Iyer,,4,1,5,1.0,,,,,,,,,,,,,,,,20.0,210.0,115
Punjab Kings,10,5,0.1,5.6,mandatory,C Connolly,Noor Ahmad,SS Iyer,,2,0,2,,,,,,,,,,,,,,,,,20.0,210.0,117
Punjab Kings,10,6,0.1,5.6,mandatory,C Connolly,Noor Ahmad,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,118
Punjab Kings,10,7,0.1,5.6,mandatory,SS Iyer,Noor Ahmad,C Connolly,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,118
Punjab Kings,11,1,0.1,5.6,mandatory,C Connolly,A Kamboj,SS Iyer,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,122
Punjab Kings,11,2,0.1,5.6,mandatory,C Connolly,A Kamboj,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,123
Punjab Kings,11,3,0.1,5.6,mandatory,SS Iyer,A Kamboj,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,124
Punjab Kings,11,4,0.1,5.6,mandatory,C Connolly,A Kamboj,SS Iyer,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,128
Punjab Kings,11,5,0.1,5.6,mandatory,C Connolly,A Kamboj,SS Iyer,,0,0,0,,,,,,,,,,C Connolly,caught,,,,,MJ Henry,20.0,210.0,128
Punjab Kings,11,6,0.1,5.6,mandatory,N Wadhera,A Kamboj,SS Iyer,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,128
Punjab Kings,12,1,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,128
Punjab Kings,12,2,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,2,0,2,,,,,,,,,,,,,,,,,20.0,210.0,130
Punjab Kings,12,3,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,6,0,6,,,,,,,,,,,,,,,,,20.0,210.0,136
Punjab Kings,12,4,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,137
Punjab Kings,12,5,0.1,5.6,mandatory,N Wadhera,RD Chahar,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,138
Punjab Kings,12,6,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,6,0,6,,,,,,,,,,,,,,,,,20.0,210.0,144
Punjab Kings,13,1,0.1,5.6,mandatory,N Wadhera,Noor Ahmad,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,145
Punjab Kings,13,2,0.1,5.6,mandatory,SS Iyer,Noor Ahmad,N Wadhera,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,145
Punjab Kings,13,3,0.1,5.6,mandatory,SS Iyer,Noor Ahmad,N Wadhera,1.0,0,1,1,,,,,,,,,,,,,,,,,20.0,210.0,146
Punjab Kings,13,4,0.1,5.6,mandatory,SS Iyer,Noor Ahmad,N Wadhera,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,147
Punjab Kings,13,5,0.1,5.6,mandatory,N Wadhera,Noor Ahmad,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,148
Punjab Kings,13,6,0.1,5.6,mandatory,SS Iyer,Noor Ahmad,N Wadhera,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,149
Punjab Kings,13,7,0.1,5.6,mandatory,N Wadhera,Noor Ahmad,SS Iyer,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,149
Punjab Kings,14,1,0.1,5.6,mandatory,SS Iyer,MJ Henry,N Wadhera,,2,0,2,,,,,,,,,,,,,,,,,20.0,210.0,151
Punjab Kings,14,2,0.1,5.6,mandatory,SS Iyer,MJ Henry,N Wadhera,,2,0,2,,,,,,,,,,,,,,,,,20.0,210.0,153
Punjab Kings,14,3,0.1,5.6,mandatory,SS Iyer,MJ Henry,N Wadhera,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,153
Punjab Kings,14,4,0.1,5.6,mandatory,SS Iyer,MJ Henry,N Wadhera,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,157
Punjab Kings,14,5,0.1,5.6,mandatory,SS Iyer,MJ Henry,N Wadhera,,6,0,6,,,,,,,,,,,,,,,,,20.0,210.0,163
Punjab Kings,14,6,0.1,5.6,mandatory,SS Iyer,MJ Henry,N Wadhera,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,164
Punjab Kings,15,1,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,168
Punjab Kings,15,2,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,169
Punjab Kings,15,3,0.1,5.6,mandatory,N Wadhera,RD Chahar,SS Iyer,,6,0,6,,,,,,,,,,,,,,,,,20.0,210.0,175
Punjab Kings,15,4,0.1,5.6,mandatory,N Wadhera,RD Chahar,SS Iyer,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,176
Punjab Kings,15,5,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,1.0,0,1,1,,,,,,,,,,,,,,,,,20.0,210.0,177
Punjab Kings,15,6,0.1,5.6,mandatory,SS Iyer,RD Chahar,N Wadhera,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,178
Punjab Kings,15,7,0.1,5.6,mandatory,N Wadhera,RD Chahar,SS Iyer,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,178
Punjab Kings,16,1,0.1,5.6,mandatory,SS Iyer,A Kamboj,N Wadhera,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,182
Punjab Kings,16,2,0.1,5.6,mandatory,SS Iyer,A Kamboj,N Wadhera,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,182
Punjab Kings,16,3,0.1,5.6,mandatory,SS Iyer,A Kamboj,N Wadhera,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,182
Punjab Kings,16,4,0.1,5.6,mandatory,SS Iyer,A Kamboj,N Wadhera,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,186
Punjab Kings,16,5,0.1,5.6,mandatory,SS Iyer,A Kamboj,N Wadhera,,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,210.0,187
Punjab Kings,16,6,0.1,5.6,mandatory,SS Iyer,A Kamboj,N Wadhera,,0,0,0,,,,,,,,,,,,,,,,,20.0,210.0,187
Punjab Kings,16,7,0.1,5.6,mandatory,SS Iyer,A Kamboj,N Wadhera,,0,0,0,,,,,,,,,,SS Iyer,caught,,,,,RD Chahar,20.0,210.0,187
Punjab Kings,17,1,0.1,5.6,mandatory,N Wadhera,MJ Henry,Shashank Singh,,0,0,0,,,,,,,,,,N Wadhera,caught,,,,,Noor Ahmad,20.0,210.0,187
Punjab Kings,17,2,0.1,5.6,mandatory,MP Stoinis,MJ Henry,Shashank Singh,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,191
Punjab Kings,17,3,0.1,5.6,mandatory,MP Stoinis,MJ Henry,Shashank Singh,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,192
Punjab Kings,17,4,0.1,5.6,mandatory,Shashank Singh,MJ Henry,MP Stoinis,,2,0,2,,,,,,,,,,,,,,,,,20.0,210.0,194
Punjab Kings,17,5,0.1,5.6,mandatory,Shashank Singh,MJ Henry,MP Stoinis,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,198
Punjab Kings,17,6,0.1,5.6,mandatory,Shashank Singh,MJ Henry,MP Stoinis,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,199
Punjab Kings,18,1,0.1,5.6,mandatory,Shashank Singh,A Kamboj,MP Stoinis,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,203
Punjab Kings,18,2,0.1,5.6,mandatory,Shashank Singh,A Kamboj,MP Stoinis,,2,0,2,,,,,,,,,,,,,,,,,20.0,210.0,205
Punjab Kings,18,3,0.1,5.6,mandatory,Shashank Singh,A Kamboj,MP Stoinis,1.0,0,1,1,,,,,,,,,,,,,,,,,20.0,210.0,206
Punjab Kings,18,4,0.1,5.6,mandatory,Shashank Singh,A Kamboj,MP Stoinis,,1,0,1,,,,,,,,,,,,,,,,,20.0,210.0,207
Punjab Kings,18,5,0.1,5.6,mandatory,MP Stoinis,A Kamboj,Shashank Singh,,4,0,4,,,,,,,,,,,,,,,,,20.0,210.0,211
