team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,9,3,0.1,5.6,mandatory,R Parag,KK Ahmed,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,128.0,102
Rajasthan Royals,9,4,0.1,5.6,mandatory,R Parag,KK Ahmed,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,128.0,102
Rajasthan Royals,9,5,0.1,5.6,mandatory,R Parag,KK Ahmed,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,20.0,128.0,106
Rajasthan Royals,9,6,0.1,5.6,mandatory,R Parag,KK Ahmed,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,128.0,106
Rajasthan Royals,10,1,0.1,5.6,mandatory,YBK Jaiswal,Noor Ahmad,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,128.0,107
Rajasthan Royals,10,2,0.1,5.6,mandatory,R Parag,Noor Ahmad,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,128.0,108
Rajasthan Royals,10,3,0.1,5.6,mandatory,YBK Jaiswal,Noor Ahmad,R Parag,0,0,0,,,,,,,,,,,,,,,,,20.0,128.0,108
Rajasthan Royals,10,4,0.1,5.6,mandatory,YBK Jaiswal,Noor Ahmad,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,128.0,109
Rajasthan Royals,10,5,0.1,5.6,mandatory,R Parag,Noor Ahmad,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,128.0,109
Rajasthan Royals,10,6,0.1,5.6,mandatory,R Parag,Noor Ahmad,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,128.0,115
Rajasthan Royals,11,1,0.1,5.6,mandatory,YBK Jaiswal,MJ Henry,R Parag,6,0,6,,,,,,,,,,,,,,,,,20.0,128.0,121
Rajasthan Royals,11,2,0.1,5.6,mandatory,YBK Jaiswal,MJ Henry,R Parag,2,0,2,,,,,,,,,,,,,,,,,20.0,128.0,123
Rajasthan Royals,11,3,0.1,5.6,mandatory,YBK Jaiswal,MJ Henry,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,128.0,124
Rajasthan Royals,11,4,0.1,5.6,mandatory,R Parag,MJ Henry,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,128.0,125
Rajasthan Royals,11,5,0.1,5.6,mandatory,YBK Jaiswal,MJ Henry,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,128.0,126
Rajasthan Royals,11,6,0.1,5.6,mandatory,R Parag,MJ Henry,YBK Jaiswal,0,1,1,,1.0,,,,,,,,,,,,,,,20.0,128.0,127
Rajasthan Royals,11,7,0.1,5.6,mandatory,R Parag,MJ Henry,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,128.0,127
Rajasthan Royals,12,1,0.1,5.6,mandatory,YBK Jaiswal,MW Short,R Parag,1,0,1,,,,,,,,,,,,,,,,,20.0,128.0,128
