team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,5.7,mandatory,YBK Jaiswal,PP Hinge,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,2,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,3,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,7
Rajasthan Royals,0,4,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,13
Rajasthan Royals,0,5,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,19
Rajasthan Royals,0,6,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,25
Rajasthan Royals,1,1,0.1,5.7,mandatory,YBK Jaiswal,PJ Cummins,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,29
Rajasthan Royals,1,2,0.1,5.7,mandatory,YBK Jaiswal,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,29
Rajasthan Royals,1,3,0.1,5.7,mandatory,YBK Jaiswal,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,29
Rajasthan Royals,1,4,0.1,5.7,mandatory,YBK Jaiswal,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,29
Rajasthan Royals,1,5,0.1,5.7,mandatory,YBK Jaiswal,PJ Cummins,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,30
Rajasthan Royals,1,6,0.1,5.7,mandatory,V Suryavanshi,PJ Cummins,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,36
Rajasthan Royals,2,1,0.1,5.7,mandatory,YBK Jaiswal,E Malinga,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,40
Rajasthan Royals,2,2,0.1,5.7,mandatory,YBK Jaiswal,E Malinga,V Suryavanshi,0,0,0,,,,,,,,YBK Jaiswal,caught,,,,,H Klaasen,,,40
Rajasthan Royals,2,3,0.1,5.7,mandatory,Dhruv Jurel,E Malinga,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,40
Rajasthan Royals,2,4,0.1,5.7,mandatory,Dhruv Jurel,E Malinga,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,40
Rajasthan Royals,2,5,0.1,5.7,mandatory,Dhruv Jurel,E Malinga,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,41
Rajasthan Royals,2,6,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,42
Rajasthan Royals,3,1,0.1,5.7,mandatory,V Suryavanshi,PJ Cummins,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,43
Rajasthan Royals,3,2,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,43
Rajasthan Royals,3,3,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,47
Rajasthan Royals,3,4,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,47
Rajasthan Royals,3,5,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,47
Rajasthan Royals,3,6,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,51
Rajasthan Royals,4,1,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,55
Rajasthan Royals,4,2,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,55
Rajasthan Royals,4,3,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,55
Rajasthan Royals,4,4,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,,57
Rajasthan Royals,4,5,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,63
Rajasthan Royals,4,6,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,63
Rajasthan Royals,5,1,0.1,5.7,mandatory,Dhruv Jurel,Sakib Hussain,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,63
Rajasthan Royals,5,2,0.1,5.7,mandatory,Dhruv Jurel,Sakib Hussain,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,67
Rajasthan Royals,5,3,0.1,5.7,mandatory,Dhruv Jurel,Sakib Hussain,V Suryavanshi,0,1,1,1.0,,,,,,,,,,,,,,,,68
Rajasthan Royals,5,4,0.1,5.7,mandatory,Dhruv Jurel,Sakib Hussain,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,69
Rajasthan Royals,5,5,0.1,5.7,mandatory,V Suryavanshi,Sakib Hussain,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,75
Rajasthan Royals,5,6,0.1,5.7,mandatory,V Suryavanshi,Sakib Hussain,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,76
Rajasthan Royals,5,7,0.1,5.7,mandatory,Dhruv Jurel,Sakib Hussain,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,76
Rajasthan Royals,6,1,0.1,5.7,mandatory,V Suryavanshi,Shivang Kumar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,77
Rajasthan Royals,6,2,0.1,5.7,mandatory,Dhruv Jurel,Shivang Kumar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,81
Rajasthan Royals,6,3,0.1,5.7,mandatory,Dhruv Jurel,Shivang Kumar,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,81
Rajasthan Royals,6,4,0.1,5.7,mandatory,Dhruv Jurel,Shivang Kumar,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,82
Rajasthan Royals,6,5,0.1,5.7,mandatory,V Suryavanshi,Shivang Kumar,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,88
Rajasthan Royals,6,6,0.1,5.7,mandatory,V Suryavanshi,Shivang Kumar,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,92
Rajasthan Royals,7,1,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,92
Rajasthan Royals,7,2,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,92
Rajasthan Royals,7,3,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,93
Rajasthan Royals,7,4,0.1,5.7,mandatory,V Suryavanshi,PJ Cummins,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,94
Rajasthan Royals,7,5,0.1,5.7,mandatory,Dhruv Jurel,PJ Cummins,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,95
Rajasthan Royals,7,6,0.1,5.7,mandatory,V Suryavanshi,PJ Cummins,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,95
Rajasthan Royals,8,1,0.1,5.7,mandatory,Dhruv Jurel,Sakib Hussain,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,96
Rajasthan Royals,8,2,0.1,5.7,mandatory,V Suryavanshi,Sakib Hussain,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,96
Rajasthan Royals,8,3,0.1,5.7,mandatory,V Suryavanshi,Sakib Hussain,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,96
Rajasthan Royals,8,4,0.1,5.7,mandatory,V Suryavanshi,Sakib Hussain,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,97
Rajasthan Royals,8,5,0.1,5.7,mandatory,Dhruv Jurel,Sakib Hussain,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,98
Rajasthan Royals,8,6,0.1,5.7,mandatory,V Suryavanshi,Sakib Hussain,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,104
Rajasthan Royals,9,1,0.1,5.7,mandatory,Dhruv Jurel,PP Hinge,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,105
Rajasthan Royals,9,2,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,106
Rajasthan Royals,9,3,0.1,5.7,mandatory,Dhruv Jurel,PP Hinge,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,107
Rajasthan Royals,9,4,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,111
Rajasthan Royals,9,5,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,111
Rajasthan Royals,9,6,0.1,5.7,mandatory,V Suryavanshi,PP Hinge,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,112
Rajasthan Royals,10,1,0.1,5.7,mandatory,V Suryavanshi,E Malinga,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,113
Rajasthan Royals,10,2,0.1,5.7,mandatory,Dhruv Jurel,E Malinga,V Suryavanshi,0,1,1,1.0,,,,,,,,,,,,,,,,114
Rajasthan Royals,10,3,0.1,5.7,mandatory,Dhruv Jurel,E Malinga,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,114
Rajasthan Royals,10,4,0.1,5.7,mandatory,Dhruv Jurel,E Malinga,V Suryavanshi,2,0,2,,,,,,,,,,,,,,,,,116
