team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,5.1,mandatory,YBK Jaiswal,VG Arora,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,2,0.1,5.1,mandatory,V Suryavanshi,VG Arora,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,2
Rajasthan Royals,0,3,0.1,5.1,mandatory,YBK Jaiswal,VG Arora,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,2
Rajasthan Royals,0,4,0.1,5.1,mandatory,YBK Jaiswal,VG Arora,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,5,0.1,5.1,mandatory,YBK Jaiswal,VG Arora,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,6,0.1,5.1,mandatory,YBK Jaiswal,VG Arora,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,6
Rajasthan Royals,1,1,0.1,5.1,mandatory,V Suryavanshi,Kartik Tyagi,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,10
Rajasthan Royals,1,2,0.1,5.1,mandatory,V Suryavanshi,Kartik Tyagi,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,10
Rajasthan Royals,1,3,0.1,5.1,mandatory,V Suryavanshi,Kartik Tyagi,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,14
Rajasthan Royals,1,4,0.1,5.1,mandatory,V Suryavanshi,Kartik Tyagi,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,14
Rajasthan Royals,1,5,0.1,5.1,mandatory,V Suryavanshi,Kartik Tyagi,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,14
Rajasthan Royals,1,6,0.1,5.1,mandatory,V Suryavanshi,Kartik Tyagi,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,15
Rajasthan Royals,2,1,0.1,5.1,mandatory,V Suryavanshi,C Green,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,16
Rajasthan Royals,2,2,0.1,5.1,mandatory,YBK Jaiswal,C Green,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,3,0.1,5.1,mandatory,YBK Jaiswal,C Green,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,4,0.1,5.1,mandatory,YBK Jaiswal,C Green,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,5,0.1,5.1,mandatory,YBK Jaiswal,C Green,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,6,0.1,5.1,mandatory,YBK Jaiswal,C Green,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,20
Rajasthan Royals,3,1,0.1,5.1,mandatory,V Suryavanshi,VG Arora,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,24
Rajasthan Royals,3,2,0.1,5.1,mandatory,V Suryavanshi,VG Arora,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,28
Rajasthan Royals,3,3,0.1,5.1,mandatory,V Suryavanshi,VG Arora,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,29
Rajasthan Royals,3,4,0.1,5.1,mandatory,YBK Jaiswal,VG Arora,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,30
Rajasthan Royals,3,5,0.1,5.1,mandatory,V Suryavanshi,VG Arora,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,34
Rajasthan Royals,3,6,0.1,5.1,mandatory,V Suryavanshi,VG Arora,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,35
Rajasthan Royals,4,1,0.1,5.1,mandatory,V Suryavanshi,SP Narine,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,35
Rajasthan Royals,4,2,0.1,5.1,mandatory,V Suryavanshi,SP Narine,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,,41
